Program,Sub Program,Description,"Approved
Budget (Kshs)","Actual Payments
(Kshs)",Variance (Kshs),Absorption (%),page_number,table_index
101003260,,"Administration Planning and Support
Services","64,729,287","24,116,394","40,612,893",-,331,0
,101013260,"Administration Planning and Support
Services","64,729,287","24,116,394","40,612,893",37.3,331,0
102003260,,Development programme,"344,830,346","56,421,813","288,408,532",,331,0
,102013260,Development programme,"344,830,346","56,421,813","288,408,532",16.4,331,0
104003260,,Agricultural Development Programme,"401,888,808","15,655,400","386,233,408",,331,0
,104013260,Agricultural Development Programme,"401,888,808","15,655,400","386,233,408",3.9,331,0
105003260,,Livestock and Fisheries Development,"26,240,000",-,-,-,331,0
,105013260,Livestock and Fisheries Development,"26,240,000",-,"26,240,000",-,331,0
301003260,,"General Administration and support
services programme","20,945,923","8,790,713","12,155,209",-,331,0
,301013260,"General Administration and support
services programme","20,945,923","8,790,713","12,155,209",42.0,331,0
302003260,,Trade Development programme.,"31,050,000","5,001,000","26,049,000",,331,0
,302013260,Trade Development programme.,"31,050,000","5,001,000","26,049,000",16.1,331,0
401003260,,Administration and Support Services,"235,824,311","76,511,476","159,312,835",-,331,0
,401013260,Administration and Support Services,"235,824,311","76,511,476","159,312,835",32.4,331,0
402003260,,Health Development Programme,"211,095,024","14,737,782","196,357,241",-,331,0
,402013260,Health Development Programme,"211,095,024","14,737,782","196,357,241",7.0,331,0
501003260,,"General Administration, Planning and
Support services","154,720,795","80,866,026","73,854,769",-,331,0
,501013260,"General Administration, Planning and
Support services","154,720,795","80,866,026","73,854,769",52.3,331,0
502003260,,"Early childhood Education and Youth
Training Development Programme","132,797,100",-,"132,797,100",-,331,0
,502013260,"Early childhood Education & Youth
Training Development Programme","132,797,100",-,"132,797,100",-,331,0
701003260,,"General Administration support ser-
vices","2,771,903,965","1,138,102,009","1,633,801,955",,331,0
,701013260,"General Administration support ser-
vices","2,771,903,965","1,138,102,009","1,633,801,955",41.1,331,0
702003260,,"County Assembly Infrastructure im-
provement","52,000,000","7,015,000","44,985,000",-,331,0
,702013260,"County Assembly Infrastructure im-
provement","52,000,000","7,015,000","44,985,000",13.5,331,0
703003260,,"Decentralised Infrastructure develop-
ment programme","5,000,000",-,"5,000,000",-,331,0
,703013260,"Decentralised Infrastructure develop-
ment programme","5,000,000",-,"5,000,000",-,331,0
704003260,,"General Administration and Manage-
ment of County Affairs","116,088,977","41,182,507","74,906,469",-,331,0
,704013260,"General Administration and Manage-
ment of County Affairs","116,088,977","41,182,507","74,906,469",35.5,331,0
705003260,,Leadership Development Program,"10,640,000",-,"10,640,000",,331,0
,705013260,Leadership Development Program,"10,640,000",-,"10,640,000",-,331,0
706003260,,"General Administration, Planning, In-
ternal Audit & Support Services","356,642,917","163,017,581","193,625,335",-,331,0
,706013260,"General Administration, Planning, In-
ternal Audit & Support Services","356,642,917","163,017,581","193,625,335",45.7,331,0
707003260,,Treasury Development Programme,"133,300,000","99,729,702","33,570,297",,331,0
,707013260,Treasury Development Programme,"133,300,000","99,729,702","33,570,297",74.8,331,0
1001003260,,"Water and irrigation Development Pro-
gramme","491,947,516","179,999,900","311,947,616",-,331,0
,1001013260,"Water and irrigation Development Pro-
gramme","491,947,516","179,999,900","311,947,616",36.6,331,0
