Program,Sub Program,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Administration, Planning and
A
Support Service",dministrative Service,"310,820,304","43,752,046","267,068,258",14.1,378,1
,,"310,820,304","43,752,046","267,068,258",14.1,378,1
"Rural Planning and Communi-
ty Development",Ward Development Projects,"3,400,000",-,"3,400,000",0.0,378,1
,,"3,400,000",-,"3,400,000",0.0,378,1
"Livestock Development and V
Management t
L",,"7,660,179","970,200","6,689,979",12.7,378,1
,"eterinary Services and Ex-
ension","6,560,179",-,"6,560,179",0.0,378,1
,ivestock Extension,"1,100,000","970,200","129,800",88.2,378,1
"Fisheries Development and
P
Management",romotion of Fish Farming,"4,525,000","509,300","4,015,700",11.3,378,1
,,"4,525,000","509,300","4,015,700",11.3,378,1
"C
Crop Development and Man-
F
agement
C
D",rop Extension,"9,661,329","557,300","9,104,029",5.8,378,1
,,"2,361,329","319,300","2,042,029",13.5,378,1
,arm Input Subsidy,"4,500,000","238,000","4,262,000",5.3,378,1
,"ash Crop Production and
evelopment","2,800,000",-,"2,800,000",0.0,378,1
"C
Cooperatives Development
S","ooperative Development
ervices","(1,025,000)","793,000","(1,818,000)",-77.4,378,1
,,"(1,025,000)","793,000","(1,818,000)",-77.4,378,1
"U
1 Urban and Physical Planning
and Housing Services H
V",rban and Physical Planning,"199,037,761",-,"199,037,761",0.0,378,1
,,"(2,581,504)",-,"(2,581,504)",0.0,378,1
,ousing Development,"10,000,000",-,"10,000,000",0.0,378,1
,ihiga Municipality {KUSP},"191,619,265",-,"191,619,265",0.0,378,1
"Administration, Planning and
A
Support Service",dministrative Service,"270,960,853","9,526,110","261,434,743",3.5,378,1
,,"270,960,853","9,526,110","261,434,743",3.5,378,1
Public Finance Management,Purchase of a trailer,"1,500,000",-,"1,500,000",0.0,379,0
,,"1,500,000",-,"1,500,000",0.0,379,0
Transport Management,"Transport System Manage-
ment","8,651,200","49,200","8,602,000",0.6,379,0
,,"4,950,000",-,"4,950,000",0.0,379,0
,Mechanical Services,"3,701,200","49,200","3,652,000",1.3,379,0
Infrastructure Development,Roads Maintenance,"(1,100,000)",-,"(1,100,000)",0.0,379,0
,,"(1,100,000)",-,"(1,100,000)",0.0,379,0
"Administration, Planning and
Support Service",Administrative Service,"37,859,069","9,477,487","28,381,582",25.0,379,0
,,"37,859,069","9,477,487","28,381,582",25.0,379,0
Tourism Development,"Tourism Promotion and
Branding","988,632",-,"988,632",0.0,379,0
,,"988,632",-,"988,632",0.0,379,0
"Administration, Planning and
Support Service",Administrative Service,"769,242,332","411,581,375","357,660,957",53.5,379,0
,,"103,375,277","30,137,440","73,237,837",29.2,379,0
,"Human Resource Manage-
ment and Development","525,542,178","376,650,211","148,891,967",71.7,379,0
,Healthcare Financing,"140,324,878","4,793,724","135,531,154",3.4,379,0
"Promotive and Preventive
Healthcare Services",Public Health Services,"7,852,642","743,400","7,109,242",9.5,379,0
,,"3,160,000","350,000","2,810,000",11.1,379,0
,Community Health Strategy,"3,160,000","100,000","3,060,000",3.2,379,0
,Health Promotion,"1,087,642","100,000","987,642",9.2,379,0
,Reproductive Healthcare,"160,000","93,400","66,600",58.4,379,0
,"Disease Surveillance and
Emergency","285,000","100,000","185,000",35.1,379,0
"Curative And Rehabilitative
Health Services",Medical services,"230,579,449","135,383,344","95,196,105",58.7,379,0
,,"228,989,449","62,228,772","166,760,677",27.2,379,0
,County referral services,"70,000",-,"70,000",0.0,379,0
,"Drugs and Other Medical
Supplies","1,520,000","73,154,572","(71,634,572)",4812.8,379,0
"Child and Maternal Health
Care","Antenatal and Post Natal
healthcare","42,737,120","3,946,606","38,790,514",9.2,379,0
,,"800,000",-,"800,000",0.0,379,0
,"Antenatal and Post Natal
Healthcare","13,041,547","2,442,406","10,599,141",18.7,379,0
,Maternity Services,"21,349,396",-,"21,349,396",0.0,379,0
,"Newborne, Child and Adoles-
cent Health","20,000",-,"20,000",0.0,379,0
,Nutrition Services,"7,526,177","1,504,200","6,021,977",20.0,379,0
"Administration, Planning and
Support Service",Administrative Service,"212,226,833","13,453,510","198,773,323",6.3,379,0
,,"212,226,833","13,453,510","198,773,323",6.3,379,0
"Vocational Education and
Training",,"26,438,000","1,140,400","25,297,600",4.3,379,0
,"Youth Polytechnic Develop-
ment","26,438,000","1,140,400","25,297,600",4.3,379,0
Early Childhood Development,,"91,503,403","1,020,850","90,482,553",1.1,379,0
,ECD Development,"91,503,403","1,020,850","90,482,553",1.1,379,0
"Administration, Planning and
Support Service",,"916,849,760","667,857,737","248,992,023",72.8,379,0
,Administrative Service,"899,079,760","665,207,268","233,872,492",74.0,379,0
,County Administration,"6,395,000","1,839,869","4,555,131",28.8,379,0
,"County Radio Information
Services","11,375,000","810,600","10,564,400",7.1,379,0
Public Finance Management,,"33,085,000","13,182,670","19,902,330",39.8,379,0
,Public Finance Management,"5,900,000","2,127,200","3,772,800",36.1,379,0
,Accounting Services,"3,500,000","1,530,200","1,969,800",43.7,379,0
,Audit Services,"5,825,000","3,392,770","2,432,230",58.2,379,0
,"Budget Formulation Coordi-
nation","9,000,000","2,424,600","6,575,400",26.9,379,0
,Resource Mobilization,"4,255,000","1,341,900","2,913,100",31.5,379,0
,"Budget Expenditure Manage-
ment","4,605,000","2,366,000","2,239,000",51.4,379,0
County Planning Services,,"80,250,000","1,972,870","78,277,130",2.5,379,0
,Monitoring and Evaluation,"77,450,000","1,220,670","76,229,330",1.6,379,0
,"Coordination of Policy For-
mulation and Plans","2,800,000","752,200","2,047,800",26.9,379,0
"Management and Administra-
tion of County Services",,"18,355,000","5,423,486","12,931,514",29.5,379,0
,County Secretary,"10,855,000","4,033,586","6,821,414",37.2,379,0
,Legal Services,"7,500,000","1,389,900","6,110,100",18.5,379,0
