Programmes,Sub- Programmes,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"Default - Non -Program-
matic",,-,"6,718,798","6,718,798",-,39,0
,Default - Non-Programmatic,-,"6,718,798","6,718,798",-,39,0
General administration,,"330,522,153","123,038,212","207,483,941",37.2,39,0
,"General administration, planning & support
services","330,522,153","123,038,212","207,483,941",37.2,39,0
Land Administration,,-,-,-,-,39,0
,Land adjudication and demarcation,-,-,-,-,39,0
"Urban Development-El-
dama Ravine",,-,-,-,-,39,0
,Support service,-,-,-,-,39,0
"Livestock Development
and Management",,,,,,39,0
,"General administration, planning & support
services",-,-,-,-,39,0
,Support service,-,-,-,-,39,0
,"Livestock Improvement, Pasture and Fodder
Development",-,-,-,-,39,0
,Apiculture Development,-,-,-,-,39,0
"Agricultural Develop-
ment",,-,-,-,-,39,0
,"General administration, planning & support
services",-,-,-,-,39,0
"Agricultural training ser-
vices",,-,-,-,-,39,0
,"General administration, planning & support
services",-,-,-,-,39,0
"Other Urban Infrastruc-
ture development and
management",,-,-,-,-,39,0
,KUSP Programme,-,-,-,-,39,0
,,"518,029,330","89,162,387","428,866,943",17.2,39,0
,Agribusiness Infrastructure Development,"518,029,330","89,162,387","428,866,943",17.2,39,0
"Fisheries Development
and Management",,-,-,-,-,39,0
,Aquaculture Development,-,-,-,-,39,0
"Urban Development-Ka-
barnet",,"112,859,252","17,844,550","95,014,702",15.8,39,0
,General Administrative Services,"112,859,252","17,844,550","95,014,702",15.8,39,0
Land Use Planning,,,,,,39,0
,Land Planning and Development,-,-,-,-,39,0
General administration,,"32,046,738","46,835,737","- 14,788,999",146.1,39,0
,"General administration, planning & support
services","32,046,738","46,835,737","- 14,788,999",146.1,39,0
"Rural Infrastructure De-
velopment",,-,-,-,-,39,0
,Rural road development and management,-,-,-,-,39,0
"Development and Reha-
bilitation of rural roads
and structures",,"921,958,064","89,102,618","832,855,446",9.7,39,0
,Roads opening and rehabilitation,"921,958,064","89,102,618","832,855,446",9.7,39,0
General administration,,"78,405,925","33,614,174","44,791,751",42.9,39,0
,"General administration, planning & support
services","78,405,925","33,614,174","44,791,751",42.9,39,0
"Tourism Dev & Market-
ing",,-,"132,000","- 132,000",0.0,39,0
,"General administration, planning & support
services",-,"132,000","- 132,000",-,40,0
Trade Development,,"82,632,662","8,356,323","74,276,339",10.1,40,0
,Trade Development,"82,632,662","8,356,323","74,276,339",10.1,40,0
Industrial Dev services,,-,-,-,-,40,0
,Industrial Dev services,-,-,-,-,40,0
,"General administration, planning & support
services",-,-,-,-,40,0
General administration,,"2,201,571,180","1,732,834,060","468,737,120",78.7,40,0
,"General administration, planning & support
services","2,201,571,180","1,732,834,060","468,737,120",78.7,40,0
"Health/preventive ser-
vices",,,,,,40,0
,"General administration, planning & support
services",-,-,-,-,40,0
,Support service,-,-,-,-,40,0
"Curative and Rehabilita-
tive Services",,"366,978,995","35,528,876","331,450,119",9.7,40,0
,"General administration, planning & support
services","366,978,995","35,528,876","331,450,119",9.7,40,0
,Support service,-,-,-,-,40,0
,Support to County Hospitals (FIF),-,-,-,-,40,0
"Preventive and Promotive
Health Services",,-,"8,193,689","- 8,193,689",-,40,0
,Infrastructure Development,-,"6,149,607","- 6,149,607",-,40,0
,Compensation for User fees Forgone,-,"2,044,082","- 2,044,082",-,40,0
,Primary Health Care,-,-,-,-,40,0
"General administration
services",,"303,852,363","212,993,306","90,859,057",70.1,40,0
,"General administration, planning & support
services","303,852,363","212,993,306","90,859,057",70.1,40,0
"Early Childhood Devel-
opment Education",,"164,890,401","24,537,841","140,352,560",14.9,40,0
,Early Childhood Development Education,-,-,-,-,40,0
,"General administration, planning & support
services","164,890,401","24,537,841","140,352,560",14.9,40,0
,Support service,-,-,-,-,40,0
Vocational Training,,-,-,-,-,40,0
,"General administration, planning & support
services",-,-,-,-,40,0
"General Administration,
Planning and support
services",,-,-,-,-,40,0
,General Administration services,-,-,-,-,40,0
Special Programmes,,-,-,-,-,40,0
,Secondary Schools bursary,-,-,-,-,40,0
,Capitation allocation on VTC - Grant,-,-,-,-,40,0
,School feeding programme,-,-,-,-,40,0
"P1 OFFICE OF THE
CLERK",,-,"- 3,210,933","3,210,933",-,40,0
,"General administration, planning & support
services",-,"- 3,210,933","3,210,933",-,40,0
,,"316,514,190","216,056,142","100,458,048",68.3,40,0
,Support service,"299,415,998","208,696,142","90,719,856",69.7,40,0
,General administrative services,"17,098,192","7,360,000","9,738,192",43.0,40,0
P3 Governor’s Office,,-,"12,600","- 12,600",-,40,0
,"General administration, planning & support
services",-,"12,600","- 12,600",-,40,0
"P4 DEPUTY GOVER-
NOR",,-,-,-,-,40,0
,"General administration, planning & support
services",-,-,-,-,40,0
County Secretary,,-,-,-,-,40,0
