Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"DEPARTMENT OF AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,64,1
"CP 1: General Adminis-
tration and support ser-
vices",Administrative support service,"252,070,354","188,078,491.40","63,991,862",75,64,1
"CP 2: Crop Production
and management",CSP 3.1 Input support services,-,-,-,-,64,1
,CSP 3.2: Crop development,"2,000,000","9,476,245","- 7,476,245",-,64,1
,CSP 3.3: Crop protection,-,-,-,-,64,1
"CP 3:Land Use and Man-
agement",CSP 2.1: Agricultural mechanization,"3,856,323",-,"3,856,323",-,64,1
"CP 4: Agricultural Train-
ing and Extension ser-
vices",CSP 4.1: Agriculture extension services,-,-,-,-,64,1
,CSP 4.2: Agricultural Training services,"45,506,192","1,317,053","44,189,139",3,64,1
"CP 5:Agribusiness and
agricultural value chain
Development",CSP 5.1: Value addition,"15,506,464",-,"15,506,464",-,64,1
"CP 6: Agricultural finan-
cial support services",CSP 6.1: Agricultural credit support services,-,-,-,-,64,1
"CP 7: Kenya Climate
Smart Agriculture Pro-
gramme",CSP 7.1: Kenya Climate SMART,"453,464,082","89,992,918","363,471,164",20,64,1
"CP 8: Fisheries and Aqua-
culture Resources Devel-
opment",CSP 8.1: Aquaculture development,"6,000,000","4,997,580","1,002,420",83,64,1
,"CSP 8.2: Fisheries training infrastructure de-
velopment",-,-,-,-,64,1
,CSP 8.3: Fish value addition and marketing,"4,000,000","4,000,000",-,-,64,1
,CSP 8.4: Lake-based aquaculture parks,-,-,-,-,64,1
"CP 9: Veterinary Health
Services",CSP 10.1: Veterinary Disease control,"3,555,460",-,"3,555,460",-,64,1
,CSP 10.2:AI services,-,-,-,-,64,1
,CSP 10.3 Meat inspection services,-,-,-,-,64,1
,CSP 10.4 Veterinary Extention,"2,000,000",-,"2,000,000",-,64,1
"CP 10: Livestock produc-
tion& Development",CSP 9.1: Livestock production improvement,"12,010,692","1,949,990","10,060,702",-,64,1
,CSP 9.2: Livestock Extension,-,-,-,-,64,1
"CP 11: Other Develop-
ment Projects",CSP 11.1: Other Development projects,"305,965,650","114,444,095","191,521,555",37,64,1
Total for Vote,,"1,105,935,217","414,256,373","691,678,844",37,64,1
"DEPARTMENT OF TRADE, COOPERATIVE AND INDUSTRIALIZATION",,,,,,64,1
"CP 12: General Adminis-
tration and Support ser-
vices",CSP 12.1: Administrative support service,"81,262,962.06","25,001,930","56,261,031.61",31,64,1
"CP 13: Trade Develop-
ments and Investment","CSP 13.1: Busia county trade development
fund","5,000,000",-,"5,000,000.00",0,64,1
,"CSP 13.2: Market modernization and devel-
opment","83,820,000.00","7,648,482.70","76,171,517.30",9,64,1
"CP 14: Fair Trade Prac-
tices",CSP 14.1: Weights and measures.,-,-,-,-,64,1
"CP 15: Cooperative de-
velopment","CSP 15.1 Busia county cooperative enterprise
development fund","2,000,000.00","1,583,687.10","416,312.90",-,65,0
,CSP 15.2: Revitalization of cotton ginneries,"5,000,000.00",-,"5,000,000.00",-,65,0
,CSP 15.3: value addition,-,-,-,-,65,0
"CP 16: Other Develop-
ment Projects",CSP 16.1. Other Development projects,"124,334,030.00","5,200,000.00","119,134,030.00",4,65,0
Total for Vote,,"301,416,992.06","39,434,100.25","261,982,891.81",13,65,0
"DEPARTMENT OF FINANCE, ECONOMIC PLANNING AND SERVICE DELIVERY",,,,,,65,0
"CP 22:General Adminis-
tration and Support ser-
vices",CSP 22.1: Administrative support service,"903,088,072.00","726,927,580","176,160,491.95",80,65,0
"CP 23: Financial manage-
ment, Control and Devel-
opment services",CSP 23.1: Revenue generation services,"8,000,000.00","4,525,000.00","3,475,000.00",57,65,0
"CP 24: Information and
Communication Services",CSP 24.1: ICT support services,"5,000,000.00","5,000,000.00",-,100,65,0
"CP 25: Other Develop-
ment Projects",CSP 25.1: Other Development projects,-,-,-,-,65,0
Total for Vote,,"916,088,072","736,452,580","179,635,492",80,65,0
DEPARTMENT OF EDUCATION AND VOCATIONAL TRAINING,,,,,,65,0
"CP 17: General Adminis-
tration and Support ser-
vices",CSP 17.1: Administrative support service,"450,078,587.26","356,640,847","93,437,739.86",79,65,0
"CP 18: Early Childhood
Development Education
(Basic Education)","CSP 18.1: Improvement of the infrastructure
in E.C.D.E Centres","8,557,600.00",-,"8,557,600.00",0,65,0
,CSP 18.2 E.C.D.E Capitation,-,-,-,0,65,0
,CSP 18.3: Child nutrition,-,-,-,0,65,0
"CP 19: Tertiary/Vocation-
al Training Development",CSP 19.1: Infrastructure development,"24,500,000.00","2,695,267","21,804,732.95",11,65,0
CP 20: Education support,CSP 20.1: Education support scheme,"144,866,534.00","52,336,567","92,529,967.40",36,65,0
"CP 21: Other Develop-
ment Projects",CSP 21.1 Other Development Projects,"121,442,008.00",-,"121,442,008.00",0,65,0
Total for Vote,,"749,444,729.26","411,672,681.05","337,772,048.21",55,65,0
"DEPARTMENT OF COMMUNITY DEVELOPMENT, TOURISM AND CULTURE.",,,,,,65,0
"CP 26: General Adminis-
tration and Support ser-
vices",CSP 26.1: Administrative support service,"86,381,359.83","26,848,059","59,533,300.68",31,65,0
CP 27: Social services,CSP 27.1: infrastructural development,-,-,-,-,65,0
,CSP 27.2:Community Support,-,-,-,-,65,0
"CP 28:Youth and Empow-
erment Development","CSP 28.1 Equipping and Operationalization
of youth empowerment","5,000,000.00",-,"5,000,000.00",-,65,0
"CP 29:Promotion and de-
velopment of sports",CSP 29.1: Infrastructural development,"5,000,000.00",-,"5,000,000.00",-,65,0
,CSP 29.2: sports promotion,-,-,-,-,65,0
"CP 30: Child care and
protection",CSP 30.1: Rehabilitation and custody,-,"1,260,967.95","(1,260,967.95)",-,65,0
"CP 31: Culture Promo-
tion and Development","CSP 31.1: Cultural infrastructural develop-
ment","21,400,000.00","385,426.15","21,014,573.85",2,65,0
"CP 32: Promotion and de-
velopment of local tour-
ism in the county",CSP 32.1: Tourism development,"3,000,000.00",-,"3,000,000.00",0,65,0
"CP 33: Alcholic Drinks
and Drugs control",CSP 33.1: Infrastructure development,"5,000,000.00",-,"5,000,000.00",0,65,0
"CP 34: Other Develop-
ment Projects",CSP 34.1:Other Development projects,"58,639,200.00",-,"58,639,200.00",0,65,0
"Total for Vote 184,420,560 28,494,453 155,926,107
DEPARTMENT OF PUBLIC WORKS, ROAD AND ENERGY",,,,,15,65,0
"CP 35: General Adminis-
tration and support ser-
vices",CSP 35.1: Administrative support service,"137,820,995.62","67,282,287","70,538,708.57",48,65,0
"CP 36:Developmen and
Maintenance of Roads",CSP 36.1: Routine maintenance of roads,"381,794,499.00","184,870,593","196,923,905.60",-,65,0
,CSP 36.2: Development of Roads,"327,074,250.00","59,415,108","267,659,142.40",-,65,0
"CP 37:Building Infra-
structure Development",CSP 37.1: Infrastructure Development,"33,000,000.00",-,"33,000,000.00",-,65,0
"CP 38: Energy Develop-
ment",CSP 38.1 Energy Services,"5,600,000.00",-,"5,600,000.00",-,65,0
,CSP 38.2: Solar Energy Exploration,"11,310,000.00",-,"11,310,000.00",-,65,0
,CSP 38.3: Renewable energy,-,-,-,-,65,0
"CP 39: Alternative Trans-
port infrastructure Devel-
opment",CSP 39.1: Road safety campaign,-,-,-,23,66,0
"CP 40: Other Develop-
ment Projects",CSP 40.1: Other Development Projects,"593,499,887.00","137,876,534","455,623,352.70",30,66,0
Total for Vote,,"1,490,099,632","449,444,522","1,040,655,109",57,66,0
DEPARTMENT OF PUBLIC SERVICE MANAGEMENT,,,,,,66,0
"CP 41: General Admin-
istration and support
services",CSP 41.1: Administrative support services,"450,477,488.00","255,285,845","195,191,642.60",56.67,66,0
Total for Vote,,"450,477,488.00","255,285,845.40","195,191,642.60",61,66,0
COUNTY PUBLIC SERVICE BOARD,,,,,,66,0
"CP 41: General Admin-
istration and support
services",CSP 41.1: Administrative support services,"74,955,241","45,461,485","29,493,756.04",61,66,0
Total for Vote,,"74,955,241.19","45,461,485.15","29,493,756.04",17,66,0
DEPARTMENT OF LANDS AND URBAN DEVELOPMENT,,,,,,66,0
"CP 42: General Adminis-
tration and support ser-
vices",CSP 42.1: Administrative support services,"146,331,813.94","24,999,961","121,331,853.04",0,66,0
"CP 43: County Land Ad-
ministration and plan-
ning",CSP 43.1: Land use planning,"5,000,000.00",-,"5,000,000.00",0,66,0
"CP 44: Housing develop-
ment and management",CSP 44.1: Housing Development,"5,000,000.00",-,"5,000,000.00",9,66,0
"CP 45: County Urban
management and Devel-
opment",CSP 45.1: Urban management,"45,096,006.00","3,933,450.95","41,162,555.05",0,66,0
,CSP 45.2: Urban Development,"240,128,242.00",-,"240,128,242.00",24,66,0
"CP 46: Other Develop-
ment Projects",CSP 46.1:Other Development Projects,"42,250,000.00","10,300,810.00","31,949,190.00",8,66,0
"Total for Vote 483,806,062 39,234,222 444,571,840
DEPARTMENT OF WATER, ENVIRONMENT AND NATURAL RESOURCES",,,,,57,66,0
"CP 47: General Adminis-
tration and support ser-
vices",CSP 47.1: Administrative support services,"124,025,188.00","71,065,451","52,959,737.50",61,66,0
