Programme,"Sub Pro-
gramme",Description,"Approved Budget(K-
shs)","Actual Payments(K-
shs)",Variance(Kshs),"Absorption
(%)",page_number,table_index
5060,0,Default - Non Programmatic,-,-,-,,157,0
101005060,,"General Administration and
Planning Services","1,175,792,815","373,900,518","801,892,297",31.8,157,0
,101015060,"Planning and Coordination Ser-
vices","383,340,651","219,030,672","164,309,979",57.1,157,0
,101025060,"Management of Human and Cap-
ital Resource",-,-,-,-,157,0
,101035060,Performance management,-,-,-,-,157,0
,101045060,Planning and administration,"792,452,164","154,869,846","637,582,318",19.5,157,0
,101055060,Personnel Services,-,-,-,-,157,0
102005060,,County Survey Services,"2,520,000","387,955","2,132,045",15.4,157,0
,102015060,County Survey,"2,520,000","387,955","2,132,045",15.4,157,0
103005060,,Physical Planning & Housing,"3,180,000","703,980","2,476,020",22.1,157,0
,103015060,Physical planning services,"1,530,000","453,105","1,076,895",29.6,157,0
,103025060,county housing management,"1,650,000","250,875","1,399,125",15.2,157,0
104005060,,"Promotion of sustainable land
use","38,765,150","108,720","38,656,430",0.3,157,0
,104015060,"Promotion of Soil and Water
Management","8,585,150","28,720","8,556,430",0.3,157,0
,104025060,"Drought Mitigation and flood
control",-,-,-,-,157,0
,104035060,"Development of irrigation
schemes",-,-,-,-,157,0
,104045060,Promotion of Mechanization,"30,180,000","80,000","30,100,000",0.3,157,0
105005060,,"Agriculture Productivity Im-
provement","52,853,697","17,759,607","35,094,090",33.6,157,0
,105015060,"Management of Agriculture Advi-
sory services","33,187,938","15,253,588","17,934,350",46.0,157,0
,105025060,"Promotion of Crop production
Value Chains","500,000","184,000","316,000",36.8,157,0
,105035060,"Promotion of Livestock Produc-
tion Value Chains","683,500","510,500","173,000",74.7,157,0
,105045060,"Promotion of Fisheries Value
Chains",-,-,-,-,157,0
,105055060,Management of Stations,"17,306,159","1,611,519","15,694,640",9.3,157,0
,105065060,Promotion of Farm Forestry,-,-,-,-,157,0
,105075060,"Development of Product Quality
Assurance","512,200","100,000","412,200",19.5,157,0
,105085060,"Agriculture Sector Planning and
Management","663,900","100,000","563,900",15.1,157,0
106005060,,"Agricultural Productivity Im-
provement","7,647,500","3,196,200","4,451,300",41.8,157,0
,106015060,Agriculture Credit Access,"7,547,500","3,196,200","4,351,300",42.3,157,0
,106025060,Agriculture input Access,"100,000",-,"100,000",-,157,0
107005060,,"Promotion of market access and
products development","1,456,700","258,750","1,197,950",17.8,157,0
,107015060,Promotion of Agribusiness,"611,750","185,250","426,500",30.3,157,0
,107025060,Promotion value addition,"844,950","73,500","771,450",8.7,157,0
108005060,,"Revenue Generation and Man-
agement","25,649,231","15,507,381","10,141,850",60.5,157,0
,108015060,Local Revenue Mobilization,"25,649,231","15,507,381","10,141,850",60.5,157,0
109005060,,"Urban Planning $ Development
Control","225,554,417","77,179,000","148,375,417",34.2,157,0
,109015060,Urban planning and development,"225,554,417","77,179,000","148,375,417",34.2,157,0
110005060,,0 Kisumu Urban Project,-,-,-,-,157,0
,110015060,Consultancy,-,-,-,-,157,0
,110025060,Works,-,-,-,-,157,0
,110035060,Supply,-,-,-,-,157,0
201005060,,"County Roads and Public Works
Management","723,225,606","135,893,014","587,332,592",18.8,157,0
,201015060,"General administration & plan-
ning","217,120,950","12,152,056","204,968,894",5.6,158,0
,201025060,"Road construction and mainte-
nance services","506,104,656","123,740,958","382,363,698",24.4,158,0
203005060,,"Administration, Planning and
Support Services","1,179,503,110","734,773,927","444,729,183",62.3,158,0
,203015060,Administrative services,"1,143,855,250","722,418,449","421,436,801",63.2,158,0
,203025060,Personnel services,-,-,-,-,158,0
,203035060,Financial Services,"35,647,860","12,355,478","23,292,382",34.7,158,0
205005060,,Energy Production,"16,778,924","1,484,401","15,294,523",8.8,158,0
,205015060,Rural Electrification,-,-,-,-,158,0
,205035060,Climate Change,"1,173,000","91,428","1,081,572",7.8,158,0
,205045060,Petroleum and Electricity,"15,605,924","1,392,973","14,212,951",8.9,158,0
206005060,,Mining Efficiency,"153,213,094","24,148,200","129,064,894",15.8,158,0
,206015060,Inventory of mining activities,-,-,-,-,158,0
,206025060,GIS mapping and surveillance,-,-,-,-,158,0
