Programme,"Approved Budget
(Kshs)",Actual Payments (Kshs),"Variance
(Kshs.)",Absorption (%),page_number,table_index
3061 - FINANCE & ECONOMIC PLANNING,,,,,176,0
"Budget formulation, co-ordation and management
(0703023060)","50,363,427","43,412,502","6,950,925",86.2,176,0
General Administration (0704043060),"311,113,457","243,312,842","67,800,615",78.2,176,0
Revenue Collection Management (0710013060),"26,998,098","16,669,667","10,328,431",61.7,176,0
Public Finance and Accounting Services (0711013060),"11,289,109","9,203,173","2,085,936",81.5,176,0
Procurement Services (0711023060),"5,517,065","1,241,870","4,275,195",22.5,176,0
Risk Assurance Services (0711033060),"5,447,030","3,299,971","2,147,059",60.6,176,0
Personal Services(0704013060),"133,083,391","130,423,548","2,659,843",98.0,176,0
TOTALS,"543,811,577","447,563,572","96,248,005",82.3,176,0
"3062 - AGRICULTURE,LIVESTOCK & FISHERIES",,,,,176,0
"General administration and support services
{0102053060}","371,120,740","285,512,591","85,608,149",76.9,176,0
Crop production & food security {0107013060},"268,738,968","686,428","268,052,540",0.3,176,0
Dairy and meat production {0108013060},"58,575,000","16,823,770","41,751,230",28.7,176,0
Fish production management {0109013060},"21,237,294","5,704,655","15,532,639",26.9,176,0
Livestock disease control {0108033060},"71,694,000","3,254,776","68,439,224",4.5,176,0
"Farm land utilization, mechanization & crop storage
{0107033060}","44,135,000","31,279,283","12,855,717",70.9,176,0
"Agricultural extension, research & training. {0107023060}","3,665,000","471,325","3,193,675",12.9,176,0
Total,"839,166,002","343,732,828","495,433,174",41.0,176,0
"3063 -LAND, ENVIRONMENT, MINING & NATU-
RAL RESOURCES",,,,,176,0
"0102053060 (General administration and Support ser-
vices","149,802,776","32,184,782","117,617,994",21.5,176,0
0102063060 (Personnel Services),"21,735,980","20,556,363","1,179,617",94.6,176,0
0104013060 (Physical development plans),"21,480,000","3,777,800","17,702,200",17.6,176,0
"0105013060 (Establishment of squatter settlement
schemes","45,281,207","30,104,107","15,177,100",66.5,176,0
"'0105033060 (identification and acquisition of land for
development)","12,900,000","2,350,000","10,550,000",18.2,176,0
"0106023060 (County Environmental Awareness Initia-
tive)","50,600,000","776,300","49,823,700",1.5,176,0
"0901023060 (Empowering communities in extractive
industry)","1,020,000","825,600","194,400",80.9,176,0
TOTAL,"302,819,963","90,574,952","212,245,011",29.9,176,0
3064 - MEDICAL & PUBLIC HEALTH,,,,,176,0
General administration(0403013060),"763,164,425","218,469,299","544,695,126",28.6,176,0
Medical drugs(0402043060)),"220,000,000","213,730,702","6,269,298",97.2,176,0
HMIS (0403043060)),"4,530,000","3,729,400","800,600",82.3,176,0
Personnel services(0403053060),"1,402,677,613","1,259,314,449","143,363,164",89.8,176,0
Msambweni hospital (0405013060),"44,276,733","30,525,235","13,751,499",68.9,176,0
Kinango hospital(0406013060),"30,125,186","17,283,378","12,841,808",57.4,176,0
Kwale hospital(0407013060),"59,030,000","13,297,857","45,732,143",22.5,176,0
Tiwi rural health facility(0408013060),"5,104,000","2,543,543","2,560,457",49.8,176,0
Samburu hospital(0409013060),"22,045,200","4,097,582","17,947,618",18.6,176,0
Lunga lunga hospital(0410013060),"14,898,200","11,227,665","3,670,535",75.4,176,0
Public health(0401053060),"3,350,000","1,111,976","2,238,024",33.2,176,0
Rural health facilities(0412013060),"390,343,554","69,077,960","321,265,594",17.7,176,0
Total,"2,959,544,911","1,844,409,046","1,115,135,865",62.3,176,0
3065 - COUNTY ASSEMBLY,,,,,176,0
General administration and support services,"707,450,432","363,229,013","344,221,419",51.3,176,0
"Oversight, legislation and representation","116,749,934","56,156,433","60,593,501",48.1,176,0
Total,"824,200,366","419,385,446","404,814,920",50.9,176,0
"3066 -TRADE, INVESTMENT & CO-OPERATIVE
DEVELOPMENT",,,,,176,0
Administration services(0305023060),"11,289,000","3,977,183","7,311,817",35.2,176,0
Construction of new markets(0306023060),"45,589,356","10,532,208","35,057,148",23.1,176,0
Weights & Measures,"11,748,424","7,399,950","4,348,474",63.0,176,0
Trade Development and Investment,"13,718,987","3,858,753","9,860,234",28.1,176,0
Other Current Transfers(0306023060),"10,000,000",-,"10,000,000",0.0,176,0
Personnel Services (305013060),"28,701,006","21,657,999","7,043,007",75.5,176,0
"Building Capacity of Traders for better Market Ac-
cess(301013060)","5,763,500","2,117,360","3,646,140",36.7,176,0
Industry & Enterprise Development,"83,856,000","987,233","82,868,767",1.2,177,0
Cooperative Development,"7,230,348","1,317,920","5,912,428",18.2,177,0
Domestic payable-from previous years,"128,305,577","44,216,462","84,089,115",34.5,177,0
TOTAL,"346,202,198","96,065,068","250,137,130",27.7,177,0
"3067-SOCIAL SERVICES & TALENT DEVELOP-
MENT",,,,,177,0
Administration,"170,959,015","97,545,587","73,413,428",57.1,177,0
Community development,"91,787,056","2,072,525","89,714,531",2.3,177,0
Culture and heritage,"30,414,943","4,784,320","25,630,623",15.7,177,0
Sports and talent management,"144,523,958","25,934,003","118,589,955",17.9,177,0
Total,"437,684,972","130,336,435","307,348,537",29.8,177,0
3068-EXECUTIVE SERVICES,,,,,177,0
Audit Services704013060,"76,797,685","46,124,651","30,673,034",60.1,177,0
General Administration704043060,"102,615,818","21,875,652","80,740,166",21.3,177,0
Legal Advisory Services707013060,"2,386,000","962,360","1,423,640",40.3,177,0
Media and Communication Services707033060,"10,986,460","7,999,500","2,986,960",72.8,177,0
TOTAL,"192,785,963","76,962,163","115,823,800",39.9,177,0
3069 -EDUCATION,,,,,177,0
Personnel Services (0502023060),"516,326,025","320,260,389","196,065,636",62.0,177,0
Scholarship and Bursary (0504013060),"404,500,000","404,500,000",-,100.0,177,0
Administration Planning support service (0502013060),"572,232,925","294,395,666","277,837,259",51.4,177,0
"Infrastructure development (0503023060) AND
(0501043060)","456,302,167",-,"456,302,167",0.0,177,0
Youth Training Development( 0503013060),"79,099,894","38,340,474","40,759,420",48.5,177,0
Early Childhood Development (0501013060),"103,350,000","67,788,426","35,561,574",65.6,177,0
Total,"2,131,811,011","1,125,284,955","1,006,526,056",52.8,177,0
3070 -WATER SERVICES,,,,,177,0
"Construction & Maintenance of water pipeline supply
systems (1001023060)","101,500,000","2,416,904","99,083,096",2.4,177,0
"Development of Borehole water supply system
(1001033060)","83,082,966","4,153,647","78,929,319",5.0,177,0
"Development/Construction of surface water supply sys-
tems ( 1001043060)","235,426,042","3,260,660","232,165,382",1.4,177,0
Community Water Project ( 1001063060),"21,044,263","8,429,966","12,614,297",40.1,177,0
Personnel Services (1002013060),"40,992,416","21,125,586","19,866,830",51.5,177,0
Administration Services (1002023060),"792,875,292","377,276,578","415,598,714",47.6,177,0
TOTAL,"1,274,920,979","416,663,341","858,257,638",32.7,177,0
3071 -ROADS & PUBLIC WORKS,,,,,177,0
Administration Services (0305023060),"420,848,360","276,458,740","144,389,620",65.7,177,0
"Rehabilitations of Roads, Drainage and bridges
(0202013060)","721,232,335","51,914,273","669,318,062",7.2,177,0
Personnel Services (0305013060),"153,411,638","45,309,419","108,102,219",29.5,177,0
Installation of Street Lighting Facilities (0203013060),"43,016,877",-,"43,016,877",0.0,177,0
TOTAL,"1,338,509,210","373,682,432","964,826,778",27.9,177,0
3072 -TOURISM & ICT,,,,,177,0
Personnel services {0305013060},"21,602,016","16,622,881","4,979,135",77.0,177,0
Administration services {0305023060},"27,666,930","11,724,657","15,942,273",42.4,177,0
"Local area network installation and ICT support
{0308013060}","46,406,063","15,944,032","30,462,031",34.4,177,0
Tourism Promotion {0304013060},"53,385,338","4,277,203","49,108,135",8.0,177,0
TOTAL,"149,060,347","48,568,773","100,491,574",32.6,177,0
3073 -PUBLIC SERVICE BOARD,,,,,177,0
Human resource planning (706013060),"16,820,856","9,706,823","7,114,033",57.7,177,0
"Transformation of service delivery in public service
(706023060)","1,700,000","1,097,933","602,067",64.6,177,0
HR management and skill development (706033060),-,-,-,0.0,177,0
Compensation to employees (706043060),"29,281,935","19,379,052","9,902,883",66.2,177,0
Human resource planning (706053060),"1,300,000","270,900","1,029,100",20.8,177,0
Staff rationalization (706063060),"1,300,000","549,150","750,850",42.2,177,0
TOTAL,"50,402,791","31,003,858","19,398,933",61.5,177,0
3074 - PUBLIC SERVICE & ADMINISTRATION,,,,,177,0
Audit Services0704013060,"167,949,004","143,944,255","24,004,749",85.7,177,0
General Adminstration0704043060,"159,425,820","83,559,162","75,866,658",52.4,177,0
Compensation to employees,"1,200,000","600,000","600,000",50.0,177,0
County compliance and enforcement0708033060,"19,422,200","11,876,577","7,545,623",61.1,177,0
