Programme,col_1,Sub- Programme,Approved Budget (Kshs),Actual Payments (Kshs),Variance (Kshs) A,bsorption (%),page_number,table_index
"Sub-pro-
gramme 1","General Administration
and support services",,"778,943,756","296,218,368","482,725,388",38,197,0
"Sub-pro-
gramme 2",Quality Management,,"625,000",-,"625,000",-,197,0
"Sub-pro-
gramme 3","Training,Research and De-
velopment",,"95,112,564","45,265,200","49,847,364",47.6,197,0
"Sub-pro-
gramme 4","Information Communica-
tion Technology",,"4,875,011","366,200","4,508,811",7.5,197,0
"Sub-pro-
gramme 5",ICT Infrastructure,,"36,192,218","6,979,242","29,212,976",19.3,197,0
"Sub-pro-
gramme 6",Closed Circuit Television,,"7,461,582",-,"7,461,582",-,197,0
TOTAL,,,"923,210,131","348,829,009","574,381,121",37.8,197,0
"TRADE,INDUSTRIALIZATION AND INNOVATION",,,,,,,197,0
"Sub-pro-
gramme 1","Headquarter Administra-
tion Services",,"57,094,782","33,123,633","23,971,149",58,197,0
"Sub-pro-
gramme 2",Trade Development,,"49,064,737","1,664,450","47,400,287",3.4,197,0
"Sub-pro-
gramme 3","Business and Enterprise
Development",,"15,058,833",-,"15,058,833",-,197,0
"Sub-pro-
gramme 4","Industrialization and Inno-
vation",,"30,618,885",-,"30,618,885",-,197,0
"Sub-pro-
gramme 5","Investment Facilitation
and Support",,"11,051,203","995,000","10,056,203",9,197,0
"Sub-pro-
gramme 6",Hygiene and Sanitation,,"5,808,080","2,109,300","3,698,780",36.3,197,0
"Sub-pro-
gramme 7",Legal Services,,"186,756,150","6,263,978","180,492,172",3.4,197,0
TOTAL,,,"355,452,670","44,156,362","311,296,308",12.4,197,0
FINANCE AND ECONOMIC PLANNING,,,,,,,197,0
"Sub-pro-
gramme 1",Revenue Management,,"62,949,785","30,202,490","32,747,295",48.0,197,0
"Sub-pro-
gramme 2","Budget formulation,Coor-
dination and Implementa-
tion Section",,"24,102,493","10,110,030","13,992,463",41.9,197,0
"Sub-pro-
gramme 3","Supply Chain Management
Section",,"1,888,533",-,"1,888,533",-,197,0
"Sub-pro-
gramme 4",Accounts Section,,"5,747,868","1,000,000","4,747,868",17.4,197,0
"Sub-pro-
gramme 5",Audit Section,,"2,700,000","1,583,000","1,117,000",58.6,197,0
"Sub-pro-
gramme 6","Human Resource Manage-
ment and Support Services",,"376,795,731","207,641,792","169,153,939",55.1,197,0
"Sub-pro-
gramme 7","Economic Planning and
Statistical Services",,"20,130,587","10,715,964","9,414,623",53.2,197,0
"Sub-pro-
gramme 8","External Resource Mobili-
zation",,"900,000",,"900,000",-,197,0
TOTAL,,,"495,214,997","261,253,276","233,961,721",52.8,197,0
COUNTY ADMINISTRATION AND DECENTRALIZED UNITS,,,,,,,197,0
"Sub-pro-
gramme 1","General Administration
and support services",,"553,366,546","176,723,003","376,643,543",31.9,197,0
