Programme,Sub Programme,Description,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs),"Absorption
(%)",page_number,table_index
"Administration and
Compensation",904013410,"Administration and Support
Services","155,117,725","102,061,967","53,055,758",65.8,212,0
,702033410,Administration Services,"2,977,089,062","1,772,285,331","1,204,803,731",59.5,212,0
,,,"3,132,206,787","1,874,347,298","1,257,859,489",59.8,212,0
"Agricultural and Live-
stock Sector Support",101063410,"Agricultural Infrastructure,
Conservation and Research","713,190,420","188,000,857","525,189,563",26.4,212,0
,103033410,"Livestock Agricultural Sector
Support","208,154,333","117,263,737","90,890,596",56.3,212,0
,,,"921,344,753","305,264,594","616,080,159",33.1,212,0
"Cooperatives Develop-
ment Programmes",303023410,"Cooperatives Agricultural
Support","11,100,000","7,800,000","3,300,000",70.3,212,0
,,,"11,100,000","7,800,000","3,300,000",70.3,212,0
"Legislation and Over-
sight Services",701013410,"County Assembly Adminis-
tration offices","221,218,668","58,902,435","162,316,234",26.6,212,0
,,,"221,218,668","58,902,435","162,316,234",26.6,212,0
"ECDE and Sports De-
velopment Services",504013410,ECDE Infrastructure.,"361,020,068","92,519,500","268,500,568",25.6,212,0
,,,"361,020,068","92,519,500","268,500,568",25.6,212,0
"Solar Energy and Envi-
ronmental Services",903013410,Environmental Protection,"87,254,030","57,649,350","29,604,680",66.1,212,0
,902023410,Street lighting,"242,116,629","180,638,930","61,477,699",74.6,212,0
,,,"329,370,659","238,288,280","91,082,379",72.3,212,0
"Administration, Plan-
ning and Support Ser-
vices",105013410,"General Administration &
Support Services","686,607,526","471,744,669","214,862,856",68.7,212,0
,503013410,"General Administration &
Support Services","2,368,783,973","1,510,137,458","858,646,514",63.8,212,0
,,,"3,055,391,498","1,981,882,128","1,073,509,370",64.9,212,0
"Physical Infrastructure
Development",107013410,Infrastructure & Equipment,"281,744,752","132,354,963","149,389,790",47,212,0
,401013410,"Infrastructure Construction,
Expansion and Maintenance","880,544,060","351,192,034","529,352,026",39.9,212,0
,502013410,"Infrastructure Development
and Expansion","149,371,471","54,387,658","94,983,814",36.4,212,0
,701023410,"Infrastructure Development
and Expansion","1,388,675,003","861,383,307","897,384,472",62,212,0
,,,"2,700,335,286","1,399,317,961","1,671,110,101",51.8,212,0
Financial Services,701033410,Procurement Services,"51,825,600",-,"51,825,600",-,212,0
,,,"51,825,600",-,"51,825,600",-,212,0
Trade Development,305013410,"Trade development &Pro-
motion","174,350,215","77,694,664","96,655,551",44.6,212,0
,,,"174,350,215","77,694,664","96,655,551",44.6,212,0
"Water Provision Ser-
vices",901053410,Water provision services,"746,977,856","455,104,898","291,872,958",60.9,212,0
,901043410,Water Storage Structures,"1,490,692,714","881,750,501","683,695,771",59.2,212,0
,,,"2,237,670,570","1,336,855,399","975,568,728",59.7,212,0
"Youth Rehabilitation
and Development",501023410,"Youth Development Pro-
grammes and Policy","123,890,988","56,771,327","67,119,661",45.8,212,0
,Sub Total,,"123,890,988","56,771,327","67,119,661",45.8,212,0
,Grand Total,,"13,319,725,092","7,429,643,584","6,334,927,841",55.8,212,0
