Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,Absorption (%),page_number,table_index
"County Assembly of
Marsabit Operational
And Oversight",Operations and Oversight,"730,182,991","362,422,061","367,760,930",49.6,217,0
"Physical Planning And
Development",Urban Development Services,-,-,-,-,217,0
,Lands and Physical Planning Services,"93,350,000","47,367,280","45,982,720",50.7,217,0
,"General administration planning and Support
Services","143,000,000","60,118,732","82,881,269",42,217,0
,Sub total,"236,350,000","107,486,012","128,863,989",45.5,217,0
Education,"General Administration, Planning and Sup-
port Services","324,000,000","182,312,423","141,687,577",56.3,217,0
,Pre – Primary Education,"290,803,724","131,555,287","159,248,437",45.2,217,0
,Youth Development,-,-,-,-,217,0
,Vocational Education and Training,-,-,-,-,217,0
,Sports,-,-,-,-,217,0
,Sub total,"614,803,724","313,867,710","300,936,014",51.1,217,0
Executive Services,"General Administration, Planning and Sup-
port Services","360,000,000","349,180,930","10,819,070",97,217,0
,Management of County Affairs,"635,000,000","407,827,840","227,172,161",64.2,217,0
,Public Sector Advisory Services,-,-,-,-,217,0
,Inter/Intra Governmental,-,-,-,,217,0
,County Legal Services,-,-,-,-,217,0
,Sub total,"995,000,000","757,008,770","237,991,231",76.1,217,0
Administration And ICT,"General administration planning and Support
Services","330,000,000","181,984,568","148,015,432",55.1,217,0
,ICT infrastructure,"16,150,000","11,763,000","4,387,000",72.8,217,0
,Coordination of functions of devolved Units,-,-,-,-,217,0
,Public Participation and Civic Education,-,-,-,,217,0
,Sub total,"346,150,000","193,747,568","152,402,432",56,217,0
"Agriculture And Live-
stock Development","General Administration, Planning and Sup-
port Services","90,116,158","53,828,656","36,287,502",59.7,217,0
,"Livestock Resources Management and Devel-
opment","88,652,172","40,692,203","47,959,969",45.9,217,0
,Fisheries Development and Management,"21,231,666","3,875,244","17,356,422",18.3,217,0
,Crop Development and Management,"554,984,815","19,509,304","535,475,511",,217,0
,Sub total,"754,984,811","117,905,407","637,079,404",15.6,217,0
Health Services,Curative Health Services,-,,-,-,217,0
,"General Administration, Planning and Sup-
port Services","2,215,731,869","1,124,069,312","1,091,662,557",50.7,217,0
,Maternal and child health,-,-,-,-,217,0
,Sub total,"2,215,731,869","1,124,069,312","1,091,662,557",50.7,217,0
"County Public Service
Board","General administration planning and Support
Services","95,000,000","50,381,322","44,618,678",53,217,0
,"Human Resource Management and Develop-
ment",-,-,-,-,217,0
,Sub total,"95,000,000","50,381,322","44,618,678",53,217,0
"Culture And Social
Services",Youth Development,-,,-,,217,0
,Culture Services,"55,350,000","27,759,200","27,590,800",,217,0
,Social Services,-,-,-,-,217,0
,"General administration, planning and support
services","100,000,000","41,525,567","58,474,433",41.5,217,0
,Sub total,"155,350,000","69,284,767","86,065,233",44.6,217,0
