Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
County Assembly,,,,-,,223,1
"General Administration, Planning
and Support Services","General Administration
Planning and Support Ser-
vices",",
371,585,852","202,868,063","168,717,789",54.6,223,1
Legislative and Representation,"Legislative and Representa-
tion","445,155,546","285,063,503","160,092,043",64,223,1
Legislative Oversight,Legislative Oversight,"206,478,602","144,768,434","61,710,168",70.1,223,1
Grand Total,,"1,023,220,000","632,700,000","390,520,000",61.8,223,1
Office of the Governor,,,,-,,223,1
,,,,-,,223,1
"Efficiency, Monitoring and Evalua-
tion","Efficient, Monitoring and
Evaluation","44,891,346","19,759,842","25,131,504",44,223,1
,"Performance managemen
and Appraisal","t
-",-,-,-,223,1
,Sub Total,-,-,-,-,223,1
Communication and Events,Communication and Events,"19,451,136","14,731,561","4,719,575",75.7,223,1
"Disaster Management, Rescue and
Emergency","Disaster Management, Res-
cue and Emergency","12,832,403","4,235,600","8,596,803",33,223,1
Human Resource Management,"Human Resource Manage-
ment",-,-,-,-,223,1
"General Administration, Planning
and Support Services","General Administration
Planning and Support Ser-
vices",",
216,588,384","127,666,335","88,922,049",58.9,223,1
Research and Strategy,"Research and Public Partic-
ipation","7,700,000","8,331,992","(631,992)",108.2,224,0
Office of the County Secretary,County Secretary,"10,600,000","7,728,125","2,871,875",72.9,224,0
"Partnership Development and Exter-
nal Linkages","Partnership Development
and External Linkages",-,-,-,-,224,0
Total,,"312,063,269","182,453,456","129,609,813",58.5,224,0
"Finance, Economic Planning and ICT -",,,,,,224,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","767,838,924","463,500,214","304,338,710",60.4,224,0
,Accounts and Reporting,"51,326,127","5,328,001",,,224,0
Public Finance Management,"Budget Coordination &
Management","29,484,304","23,145,850","6,338,454",78.5,224,0
,Internal Audit,"7,700,000","6,424,768","1,275,232",83.4,224,0
,Procurement Service,"6,100,000","4,212,283","1,887,717",69.1,224,0
,Sub Total,-,-,-,-,224,0
ICT Development,ICT Development,"55,675,408","16,406,034","39,269,374",29.5,224,0
"Economic Planning & Coordination
Services","Economic Planning & Coor-
dination Services","10,300,000","4,964,830","5,335,170",48.2,224,0
Fleet Management,Fleet Management,"148,000,177","89,563,467","58,436,710",60.5,224,0
,,"1,076,424,940","613,545,447","416,881,367",57,224,0
"Agriculture, Livestock and Fisheries",,,,,,224,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","663,963,972","177,656,177","486,307,795",26.8,224,0
Agriculture Development,Agriculture Development,"19,381,111","1,033,487","18,347,624",5.3,224,0
Aquaculture Development,Aquaculture Development,"8,915,000","571,773","8,343,227",6.4,224,0
Livestock Development,Livestock Development,"9,249,389","2,977,286","6,272,103",32.2,224,0
Animal Disease Management,"Animal Disease Manage-
ment","1,555,000","8,729","1,546,271",0.6,224,0
County Owned Enterprise,Agricultural Training Centre,"6,647,461","262,070","6,385,391",3.9,224,0
,"Agricultural Mechanization
Services","1,134,625",-,"1,134,625",-,224,0
,,"710,846,558","182,509,523","528,337,035",25.7,224,0
Water and Irrigation,,,,,,224,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","132,507,487","68,266,878","64,240,609",51.5,224,0
Water Resource Management,"Water Resource Manage-
ment","356,672,094","52,322,972","304,349,122",-,224,0
Irrigation and drainage Infrastructure,"Irrigation and drainage In-
frastructure",-,-,-,-,224,0
,,"489,179,581","120,589,850","368,589,731",24.7,224,0
"Education, Technolgy, Gender and
Social Development",,-,-,-,,224,0
"General Administation, Planning and
Support Services","General Administration,
Planning and Support Ser-
vices","723,413,225","433,940,235","289,472,990",60,224,0
Basic Education,Basic Education,"185,674,624","4,000","185,670,624",-,224,0
"Technical& Vocational Education &
Training","Technical& Vocational Edu-
cation & Training","74,086,170",-,"74,086,170",-,224,0
"Gender, Social Development & Chil-
dren Services","Gender, Social Development
& Children Services","53,895,000","10,000,000","43,895,000",18.6,224,0
,,"1,037,069,019","443,944,235","593,124,784",42.8,224,0
Health Service,,,,,,224,0
Preventive and Promotive,Preventive services,"137,181,996","56,292,211","80,889,785",41,224,0
Health Care Services,Promotive health care,,-,-,-,225,0
,Subtotal,-,-,-,-,225,0
Curative Health,Curative health care services,"815,052,444","89,276,700","725,775,744",11,225,0
,Subtotal,-,-,-,-,225,0
General Administration and Planning,"General Administration and
Planning","2,560,007,670","1,923,533,661","636,474,009",75.1,225,0
,Subtotal,-,-,-,-,225,0
COVID 19,COVID 19,-,"203,431,537","(203,431,537)",-,225,0
,,"3,512,242,110","2,272,534,110","1,239,708,000",64.7,225,0
"Lands, Physical Planning, Urban
Development and Public Works",,-,-,-,,225,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","73,772,012","54,775,956","18,996,056",74.3,225,0
Meru Town Municipality,Meru Town Municipality,"450,634,281","5,174,690","445,459,591",1.1,225,0
"Spatial, Planning, Survey and Map-
ping","Spatial, Planning, Survey and
Mapping","44,600,000","7,544,521","37,055,479",16.9,225,0
Public Works,Public Works,"156,462,844","35,565,271","120,897,573",-,225,0
,,"725,469,137","103,060,438","622,408,699",14.2,225,0
"Public Service Administration and
Legal Affairs",,-,-,-,,225,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","53,053,525","8,729,308","44,324,217",16.5,225,0
"Coordination of County Government
Function","Coordination of County
Government Function","11,685,270","5,619,324","6,065,946",48.1,225,0
County Enforcement Services,"County Law Enforcement
Service","50,758,250","28,335,431","22,422,819",55.8,225,0
,Conservancy Ranger Service,-,-,-,-,225,0
Human Resource Management,"Human Resource Manage-
ment","810,160,338","521,025,585","289,134,753",64.3,225,0
"Legal Representaion and Advisory
Services","Legal Representaion and Ad-
visory Services","46,279,250","39,537,975","6,741,275",85.4,225,0
Town Management & Administration,"Town Management & Ad-
ministration","4,960,000","1,478,800","3,481,200",29.8,225,0
,,"976,896,633","604,726,423","372,170,210",61.9,225,0
"Road, Transport and Energy",,,,,,225,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","73,644,479","41,446,503","32,197,976",56.3,225,0
Electrification and Street Lighting,"Electrification and Street
Lighting","38,311,122","11,787,456","26,523,666",30.8,225,0
Road Transport,Road Transport,"1,181,082,360","418,833,290","762,249,070",-,225,0
,,"1,293,037,961","472,067,248","820,970,712",36.5,225,0
"Trade, Investment, Industrializa-
tion, Tourism and Cooperative De-
velopment",,,,,,225,0
"General Administration, Planning
and Support Services","General Administration,
Planning and Support Ser-
vices","63,175,915","40,800,710","22,375,205",64.6,225,0
Trade Development & Promotion,"Trade Development & Pro-
motion","125,877,392","3,546,345","122,331,047",2.8,225,0
Cooperative Development,Cooperative Development,"18,000,000","3,837,480","14,162,520",21.3,225,0
"Tourism Development and Promo-
tion","Tourism Development and
Promotion","20,000,000","7,140,081","12,859,919",35.7,225,0
"Industrial Development and Invest-
ment","Industrial Development and
Investment",-,"55,324,616","(55,324,616)",-,225,0
,,"227,053,307","110,649,231","116,404,076",48.7,225,0
