Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
"General administration, planning and
support services",Service Delivery Unit,"18,200,000","10,630,975","7,569,025",58.4%,294,0
,"Governor's Office & In-
vestment Promotion","81,335,058","62,548,795","18,786,263",76.9%,294,0
,"Liaison and Intergovern-
mental Relations","13,750,000","1,096,029","12,653,971",8.0%,294,0
,"Civic Education and
Public Participation","8,600,000","4,871,370","3,728,630",56.6%,294,0
Sub Total,,"121,885,058","79,147,169","42,737,889",64.9%,294,0
County Secretary,"County Secretary-Ad-
ministration","15,655,000","6,512,959","9,142,042",41.6%,294,0
,"Communication and
Public Relations","2,400,000","1,955,615","444,385",81.5%,294,0
,Cabinet Affairs,"700,000","457,640","242,360",65.4%,294,0
Human Resource Management,"Payroll (Including Com-
pensation to employees)","1,906,050,000","1,476,618,365","429,431,635",77.5%,294,0
,"Human Resource Man-
agement (Including em-
ployee gratuity, pension
and medical insurance)","101,530,000","1,949,180","99,580,820",1.9%,294,0
Sub Total,,"2,026,335,000","1,487,493,758","538,841,242",73.4%,294,0
County Attorney Services,legal and public affairs,"33,332,655","19,140,529","14,192,126",57.4%,294,0
Sub Total,,"33,332,655","19,140,529","14,192,126",57.4%,294,0
Public administration,Public Administration,"3,920,000","3,463,201","456,799",88.3%,294,0
,"sub-county and ward ad-
ministration","25,450,000","15,024,822","10,425,178",59.0%,294,0
,"Enforcement and Com-
pliance","6,000,000","4,521,125","1,478,875",75.4%,294,0
ICT and E-government Services,"ICT and E-government
Services","11,000,000","3,630,647","7,369,353",33.0%,294,0
Sub Total,,"46,370,000","26,639,795","19,730,205",57.5%,294,0
County Public Service Board,"County Public Service
Board","18,400,000","17,052,022","1,347,978",92.7%,294,0
Sub Total,,"18,400,000","17,052,022","1,347,978",92.7%,294,0
Public Finance Management,County Funds,"246,000,000","206,000,000","40,000,000",83.7%,294,0
,County Pending Bills,"98,747,429","24,373,257","74,374,172",24.7%,294,0
