Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index,"Actual Payments in
(Kshs.)",Variance(Kshs.),"Absorption rate
(%)"
"0306004210 P5 P1
General Administra-
tion Planning and
Support Services","0306014210 SP6 SP1 General Administra-
tion Planning and Support Services","21,781,110","9,595,746","12,185,364",44.1,312,0,,,
,Sub total,"21,781,110","9,595,746","12,185,364",44.1,312,0,,,
"Culture, Social Services, Gender, Sports & Youth Affairs",,,,,,312,0,,,
"0901004210 P1 Gen-
eral Administration
Planning and Support
Services","0901014210 SP1 General Administration
Planning and Support Services","26,520,592","15,815,797","10,704,795",59.6,312,0,,,
,Sub total,"26,520,592","15,815,797","10,704,795",59.6,312,0,,,
"0902004210 P2 Cul-
ture and social Ser-
vices development",0902014210 SP1 Conservation of Heritage,"978,000","414,640","563,360",42.4,312,0,,,
,"0902024210 SP2 Development and Promo-
tion of Culture","36,279,932","2,881,600","33,398,332",7.9,312,0,,,
,0902034210 SP3 Social Welfare and Gender,"27,438,000","6,326,725","21,111,275",23.1,312,0,,,
,"0902044210 SP4 Community Mobilization
and Development","6,106,692","2,959,600","3,147,092",48.5,312,0,,,
,Sub total,"70,802,624","12,582,565","58,220,059",17.8,312,0,,,
"0903004210 P3 Pro-
motion of other
sports activities","0903014210 SP1 Development and Man-
agement of Sports Facilities","35,612,581","665,630","34,946,951",1.9,312,0,,,
,Sub total,"35,612,581","665,630","34,946,951",1.9,312,0,,,
"0503004210 P4 Sports
Development","0503034210 SP1 Sports Development,
Training and Competition","27,873,600","17,155,106","10,718,494",61.5,312,0,,,
,Sub total,"27,873,600","17,155,106","10,718,494",61.5,312,0,,,
"0904014210 P5 Gen-
eral Administration
Planning and Support
Services","0904004210 SP1 General Administration
Planning and Support Services","15,546,383","7,521,680","8,024,703",48.4,312,0,,,
,Sub total,"15,546,383","7,521,680","8,024,703",48.4,312,0,,,
Grand Total,,"6,880,657,924","3,085,609,304","3,795,048,620",44.8,312,0,,,
COUNTY ASSEMBLY,,,,,,317,1,,,
Legislative and Representation,"Legislative and Repre-
sentation","942,053,219",,,,317,1,"235,857,320","706,195,899",25.0%
,Sub total,"942,053,219",,,,317,1,"235,857,320","706,195,899",25.0%
Legislative Oversight,Legislative Oversight,"76,657,200",,,,317,1,"64,839,576","11,817,624",84.6%
,Sub total,"76,657,200",,,,317,1,"64,839,576","11,817,624",84.6%
"General administration and planning sup-
port services","General administra-
tion and planning sup-
port services","369,361,691",,,,317,1,"212,052,711","157,308,980",57.4%
,Sub total,"369,361,691",,,,317,1,"212,052,711","157,308,980",57.4%
"GOVERNANCE AND ADMINSTRA-
TION",,,,,,317,1,,,
"Office of the Governor and Deputy Gover-
nor","General administra-
tion and planning sup-
port services","193,559,985",,,,317,1,"158,581,565","34,978,420",81.9%
,Sub total,"193,559,985",,,,317,1,"158,581,565","34,978,420",81.9%
County Executive Administration,"County Executive Ad-
ministration","288,832,165",,,,317,1,"213,407,231","75,424,934",73.9%
,Sub total,"288,832,165",,,,317,1,"213,407,231","75,424,934",73.9%
County Public Service Board,"County Public Service
Board","118,609,934",,,,318,0,"44,797,297","73,812,637",37.8%
,Sub total,"118,609,934",,,,318,0,"44,797,297","73,812,637",37.8%
FINANCE AND ECONOMIC PLANNING,,,,,,318,0,,,
General Administration,"General Administra-
tion","574,688,739",,,,318,0,"435,524,270","139,164,469",75.8%
,Sub total,"574,688,739",,,,318,0,"435,524,270","139,164,469",75.8%
Financial Services,"Budget formulation,
coordination and
management","33,456,466",,,,318,0,"28,759,097","4,697,369",86.0%
,Accounting Services,"24,648,655",,,,318,0,"21,165,371","3,483,284",85.9%
