Budget Execution by Programmes and Sub-Programmes,"Sum of Approved
Estimates (Kshs.)","Sum of Total Ex-
penditure (Kshs.)","Sum of Balance
(Kshs.)","Absorption
(%)",page_number,table_index
Administration and Devolution Affairs,"254,129,734","185,985,508","68,144,226",73.2%,338,1
P: County Government Advisory Services,"3,600,000","725,420","2,874,580",20.2%,338,1
SP: Disaster Management and Coordination,"3,600,000","725,420","2,874,580",20.2%,338,1
"P: General Administration, Planning and Support Services","250,529,734","185,260,088","65,269,646",73.9%,338,1
SP: General Administration and Support Services,"244,529,734","183,169,978","61,359,756",74.9%,338,1
SP: Human Resource Management Services,"1,100,000","384,200","715,800",34.9%,338,1
SP: Sub-County Administration and Field Services,"4,900,000","1,705,910","3,194,090",34.8%,338,1
"Agriculture, Industry and Cooperatives","599,380,937","231,518,468","367,862,469",38.6%,338,1
P: Cooperative Development and Management,"3,168,903","2,126,200","1,042,703",67.1%,338,1
SP: Cooperative Development,"3,168,903","2,126,200","1,042,703",67.1%,338,1
P: Crop Development and Management,"8,343,351","3,646,000","4,697,351",43.7%,339,0
"SP: Crops Development, Agribusiness and Market Development","8,343,351","3,646,000","4,697,351",43.7%,339,0
P: General Administration Planning and Support Services,"587,868,683","225,746,268","362,122,415",38.4%,339,0
"SP: Administration, Policy, Strategy and Management of Agriculture","104,909,024","74,740,472","30,168,552",71.2%,339,0
SP: General Administration Services,"482,959,659","151,005,796","331,953,863",31.3%,339,0
County Public Service Board,"22,762,798","11,017,878","11,744,920",48.4%,339,0
P: County Government Advisory Services,"2,300,000","626,800","1,673,200",27.3%,339,0
SP: County Public Service Board,"2,300,000","626,800","1,673,200",27.3%,339,0
"P: General Administration, Planning and Support Services","18,762,798","9,924,228","8,838,570",52.9%,339,0
SP: General Administration and Support Services,"18,662,798","9,924,228","8,738,570",53.2%,339,0
SP: Human Resource Management Services,"100,000",-,"100,000",0.0%,339,0
P: Human Resource Management and Development,"1,700,000","466,850","1,233,150",27.5%,339,0
SP: County Public Service Board Services,"1,700,000","466,850","1,233,150",27.5%,339,0
"Education, Gender, Culture and Social Services","349,526,859","175,301,168","174,225,691",50.2%,339,0
P: Education and Youth Training,"197,680,450","43,519,655","154,160,795",22.0%,339,0
SP: Promotion of Basic Education (ECDE),"94,004,660","11,649,655","82,355,005",12.4%,339,0
SP: Youth Training and Capacity Building,"103,675,790","31,870,000","71,805,790",30.7%,339,0
P: General Administration Planning and Support Services,"151,846,409","131,781,513","20,064,896",86.8%,339,0
SP: Administration Planning and Support Services,"151,846,409","131,781,513","20,064,896",86.8%,339,0
Energy and Housing,"7,257,500",-,"7,257,500",0.0%,339,0
P: Energy Resource Development & Management,"1,758,000",-,"1,758,000",0.0%,339,0
SP: Energy Resource Development & Management,"1,758,000",-,"1,758,000",0.0%,339,0
P: General Administration Planning and Support Services,"5,499,500",-,"5,499,500",0.0%,339,0
SP: General Administration Services,"5,499,500",-,"5,499,500",0.0%,339,0
Finance and Economic Planning,"592,290,685","198,295,925","393,994,760",33.5%,339,0
P: Economic Policy and County Planning,"8,290,000","5,027,600","3,262,400",60.6%,339,0
SP: County Statistics Services,"2,540,000","1,114,947","1,425,053",43.9%,339,0
"SP: Economic Development, Planning and Coordination Services","3,110,000","2,017,703","1,092,297",64.9%,339,0
SP: Monitoring and Evaluation Services,"2,640,000","1,894,950","745,050",71.8%,339,0
P: Financial Management Services,"17,810,000","10,005,335","7,804,665",56.2%,339,0
SP: Accounting Services,"4,400,000","2,922,450","1,477,550",66.4%,339,0
SP: Audit Services,"5,000,000","2,161,310","2,838,690",43.2%,339,0
SP: Budget Formulation and Coordination,"5,930,000","3,737,675","2,192,325",63.0%,339,0
SP: Supply Chain Management Services,"2,480,000","1,183,900","1,296,100",47.7%,339,0
"P: General Administration, Planning and Support Services","364,532,742","172,964,900","191,567,842",47.4%,339,0
SP: Human Resource Management Services,"364,532,742","172,964,900","191,567,842",47.4%,339,0
P: Kenya Devolution Support Programme,"201,657,943","10,298,090","191,359,853",5.1%,339,0
SP: Tharaka Nithi KDSP Capacity Building,"201,657,943","10,298,090","191,359,853",5.1%,339,0
"Lands, Physical Planning, Urban Development, Environment and Natu-
ral Resources","315,588,712","123,718,196","191,870,516",39.2%,339,0
P: Environment and Natural Resources Management,"23,013,728","13,304,890","9,708,838",57.8%,339,0
SP: Environment and Natural Resource,"23,013,728","13,304,890","9,708,838",57.8%,339,0
P: Kathwana Municipality Development Programme,"12,469,600",-,"12,469,600",0.0%,339,0
SP: Kathwana Urban Area Support,"12,469,600",-,"12,469,600",0.0%,339,0
P: Land Policy and Planning,"269,462,484","108,684,806","160,777,678",40.3%,339,0
SP: Land administration & management,"214,999,174","72,785,495","142,213,679",33.9%,339,0
SP: Physical Planning Services,"54,463,310","35,899,311","18,563,999",65.9%,339,0
P: Urban Development and Administration,"10,642,900","1,728,500","8,914,400",16.2%,339,0
SP: Urban Administrative Services,"10,642,900","1,728,500","8,914,400",16.2%,339,0
P: Livestock and Fisheries Resource Management and Development,"132,870,290","68,209,724","64,660,566",51.3%,340,0
SP: Fisheries Development and Promotion,"6,664,850","50,000","6,614,850",0.8%,340,0
SP: Livestock Policy Development and Capacity Building,"97,124,890","59,130,624","37,994,266",60.9%,340,0
SP: Veterinary Services and Disease Prevention,"29,080,550","9,029,100","20,051,450",31.0%,340,0
Medical Services,"1,516,436,351","1,120,535,166","395,901,185",73.9%,340,0
P: Curative and Rehabilitative Services,"92,064,480","21,252,450","70,812,030",23.1%,340,0
SP: Primary Healthcare,"92,064,480","21,252,450","70,812,030",23.1%,340,0
P: General Administration Planning and Support Services,"1,424,371,871","1,099,282,716","325,089,155",77.2%,340,0
SP: General Administration Services,"256,347,846","119,129,543","137,218,303",46.5%,340,0
SP: HMIS Monitoring and Evaluation,"3,149,500","905,120","2,244,380",28.7%,340,0
SP: Human resource management,"929,693,954","848,641,031","81,052,923",91.3%,340,0
"SP: Policy, Planning, Financing and Budgeting","235,180,571","130,607,022","104,573,549",55.5%,340,0
Office of Governor and Deputy Governor,"159,275,922","63,903,121","95,372,801",40.1%,340,0
P: County Government Advisory Services,"11,860,000","4,112,438","7,747,562",34.7%,340,0
SP: Communication and Strategy,"11,860,000","4,112,438","7,747,562",34.7%,340,0
P: County Leadership and Coordination of MDAs,"26,870,400","5,711,057","21,159,343",21.3%,340,0
SP: Coordination of CMAs (Office of County Secretary),"18,300,000","3,194,717","15,105,283",17.5%,340,0
"SP: Public Sector Advisory Services (Legal, Political, and Economic Affairs)","8,570,400","2,516,340","6,054,060",29.4%,340,0
"P: General Administration, Planning and Support Services","120,545,522","54,079,626","66,465,896",44.9%,340,0
SP: Coordination and Supervisory Services (Deputy Governor's Office),"11,480,000","3,213,615","8,266,385",28.0%,340,0
SP: Management of County Affairs (Office of Governor),"109,065,522","50,866,011","58,199,511",46.6%,340,0
Public Health and Sanitation,"328,651,536","201,454,524","127,197,012",61.3%,340,0
P: Preventive and Promotive Health Services,"328,651,536","201,454,524","127,197,012",61.3%,340,0
SP: Disease Surveillance,"1,920,000","345,672","1,574,328",18.0%,340,0
SP: Environmental Health services,"12,732,200","7,635,944","5,096,256",60.0%,340,0
SP: Health Promotion and Disease Control,"310,999,336","192,994,758","118,004,578",62.1%,340,0
SP: HIV and AIDS Support Services,"1,300,000","234,400","1,065,600",18.0%,340,0
SP: Nutrition Services,"800,000",-,"800,000",0.0%,340,0
SP: Reproductive Maternal and Child health Services,"900,000","243,750","656,250",27.1%,340,0
"Roads, Infrastructure, Public Works and ICT","666,238,778","336,097,212","330,141,566",50.4%,340,0
P: County Government Advisory Services,"10,000,000","4,706,670","5,293,330",47.1%,340,0
SP: Communication and Strategy,"10,000,000","4,706,670","5,293,330",47.1%,340,0
P: General Administration Planning and Support Services,"28,840,600","16,175,000","12,665,600",56.1%,340,0
SP: General Administration Services,"28,840,600","16,175,000","12,665,600",56.1%,340,0
P: ICT Infrastructure Development,"28,670,000","10,220,489","18,449,511",35.6%,340,0
SP: ICT Infrastructure Development,"28,670,000","10,220,489","18,449,511",35.6%,340,0
P: Public Works and Housing Services,"2,005,000","528,000","1,477,000",26.3%,340,0
SP: Public Works Services,"2,005,000","528,000","1,477,000",26.3%,340,0
P: Roads Transport,"596,723,178","304,467,053","292,256,125",51.0%,340,0
SP: Rural Roads Improvement and Maintenance Services,"596,723,178","304,467,053","292,256,125",51.0%,340,0
Trade and Revenue,"115,080,802","76,518,851","38,561,951",66.5%,340,0
"P: General Administration, Planning and Support Services","90,291,802","69,575,113","20,716,689",77.1%,340,0
SP: General Administration and Support Services,"90,291,802","69,575,113","20,716,689",77.1%,340,0
P: Industrial Development and Investment,"12,348,000","4,041,308","8,306,692",32.7%,340,0
SP: Consumer Protection & Fair Trade Practices,"6,875,000","2,503,908","4,371,092",36.4%,340,0
SP: Promotion of Industrial Products,"5,473,000","1,537,400","3,935,600",28.1%,340,0
P: Resource Mobilization,"12,441,000","2,902,430","9,538,570",23.3%,340,0
SP: Revenue Administration,"12,441,000","2,902,430","9,538,570",23.3%,340,0
Water and Irrigation,"226,805,109","85,308,622","141,496,487",37.6%,340,0
