Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payments
(Ksh)
(","Variance
Kshs.)",Absorption (%),page_number,table_index,"Actual Payments
(Ksh)","Variance
(Kshs.)"
County Executive,,,,,,382,1,,
Office of the Deputy Governor,Office of the Deputy Governor,"26,000,000","18,998,000","7,002,000",73.1%,382,1,,
Office of the Governor,Office of the Governor,"384,625,059","164,740,031","219,885,028",42.8%,382,1,,
,Total,"410,625,059","183,738,031","226,887,028",44.7%,382,1,,
County Assembly,,,,,,382,1,,
"General Administration and
Support Service","General Administration and Sup-
port Service","870,194,403","565,369,964","304,824,439",65.0%,382,1,,
,Total,"870,194,403","565,369,964","304,824,439",65.0%,382,1,,
"Finance and Economic
Planning",,,,,,382,1,,
County Service,County Service,"62,049,793","5,125,000","56,924,793",8.3%,382,1,,
Supply Chain Service,Supply Chain Service,"71,576,720","9,861,249","61,715,471",13.8%,382,1,,
Asset Management,Asset Management,"8,684,936",,"8,684,936",0.0%,382,1,,
Revenue,Revenue,"64,735,450","10,065,000","54,670,450",15.5%,382,1,,
Internal,Internal,"14,722,161","545,140","14,177,021",3.7%,382,1,,
Budget,Budget,"12,052,544","2,078,622","9,973,922",17.2%,382,1,,
County Integrated,County Integrated,"115,419,234",,"115,419,234",0.0%,382,1,,
"County Statistical Information
Service","County Statistical Information
Service","3,007,000",,"3,007,000",0.0%,382,1,,
"County Monitoring & Evalua-
tion Service","County Monitoring & Evaluation
Service","2,059,000",,"2,059,000",0.0%,382,1,,
"General Administration and
Support Service","General Administration and Sup-
port Service","266,334,444","431,218,670","(164,884,226)",161.9%,382,1,,
"Public Health, Medical Service and Sanitation",,,,,,383,0,,
Curative,Curative,"831,685,636",,,36.2%,383,0,"301,386,475","530,299,161"
General Administration,General Administration,"1,799,829,088",,,87.5%,383,0,"1,574,837,657","224,991,431"
Preventive,Preventive,"145,303,140",,,44.3%,383,0,"64,323,040","80,980,100"
Special Programme,Special Programme,"7,400,000",,,153.2%,383,0,"11,338,955","(3,938,955)"
Research,Research,"7,900,000",,,1.9%,383,0,"153,100","7,746,900"
Family Health,Family Health,"136,322,302",,,38.6%,383,0,"52,604,478","83,717,824"
,Total,"2,928,440,166",,,68.5%,383,0,"2,004,643,705","923,796,461"
Water Resources,,,,,,383,0,,
"Water Supplies, Overhaul and
Maintenance Service","Water Supplies, Overhaul and
Maintenance Service","654,720,734",,,76.9%,383,0,"503,449,203","151,271,531"
"New Infrastructure develop-
ment service","New Infrastructure development
service","122,316,674",,,-,383,0,-,"122,316,674"
"Personnel, Administration and
Financial Service","Personnel, Administration and
Financial Service","84,031,557",,,-,383,0,-,"84,031,557"
,Total,"861,068,965",,,58.5%,383,0,"503,449,203","357,619,762"
"Public Works, Housing and
Physical Planning",,,,,,383,0,,
"Urban, Physical Planning
Service","Urban, Physical Planning Service","66,666,755",,,115.4%,383,0,"76,907,858","(10,241,103)"
"County survey and policy
service",County survey and policy service,"27,411,650",,,1.1%,383,0,"312,500","27,099,150"
Government building service,Government building service,"3,179,758",,,-,383,0,-,"3,179,758"
"Housing development, capaci-
ty building and ABT","Housing development, capacity
building and ABT","2,140,800",,,-,383,0,-,"2,140,800"
Public Works Service,Public Works Service,"30,369,461",,,5.5%,383,0,"1,661,355","28,708,106"
"General Administration and
support Service","General Administration and sup-
port Service","40,926,693",,,24.5%,383,0,"10,011,894","30,914,799"
,Total,"170,695,117",,,52.1%,383,0,"88,893,607","81,801,510"
Roads and Transport,,,,,,383,0,,
"Maintenance & Rehabilitation
of County roads and Bridges","Maintenance & Rehabilitation of
County roads and Bridges","756,335,527",,,32.6%,383,0,"246,459,448","509,876,079"
"Design and construction of
the County roads and bridges","Design and construction of the
County roads and bridges","182,103,917",,,-,383,0,-,"182,103,917"
Transport Services,Transport Services,"72,986,772",,,2.6%,383,0,"1,911,140","71,075,632"
"General Administration and
Support Service","General Administration and Sup-
port Service","37,387,068",,,80.3%,383,0,"30,009,290","7,377,778"
,Total,"1,048,813,284",,,26.5%,383,0,"278,379,878","770,433,406"
"Agriculture, Livestock and
Fisheries",,,,,,383,0,,
Livestock,Livestock,"73,295,515",,,-,383,0,-,"73,295,515"
Veterinary Service,Veterinary Service,"51,744,464",,,-,383,0,-,"51,744,464"
Agriculture,Agriculture,"430,137,066",,,36.6%,383,0,"157,242,039","272,895,027"
General Administration,General Administration,"49,567,432",,,-,383,0,-,"49,567,432"
Irrigation,Irrigation,"163,331,488",,,44.0%,383,0,"71,828,263","91,503,225"
Fisheries,Fisheries,"10,535,351",,,-,383,0,-,"10,535,351"
,Total,"778,611,316",,,29.4%,383,0,"229,070,302","549,541,014"
"Education, Youth, Gender
and Social Services",,,,,,383,0,,
ECD,General Administration,"446,091,836",,,42.4%,383,0,"189,256,863","256,834,973"
School support programme,School support programme,"86,499,294",,,-,383,0,-,"86,499,294"
Vocational Training Centre,Vocational Training Centre,"74,915,732",,,7.0%,383,0,"5,256,220","69,659,512"
Sport and Youth,Sport and Youth,"63,389,804",,,3.3%,383,0,"2,097,000","61,292,804"
"Culture, Heritage and Library
Service","Culture, Heritage and Library
Service","19,653,833",,,9.2%,383,0,"1,800,000","17,853,833"
Gender and Social Service,Gender and Social Service,"68,955,152",,,32.0%,383,0,"22,088,500","46,866,652"
"General Administration and
Support Service",ECD,"28,434,599",,,13.7%,383,0,"3,902,000","24,532,599"
,Total,"787,940,251",,,28.5%,383,0,"224,400,583","563,539,668"
"IC and E-Government,
Trade, Industrialization and
Cooperative Development",,,,,,383,0,,
