Programme,Sub- Programme,"Approved Bud-
get(Ksh)","Actual Pay-
ments (Ksh)",Variance(Kshs),Absorption (%),page_number,table_index
Default - Non-Programmatic,,-,"10,461,464","- 10,461,464",0.0%,39,0
,Default - Non-Programmatic,-,"10,461,464","- 10,461,464",0.0%,39,0
General Administration,,"330,522,153","327,342,745","3,179,408",99.0%,39,0
,"General administration, plan-
ning & support services","330,522,153","327,342,745","3,179,408",99.0%,39,0
Land Administration,,-,-,-,0.0%,39,0
,"Land adjudication and demar-
cation",-,-,-,0.0%,39,0
"Urban Development-Eldama
Ravine",,-,-,-,0.0%,39,0
,Support service,-,-,-,0.0%,39,0
"Livestock Development and
Management",,-,"272,716","- 272,716",0.0%,39,0
,"General administration, plan-
ning & support services",-,-,-,0.0%,39,0
,Support service,-,"272,716","- 272,716",0.0%,39,0
,"Livestock Improvement, Pas-
ture and Fodder Development",-,-,-,0.0%,39,0
,Apiculture Development,-,-,-,0.0%,39,0
Agricultural Development,,-,-,-,0.0%,39,0
,"General administration, plan-
ning & support services",-,-,-,0.0%,39,0
Agricultural training services,,-,-,-,0.0%,39,0
,"General administration, plan-
ning & support services",-,-,-,0.0%,39,0
"Other Urban Infrastructure de-
velopment and management",,-,-,-,0.0%,39,0
,KUSP Programme,-,-,-,0.0%,39,0
"Crop Production and Manage-
ment",,"520,185,330","354,920,406","165,264,924",68.2%,40,0
,"Agribusiness Infrastructure
Development","520,185,330","354,920,406","165,264,924",68.2%,40,0
"Fisheries Development and
Management",,-,-,-,0.0%,40,0
,Aquaculture Development,-,-,-,0.0%,40,0
Urban Development-Kabarnet,,"113,959,252","72,041,902","41,917,350",63.2%,40,0
,"General Administrative Ser-
vices","113,959,252","72,041,902","41,917,350",63.2%,40,0
Land Use Planning,,-,-,-,0.0%,40,0
,,-,-,-,0.0%,40,0
General administration,,"29,146,738","61,066,457","- 31,919,720",209.5%,40,0
,"General administration, plan-
ning & support services","29,146,738","61,066,457","- 31,919,720",209.5%,40,0
"Rural Infrastructure Develop-
ment",,-,-,-,0.0%,40,0
,"Rural road development and
management",-,-,-,0.0%,40,0
"Development and Rehabilita-
tion of rural roads and struc-
tures",,"920,067,104","205,305,173","714,761,931",22.3%,40,0
,"Roads opening and rehabilita-
tion","920,067,104","205,305,173","714,761,931",22.3%,40,0
General administration,,"80,765,925","79,207,297","1,558,628",98.1%,40,0
,"General administration, plan-
ning & support services","80,765,925","79,207,297","1,558,628",98.1%,40,0
"Tourism Development & Mar-
keting",,-,"132,000","- 132,000",0.0%,40,0
,"General administration, plan-
ning & support services",-,"132,000","- 132,000",0.0%,40,0
Trade Development,,"81,632,662","20,777,614","60,855,048",25.5%,40,0
,,"81,632,662","20,777,614","60,855,048",25.5%,40,0
"Industrial Development ser-
vices",,-,-,-,0.0%,40,0
,Industrial Dev services,-,-,-,0.0%,40,0
,"General administration, plan-
ning & support services",-,-,-,0.0%,40,0
General administration,,"2,201,571,180","2,035,478,803","166,092,377",92.5%,40,0
,"General administration, plan-
ning & support services","2,201,571,180","2,035,478,803","166,092,377",92.5%,40,0
Health/preventive services,,-,"400,000","- 400,000",0.0%,40,0
,"General administration, plan-
ning & support services",-,"400,000","- 400,000",0.0%,40,0
,Support service,-,-,-,0.0%,40,0
"Curative and Rehabilitative
Services",,"362,078,995","109,385,190","252,693,805",30.2%,40,0
,"General administration, plan-
ning & support services","362,078,995","109,385,190","252,693,805",30.2%,40,0
,Support service,-,-,-,0.0%,40,0
,"Support to County Hospitals
(FIF)",-,-,-,0.0%,40,0
"Preventive and Promotive
Health Services",,-,"14,734,234","- 14,734,234",0.0%,40,0
,Infrastructure Development,-,"12,690,151","- 12,690,151",0.0%,40,0
,"Compensation for User fees
Forgone",-,"2,044,082","- 2,044,082",0.0%,40,0
,Primary Health Care,-,-,-,0.0%,40,0
"General administration ser-
vices",,"305,352,363","272,285,850","33,066,513",89.2%,40,0
,"General administration, plan-
ning & support services","305,352,363","272,285,850","33,066,513",89.2%,40,0
"Early Childhood Development
Education",,"163,590,401","43,210,906","120,379,496",26.4%,41,0
,"Early Childhood Development
Education",-,-,-,-,41,0
,"General administration, plan-
ning & support services","163,590,401","43,210,906","120,379,496",26.4%,41,0
,Support Service,-,-,-,-,41,0
Vocational Training,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
"General Administration, Plan-
ning and support services",,-,"1,785,949","- 1,785,949",-,41,0
,"General Administration ser-
vices",-,"1,785,949","- 1,785,949",-,41,0
Special Programmes,,-,-,-,-,41,0
,Secondary Schools bursary,-,-,-,-,41,0
,"Capitation allocation on VTC
- Grant",-,-,-,-,41,0
,School feeding programme,-,-,-,-,41,0
P1 OFFICE OF THE CLERK,,-,"- 3,210,933","3,210,933",-,41,0
,"General administration, plan-
ning & support services",-,"- 3,210,933","3,210,933",-,41,0
"General Administration, Plan-
ning and Support Services",,"354,405,200","339,497,923","14,907,277",95.8%,41,0
,Support service,"327,807,008","319,444,451","8,362,557",97.4%,41,0
,General administrative services,"26,598,192","20,053,472","6,544,720",75.4%,41,0
P3 GOVERNORS OFFICE,,-,"12,600","- 12,600",-,41,0
,"General administration, plan-
ning & support services",-,"12,600","- 12,600",-,41,0
P4 DEPUTY GOVERNOR,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
County Secretary,,-,"48,500","- 48,500",-,41,0
"Tiaty sub-county (Administra-
tion)","General administration, plan-
ning & support services",-,"48,500","- 48,500",-,41,0
,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
Baringo North sub-county,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
Baringo Central sub-county,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
Baringo South sub-county,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
Mogotio sub-county,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
Eldama Ravine sub-county,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
County Public Service Board,,-,-,-,-,41,0
,"General administration, plan-
ning & support services",-,-,-,-,41,0
General administration,,"261,831,361","280,172,033","- 18,340,672",107.0%,42,0
,General administration,-,-,-,-,42,0
,"General administration, plan-
ning & support services","247,831,361","266,172,703","- 18,341,342",107.4%,42,0
,Support service,-,-,-,-,42,0
,Internal Audit Services,-,-,-,-,42,0
,Emergency Fund,"14,000,000","13,999,330",670,100.0%,42,0
Treasury Accounts,,-,-,-,-,42,0
,"General administration, plan-
ning & support services",-,-,-,-,42,0
KDS Programme,,"90,500,000","79,522,426","10,977,574",87.9%,42,0
,"General administration, plan-
ning & support services","90,500,000","79,522,426","10,977,574",87.9%,42,0
"Economic Planning, Budget,
Monitoring and Evaluation
Services",,-,-,-,-,42,0
