Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs.),"Absorp-
tion (%)",page_number,table_index
"Department of Agriculture, Livestock, Fisheries and Food Security",,,,,,107,1
"Policy Planning, General Admin-
istration and Support Services",Policy and Planning Services,"4,000,000","2,440,000","1,560,000",61.0,107,1
,"General Administration and Sup-
port Services","134,530,571","133,260,000","1,270,571",99.1,107,1
,Subtotal,"138,530,571","135,700,000","2,830,571",98.0,107,1
"Crop, Land and Agribusiness
Development Services",Crop Development Services,-,,-,-,107,1
,Agribusiness Development Services,-,-,-,-,107,1
,Land Development Services,-,-,-,-,107,1
,"National Agriculture Rural Inclusive
Growth","198,467,950","168,185,951","30,281,999",84.7,107,1
,"Agriculture Sector Development
Support Programme","30,237,913","25,237,500","5,000,413",83.5,107,1
,Subtotal,"228,705,863","193,423,451","35,282,412",84.6,107,1
"Food Security Enhancement
Services",Farm Input Access Services,-,-,-,-,107,1
,"Sub Sector Infrastructure Develop-
ment Services","25,395",,"25,395",-,107,1
,Subtotal,"25,395",-,"25,395",-,107,1
"Department of Tourism, Sports, Youth Gender, Culture and Social Services",,,,,,107,1
"Policy, Planning and General
Administration services","General Administration and Sup-
port Services","34,107,364","33,624,462","482,902",98.6,107,1
,Policy and Planning Services,"7,856,548","7,471,209","385,339",95.1,107,1
,Sub total,"41,963,912","41,095,671","868,241",97.9,107,1
"Management and Development
of Sports and Sports Facilities","Sports Infrastructure Development
Services","106,435,913","91,784,154","14,651,759",86.2,108,0
,Sub total,"106,435,913","91,784,154","14,651,759",86.2,108,0
"Department of Roads, Transport and Public Works",,,,,,108,0
"General Administration, Plan-
ning and Support Services","Human Resource and Support
Services","35,581,848","35,581,848",-,100.0,108,0
,"Roads and Transport Services
Operations","5,043,076","5,026,988","16,088",99.7,108,0
,Subtotal,"40,624,924","40,608,836","16,088",100.0,108,0
"Public works and maintenance
services",Quality control,"359,750",-,"359,750",-,108,0
,Plant and Machinery maintenance,"992,102","420,000","572,102",42.3,108,0
,Enforcement Services,"156,500",-,"156,500",-,108,0
,Sub total,"1,508,352","420,000","1,088,352",27.8,108,0
"Road Development and Mainte-
nance Services","Road Development and Rehabilita-
tion services","1,173,567,450","894,549,058","279,018,392",76.2,108,0
,Road maintenance,"407,097,411","80,856,470","326,240,941",19.9,108,0
,"Plant and Machinery Purchase and
maintenance",-,-,-,-,108,0
,Sub total,"1,580,664,861","975,405,528","605,259,333",61.7,108,0
Department of Energy and Mining,,,,,,108,0
Energy Services,Electrical Power Services,"20,000,000",-,"20,000,000",-,108,0
,Solar Power Services,"29,261,532",-,"29,261,532",-,108,0
,"Low-cost Energy Technologies
Promotion Services","13,654,249",-,"13,654,249",-,108,0
,Subtotal,"62,915,781",-,"62,915,781",-,108,0
"Mineral Resource Development
and Marketing Services","Construction mineral development
and marketing services","4,000,000",-,"4,000,000",-,108,0
,Subtotal,"4,000,000",-,"4,000,000",-,108,0
"General Administration, Plan-
ning and Support Services",Administrative Support Services,"8,084,040","7,333,700","750,340",90.7,108,0
,"Development of Policies, Plans,
Regulations and Legislations","6,503,851","5,121,640","1,382,211",78.7,108,0
,Sub total,"14,587,891","12,455,340","2,132,551",85.4,108,0
Department of Education and ICT,,,,,,108,0
"General Administration and
Quality Assurance Service",General administration Services,"12,913,536","12,913,536",-,100.0,108,0
,Quality Assurance Services,"508,532,947","501,045,279","7,487,668",98.5,108,0
,Sub total,"521,446,483","513,958,815","7,487,668",98.6,108,0
"ECDE and Vocational Training
Services",ECDE Services,"67,512,379","66,163,108","1,349,271",98.0,108,0
,Vocational Training Services,"28,768,826","28,413,527","355,299",98.8,108,0
,Sub total,"96,281,205","94,576,635","1,704,570",98.2,108,0
Department of Health Services,,,,,,108,0
"Policy planning and administra-
tive support service","Policy, Planning and Monitoring
Services","2,500,000","2,000,000","500,000",80.0,108,0
,Administrative Support Services,"2,293,863,944","2,114,681,219","179,182,725",92.2,108,0
,Sub total,"2,296,363,944","2,116,681,219","179,682,725",92.2,108,0
"Preventive and promotive health
services",Community health services,"22,000,000","9,177,047","12,822,953",41.7,108,0
,Disease control services,"101,407,000","84,676,494","16,730,506",83.5,108,0
,"Facility infrastructure improvement
services","256,496,611","224,014,795","32,481,816",87.3,108,0
,Sub total,"379,903,611","317,868,336","62,035,275",83.7,108,0
"Curative and rehabilitative
health services",Routine medical health services,"124,230,514","123,496,611","733,903",99.4,108,0
,"Medical emergency response
services","113,902,479","94,234,200","19,668,279",82.7,108,0
,"Facility infrastructure improvement
services","113,462,232","79,022,698","34,439,534",69.6%,108,0
,Sub total,"351,595,225","296,753,509","54,841,716",84.4,108,0
"Department of Lands, Housing, Urban Development and Physical Planning",,,,,,108,0
General Administration Services,"General administrative support
services","30,111,180","29,296,582","814,598",97.3,109,0
,General office operations,"6,697,478","6,697,478",-,100.0,109,0
,Sub total,"36,808,658","35,994,060","814,598",97.8,109,0
Lands and Physical planning,County Spatial planning,"17,150,973","10,084,789","7,066,184",58.8%,109,0
,Symbio-City Change Project,"9,789,714",-,"9,789,714",-,109,0
,Subtotal,"26,940,687","10,084,789","16,855,898",37.4%,109,0
