Programme,Sub- Programme,"Approved Budget
(Ksh.)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
Livestock development,,"70,200,000","54,018,91","7 16,181,083",77.0,136,2
,Dairy Development,"29,000,000","32,026,956","(3,026,956)",110.4,137,0
,Poultry development,"5,000,000","4,177,480","822,520",83.6,137,0
,Livestock disease and pest prevention,"24,700,000","17,814,481","6,885,519",72.1,137,0
,"Livestock Market infrastructure Im-
provement","11,500,000",-,"11,500,000",-,137,0
Fish Farming Productivity Programme,,"17,000,000","13,811,312","3,188,688",81.2,137,0
,Promotion of Fish Farming,"17,000,000","13,811,312","3,188,688",81.2,137,0
Crop Production and Management Services,,"1,428,862,132","1,206,557,037","222,305,095",84.4,137,0
,Cash crop development,"59,750,000","87,000","59,663,000",0.2,137,0
,Food crop production,"938,500,000","794,231,622","144,268,378",84.6,137,0
,Crop pest and disease management,"5,000,000",-,"5,000,000",-,137,0
,Agricultural Extension and Research,"425,612,132","412,238,415","13,373,717",96.9,137,0
Agricultural Extension and Research,,"15,000,000",-,"15,000,000",-,137,0
,Training and demonstration,"15,000,000",-,"15,000,000",-,137,0
Cooperative Development,,"20,000,000","39,100,000","(19,100,000)",195.5,137,0
,Marketing and value addition,"20,000,000","39,100,000","(19,100,000)",195.5,137,0
Land Management Services,,"64,157,060","41,431,987","22,725,073",64.6,137,0
,Land use policy and planning,"47,162,416","28,931,987","18,230,429",61.4,137,0
,Land Administration and Planning,"11,000,000","10,000,000","1,000,000",90.9,137,0
,Survey Services,"5,994,644","2,500,000","3,494,644",41.7,137,0
Urban Development Service,,"741,521,318","88,396,556","653,124,762",11.9,137,0
,Urban Infrastructure Services,"715,303,469","63,864,297","651,439,172",8.9,137,0
,Urban waste Management Services,"26,217,849","24,532,259","1,685,590",93.6,137,0
Road Infrastructure Development,,"1,230,443,034","1,079,590,365","150,852,669",87.7,137,0
,Road Maintenance,"495,840,226","373,448,729","122,391,497",75.3,137,0
,Bridges Culverts Construction,"60,000,000","37,652,449","22,347,551",62.8,137,0
,Road construction,"674,602,808","668,489,187","6,113,621",99.1,137,0
Energy Reticulation,,"100,000,000","96,350,265","3,649,735",96.4,137,0
,Electrification.,"100,000,000","96,350,265","3,649,735",96.4,137,0
Public works Management,,"6,000,000","4,398,245","1,601,755",73.3,137,0
,Public works Management,"6,000,000","4,398,245","1,601,755",73.3,137,0
"Administration, Planning and support services",,"5,000,000","2,627,367","2,372,633",52.6,137,0
,Quality assurance and Enhancement,"5,000,000","2,627,367","2,372,633",52.6,137,0
Trade Development and Investment,,"209,000,000","79,651,317","129,348,683",38.1,137,0
,"Modern Market infrastructure devel-
opment","135,000,000","79,651,317","55,348,683",59.0,137,0
,"Micro and small enterprises develop-
ment","74,000,000",-,"74,000,000",-,137,0
Industrial development and investment,,"83,000,000","42,069,389","40,930,612",50.7,137,0
,"Industrial Development and Promo-
tion","73,000,000","38,823,436","34,176,564",53.2,137,0
,"SME and Cottage industry develop-
ment","10,000,000","3,245,953","6,754,047",32.5,137,0
Preventive and promotive services,,"80,000,000","30,151,200","49,848,800",37.7,137,0
,,,,,,137,0
Diseases surveillance & Emergency response,,,,,,137,0
,"Maternal and child healthcare promo-
tion","80,000,000","30,151,200","49,848,800",37.7,138,0
,TB Control,-,-,-,-,138,0
,Malaria control,-,-,-,-,138,0
Promotion of Curative health services,,"1,198,946,028","492,791,225","706,154,803",41.1,138,0
,Health Infrastructure Development,"699,022,535","273,232,702","425,789,833",39.1,138,0
,Primary medical health services,"484,923,493","204,558,523","280,364,970",42.2,138,0
,Blood Transfusion Services,"15,000,000","15,000,000",-,100.0,138,0
General Administrative and Support services,,,,,,138,0
,"Health Data and Information Man-
agement",-,-,-,-,138,0
Vocational Education and Training development,,"162,811,560","150,371,373","12,440,187",92.4,138,0
,"Polytechnic Support and Develop-
ment","162,811,560","150,371,373","12,440,187",92.4,138,0
Early Childhood Development Education (ECDE),,"163,800,000","116,071,406","47,728,595",70.9,138,0
,ECD Infrastructure Development,"103,500,000","100,953,667","2,546,333",97.5,138,0
,Childcare and development,"60,300,000","15,117,739","45,182,262",25.1,138,0
Education Support Programme,,"20,000,000","11,999,748","8,000,252",60.0,138,0
,Non Tertiary Education Support,"20,000,000","11,999,748","8,000,252",60.0,138,0
Polytechnic Improvement,,"52,700,000","7,032,279","45,667,721",13.3,138,0
,Polytechnic Tuition Subsidy,"52,700,000","7,032,279","45,667,721",13.3,138,0
Management and administration of County Functions,,,,,,138,0
,County executive services,-,-,-,-,138,0
"Support, Coordination and Advisory Services",,"3,000,000","376,269","2,623,731",12.5,138,0
,Legal Services,"3,000,000","376,269","2,623,731",12.5,138,0
Information and communication services,,"171,900,000","116,340,713","55,559,287",67.7,138,0
,"Information and communication ser-
vices","171,900,000","116,340,713","55,559,287",67.7,138,0
"Support ,Co-ordination and Advisory services",,"7,500,000","1,786,052","5,713,948",23.8,138,0
,Support and Advisory services,"5,000,000",-,"5,000,000",-,138,0
,County Internal Audit services,"2,500,000","1,786,052","713,948",71.4,138,0
County Public service and Administrative services,,"199,500,000","92,373,040","107,126,960",46.3,138,0
,County Administration,"124,500,000","48,796,843","75,703,157",39.2,138,0
,Human Resource Management,"75,000,000","43,576,197","31,423,803",58.1,138,0
Investment promotion,,"20,000,000","1,000,000","19,000,000",5.0,138,0
,Investment promotion,"20,000,000","1,000,000","19,000,000",5.0,138,0
Culture and Arts Development,,"10,000,000","2,461,358","7,538,642",24.6,138,0
,Culture and Heritage Conservation,"10,000,000","2,461,358","7,538,642",24.6,138,0
"Management And Development Of Sports And Sports Facil-
ities",,"450,000,000","500,167,733","(50,167,733)",111.2,138,0
,Development of Sports facilities,"450,000,000","500,167,733","(50,167,733)",111.2,138,0
,"Promotion and Development of
Sports and Talent",-,-,-,-,138,0
Youth & Gender Development And Promotion Services,,"16,000,000",-,"16,000,000",-,138,0
,"Youth, Disability and Gender Em-
powerment and mainstreaming","16,000,000",-,"16,000,000",-,138,0
Social Development And Promotions,,"48,500,000","21,334,860","27,165,140",44.0,138,0
,"Social Development and Social Pro-
tection","48,500,000","21,334,860","27,165,140",44.0,138,0
Natural Resource Management,,"31,000,000","4,200,070","26,799,930",13.6,139,0
,Afforestation and Re-afforestation,"5,000,000","4,200,070","799,930",84.0,139,0
,"Protection of natural resources and
environmental processes","26,000,000",-,"26,000,000",-,139,0
Water and Sanitation Services,,"345,382,180","255,126,851","90,255,329",73.9,139,0
,"Water Resource Supply and manage-
ment","345,382,180","255,126,851","90,255,329",73.9,139,0
Environmental conservation,,"10,000,000","3,107,845","6,892,155",31.1,139,0
,Environmental Protection,"10,000,000","3,107,845","6,892,155",31.1,139,0
,,-,"(1,919,018)","1,919,018",-,139,0
,Default - Non-Programmatic,-,"(1,919,018)","1,919,018",-,139,0
Livestock development,,"33,556,208","3,246,512","30,309,697",9.7,139,0
,Dairy Development,"19,564,964","2,367,562","17,197,403",12.1,139,0
,Livestock disease and pest prevention,"13,991,244","878,950","13,112,294",6.3,139,0
Fish Farming Productivity Programme,,"2,667,636","578,908","2,088,728",21.7,139,0
,Promotion of Fish Farming,"2,667,636","578,908","2,088,728",21.7,139,0
Crop Production and Management Services,,"8,603,549","5,039,085","3,564,464",58.6,139,0
,Cash crop development,-,"19,600","(19,600)",-,139,0
,Food crop production,"8,603,549","5,019,485","3,584,064",58.3,139,0
Agricultural Extension and Research,,"3,172,563","146,908","3,025,655",4.6,139,0
,Training and demonstration,"3,172,563","146,908","3,025,655",4.6,139,0
Cooperative Development,,"7,806,384","2,650,612","5,155,772",34.0,139,0
,Marketing and value addition,"7,806,384","2,650,612","5,155,772",34.0,139,0
Land Management Services,,"42,968,105","18,776,256","24,191,849",43.7,139,0
,Land use policy and planning,"35,304,925","14,289,804","21,015,121",40.5,139,0
,Land Administration and Planning,"2,995,176","2,180,891","814,285",72.8,139,0
,Survey Services,"4,668,004","2,305,561","2,362,443",49.4,139,0
Housing Management Services,,"2,149,744","1,182,237","967,507",55.0,139,0
,Housing Infrastructure development,"2,149,744","1,182,237","967,507",55.0,139,0
Urban Development Service,,"138,014,797","125,041,368","12,973,429",90.6,139,0
,Urban waste Management Services,"138,014,797","125,041,368","12,973,429",90.6,139,0
Irrigation and Drainage Development,,"1,501,717","14,000","1,487,717",0.9,139,0
,Small Holder Irrigation and Drainage,"1,501,717","14,000","1,487,717",0.9,139,0
Road Infrastructure Development,,"202,812,058","42,641,645","160,170,413",21.0,139,0
,Road construction,"202,812,058","42,641,645","160,170,413",21.0,139,0
Public works Management,,"5,871,771","3,667,354","2,204,417",62.5,139,0
,Public works Management,"5,871,771","3,667,354","2,204,417",62.5,139,0
Promotion of tourism and marketing,,-,"(201,250)","201,250",-,139,0
,Promotion of tourism and marketing,-,"(201,250)","201,250",-,139,0
"Administration, Planning and support services",,"12,925,000","8,309,128","4,615,872",64.3,139,0
,Administration Support Services,"12,925,000","8,309,128","4,615,872",64.3,139,0
Trade Development and Investment,,"11,810,000","5,638,435","6,171,565",47.7,139,0
,"Modern Market infrastructure devel-
opment","3,710,000","3,022,685","687,315",81.5,140,0
,"Micro and small enterprises develop-
ment","8,100,000","2,615,750","5,484,250",32.3,140,0
Tourism Development and Marketing,,"9,750,000","2,267,843","7,482,157",23.3,140,0
,"Cultural and heritage tourism Devel-
opment","9,750,000","2,267,843","7,482,157",23.3,140,0
Industrial development and investment,,"4,500,000","2,269,238","2,230,762",50.4,140,0
,"Industrial Development and Promo-
tion","4,500,000","2,269,238","2,230,762",50.4,140,0
Preventive and promotive services,,"75,500,000","48,859,573","26,640,427",64.7,140,0
,Community Health Strategy,"68,100,000","46,764,850","21,335,150",68.7,140,0
,"Diseases surveillance & Emergency
response","1,700,000",-,"1,700,000",-,140,0
,Nutrition service Promotion,"500,000","360,000","140,000",72.0,140,0
,HIV /AIDS Control,"500,000",-,"500,000",-,140,0
,"Maternal and child healthcare promo-
tion","2,900,000","884,723","2,015,277",30.5,140,0
,TB Control,"400,000","350,000","50,000",87.5,140,0
,Malaria control,"400,000","500,000","(100,000)",125.0,140,0
,Promotion of family planning,"1,000,000",-,"1,000,000",-,140,0
Promotion of Curative health services,,"728,246,956","487,910,949","240,336,007",67.0,140,0
,Primary medical health services,"728,246,956","487,910,949","240,336,007",67.0,140,0
General Administrative and Support services,,"23,382,350","15,708,304","7,674,046",67.2,140,0
,"Administrative and Human Resourc-
es management","13,082,350","7,317,504","5,764,846",55.9,140,0
,Disability mainstreaming,"400,000","64,000","336,000",16.0,140,0
,"Health Data and Information Man-
agement","9,900,000","8,326,800","1,573,200",84.1,140,0
Vocational Education and Training development,,"10,838,495","5,228,890","5,609,605",48.2,140,0
,"Polytechnic Support and Develop-
ment","10,838,495","5,228,890","5,609,605",48.2,140,0
Early Childhood Development Education (ECDE),,"10,035,267","7,562,994","2,472,274",75.4,140,0
,Childcare and development,"10,035,267","7,562,994","2,472,274",75.4,140,0
