Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Legislation and Oversight,,"1,098,254,050","838,685,823","259,568,227",76.4%,172,1
Sub Total,,"1,098,254,050","838,685,823","259,568,227",76.4%,172,1
"Office of the Governor and Depu-
ty Governor","070601 County Executive Ser-
vices","294,410,882","292,813,484.90","1,597,397",99.5%,172,1
County Executive Administration,070701County Executive Services,"109,097,638","94,966,543.00","14,131,095",87.0%,172,1
Management of County Affairs,"070801 Coordination of County
Functions","109,452,000","109,061,678.00","390,322",99.6%,172,1
"County Executive Committee
Affairs","070901 Organization of County
Business","3,200,000","3,199,600.00",400,100.0%,172,1
County Public Service Board,"071001 Human Resource Man-
agement","13,253,640","13,047,268.00","206,372",98.4%,172,1
Administrative Support Services,020202 ICT Governance,"5,480,000","5,477,214.00","2,786",99.9%,172,1
,"020701 Government Buildings
Services","2,567,000","2,558,977.00","8,023",99.7%,172,1
,070411 Audit Committee,"1,919,000","1,919,000.00",-,100.0%,172,1
,"070412 County Enforcement
Activities","4,185,000","4,065,540.00","119,460",97.1%,172,1
,"070413 ICT Infrastructure Devel-
opment Management","13,458,800","13,446,000.00","12,800",99.9%,172,1
,"070414 ICT Systems Develop-
ment Management","17,314,717","17,190,210.00","124,507",99.3%,172,1
Sub Total,,"574,338,677","557,745,515","16,593,162",97.1%,172,1
Public Finance Management,070401 Finance Services,"659,287,412","438,827,488.35","220,459,924",66.6%,172,1
,070402 Revenue Services,"24,364,008","23,824,741.15","539,267",97.8%,172,1
,"070404 Procurement and Supply
Services","6,446,500","6,446,499.75",0,100.0%,172,1
,070405 Internal Audit Services,"1,318,200","1,317,848.50",352,100.0%,172,1
,"070408 Budget Formulation, Co-
ordination and Management","9,224,520","9,223,338.00","1,182",100.0%,172,1
,070409 Accounting Services,"5,477,500","5,474,150.00","3,350",99.9%,172,1
"County Planning and Economic
Policy Management","070501 Economic Planning
Services","4,516,246","4,499,213.00","17,033",99.6%,172,1
Sub Total,,"710,634,386.00","489,613,278.75","221,021,107.25",68.9%,172,1
"Curative and Rehabilitative
Services","040301 Curative and Rehabilita-
tive Services","2,336,344,541","2,257,040,182.65","79,304,358",96.6%,172,1
Sub Total,,"2,336,344,541","2,257,040,183","79,304,358",96.6%,173,0
Basic Education,050101 General Administration,"215,696,229","215,682,390.95","13,838",100.0%,173,0
,"050102 Free Pre- Primary Edu-
cation","3,270,000","2,723,000.00","547,000",83.3%,173,0
State Education Function Support,050203 Tertiary Education,"54,038,344","30,936,429.00","23,101,915",57.2%,173,0
Technical and Vocational Training,050301 Village Polytechnique,"27,578,394","27,549,184.00","29,210",99.9%,173,0
Sub Total,,"300,582,967","276,891,004","23,691,963",92.1%,173,0
"Livestock Resource Management
and Development","010102 Livestock Extension and
Capacity Building Services","305,000","250,950.00","54,050",82.3%,173,0
,"010105 Livestock Production
Management","1,380,000","1,379,922.00",78,100.0%,173,0
,"010106 Livestock Disease Man-
agement & Control","3,200,000","3,163,165.00","36,835",98.8%,173,0
"Crop Development and Manage-
ment","010202 Agricultural Extension
Services","1,500,000","1,498,395.00","1,605",99.9%,173,0
,"010203 Agribusiness and Market
Development","320,000","319,720.00",280,99.9%,173,0
,"010206 Land and Crop Develop-
ment","1,331,000","1,331,000.00",-,100.0%,173,0
,010207 Food Security Initiatives,"400,000","400,000.00",-,100.0%,173,0
"Kamweti Agricultural Training
Centre",Extension and Training,,,-,,173,0
Fisheries Development,"010402 Aquaculture Develop-
ment","200,000","200,000.00",-,100.0%,173,0
"Policy Strategy and Management
of Agriculture","010801 Development of Agricul-
tural Policy","1,643,000","1,638,483.00","4,517",99.7%,173,0
,"011001 General Administration
and Planning","727,021,812","346,903,184.25","380,118,628",47.7%,173,0
Sub Total,,"737,300,812","357,084,819","380,215,993",48.4%,173,0
Culture,090702 Social Welfare Services,"10,687,000","10,665,462.00","21,538",99.8%,173,0
,"091201 Gender Administration
Services","30,821,210","30,800,089.75","21,120",99.9%,173,0
,"091301 Gender and Social Devel-
opment","13,723,421","12,386,358.00","1,337,063",90.3%,173,0
Youth,"090901 Youth Development and
Empowerment Services","670,000","669,000.00","1,000",99.9%,173,0
Sub Total,,"55,901,631","54,520,910","1,380,721",97.5%,173,0
Sports,090701 General Administration,"12,221,217","12,197,686.85","23,530",99.8%,173,0
,"090801 Development of Sports
and Sports Facilities","18,062,200","15,603,967.00","2,458,233",86.4%,173,0
,"091401 Management & Devel-
opment of Sports and Sports
Facilities","825,000","617,979.00","207,021",74.9%,173,0
,"091601Control & Campaign
Against Drug & Substance Abuse","1,549,000","1,549,000.00",-,100.0%,173,0
,"091701 Preservation & Promo-
tion of Heritage and Culture","248,800","248,000.00",800,99.7%,173,0
Children Services,"091101 Child Community Sup-
port Services","4,501,000","4,307,017.00","193,983",95.7%,173,0
Sub Total,,"37,407,217","34,523,650","2,883,567",92.3%,173,0
"Trade Development and Invest-
ment","030401 General Administration
and Planning","37,803,441","37,674,341.25","129,100",99.7%,174,0
,"030103 Capacity Building for
Traders and SME's","1,527,000","1,352,500.00","174,500",88.6%,174,0
,"030104 promotion, Development
& Growth of Trade","354,000","353,400.00",600,99.8%,174,0
,"030105 Fair Trade Practises and
Consumer Protection","205,000","193,400.00","11,600",94.3%,174,0
"Tourism Development and Mar-
keting","030302 Tourism Promotion and
Marketing","195,500","173,260.00","22,240",88.6%,174,0
,"030304 International Tourism
Promotion and Marketing","310,000","293,000.00","17,000",94.5%,174,0
,"030305 Promotion of Industrial
Development","1,238,500","1,152,770.00","85,730",93.1%,174,0
,"030306 Provision of Industrial
Training","140,000","99,600.00","40,400",71.1%,174,0
"Cooperative Development and
Marketing","030101 General Administration
& Planning","19,585,934","11,011,600.00","8,574,334",56.2%,174,0
,"030405 Cooperative Advisory
and Extension Services","295,000","253,300.00","41,700",85.9%,174,0
,"030406 Cooperative Education
and Training","542,000","529,800.00","12,200",97.7%,174,0
,"030407 Cooperative Governance
and Accountability","159,000","146,900.00","12,100",92.4%,174,0
Cooperative Audit Services,"030603 Inspections and Investi-
gations for Cooperatives","70,000","70,000.00",-,100.0%,174,0
Sub Total,,"62,425,375","53,303,871","9,121,504",85.4%,174,0
