Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorp-
tion Rate
(%)",page_number,table_index
Office of The Governor,,,,,,201,0
General Administration and Planning,701013710,"1,558,517,720","1,277,599,926","280,917,794",82.0,201,0
,702013710,"73,395,540","69,753,630","3,641,910",95.0,201,0
,705013710,"76,976,446","74,751,706","2,224,740",97.1,201,0
Office of the County secretary,701013710,"3,940,000","3,434,892","505,108",87.2,201,0
Procurement,704023710,"45,731,200","44,442,900","1,288,300",97.2,201,0
Sub-total Office of The Governor,,"1,758,560,906","1,469,983,054","288,577,852",83.6,201,0
Administration and Coordination of County Affairs,,,,,,201,0
"Coordination and Administrative
Services",705013710,"126,038,563","121,574,077","4,464,486",96.5,201,0
,706013710,"144,304,201","142,640,730","1,663,471",98.8,201,0
General Administration and Planning,701013710,"129,347,390","127,210,949","2,136,441",98.3,201,0
"Sub-total Administration and Coordi-
nation of County Affairs",,"399,690,154","391,425,756","8,264,398",97.9,201,0
Agriculture Water and Livestock Development,,,,,,201,0
Agriculture,101029999,"29,243,892","23,417,656","5,826,236",80.1,201,0
,102013710,"310,559,404","273,580,086","36,979,318",88.1,201,0
,103013710,"69,279,902","63,282,627","5,997,275",91.3,201,0
,103023710,"73,659,836","33,604,756","40,055,080",45.6,201,0
,104013710,"3,565,052","3,271,528","293,524",91.8,201,0
Fisheries,105013710,"2,173,617","1,028,723","1,144,894",47.3,201,0
General Administration and Planning,101013710,"262,891,634","261,341,075","1,550,559",99.4,201,0
Livestock Production,106013710,"18,464,807","14,158,918","4,305,889",76.7,201,0
,106023710,"20,366,566","18,683,900","1,682,666",91.7,201,0
Water,111013710,"405,521,070","377,929,893","27,591,177",93.2,201,0
,111023710,"150,624,214","140,817,499","9,806,715",93.5,201,0
,111033710,"61,946,567","60,696,452","1,250,115",98.0,201,0
"Sub-total Agriculture Water and Live-
stock Development",,"1,408,296,561","1,271,813,113","136,483,448",90.3,201,0
"Basic Education, ICT, and Youth Development",,,,,,201,0
Basic Education,502013710,"357,871,962","336,205,667","21,666,295",93.9,201,0
General Administration and Planning,501013710,"92,017,160","91,714,383","302,777",99.7,201,0
Training and Skills Development,503013710,"208,696,210","77,584,775","131,111,435",37.2,201,0
,506013710,"128,117,238","114,495,610","13,621,628",89.4,201,0
,504013710,"2,432,853","2,432,200",653,100.0,201,0
Youth,505013710,"23,159,306","15,904,337","7,254,969",68.7,201,0
"Sub-total Basic Education, ICT, and
Youth Development",,"812,294,729","638,336,972","173,957,757",78.6,201,0
"Lands, Infrastructure, Housing and Urban Development",,,,,,201,0
General Administration and Planning,101013710,"112,342,206","105,928,422","6,413,784",94.3,201,0
Housing,107013710,"23,833,586","24,919,655","(1,086,069)",104.6,201,0
,109013710,"24,108,102","23,995,968","112,134",99.5,201,0
Land Adjudication and Settlement,108023710,"10,243,414","9,042,202","1,201,212",88.3,201,0
Physical Planning,108013710,"32,312,765","30,417,995","1,894,770",94.1,201,0
"Roads, Transport and Mechanical
Services",110013710,"801,124,137","684,170,800","116,953,337",85.4,202,0
,203013710,"36,197,033","35,901,193","295,840",99.2,202,0
Survey and Mapping,108023710,"5,300,109","5,073,057","227,052",95.7,202,0
"Sub-total Lands, Infrastructure, Hous-
ing and Urban Development",,"1,045,461,352","919,449,292","126,012,060",87.9,202,0
Health and Sanitation,,,,,,202,0
General Administration and Planning,401013710,"102,204,008","95,317,089","6,886,919",93.3,202,0
,401023710,"66,295,992","66,129,043","166,949",99.7,202,0
,401033710,"4,844,084","4,844,084",-,100.0,202,0
Health Promotion and Disease Control,404013710,"2,997,772","2,849,895","147,877",95.1,202,0
,404023710,"53,592,106","47,357,056","6,235,050",88.4,202,0
Medical Services,402013710,"2,609,670,372","2,485,699,892","123,970,480",95.2,202,0
,402023710,"12,710,550","13,279,655","(569,105)",104.5,202,0
,403023710,"126,707,592","126,707,592",-,100.0,202,0
,404033710,"25,542,200","25,533,222","8,978",100.0,202,0
Public Health,403013710,"7,662,909","7,354,495","308,414",96.0,202,0
,403023710,"1,531,796","1,400,376","131,420",91.4,202,0
,403033710,"1,802,113","1,796,805","5,308",99.7,202,0
Rural Health Services,402033710,"324,380,396","322,050,880","2,329,516",99.3,202,0
,404023710,"13,493,220","12,490,927","1,002,293",92.6,202,0
,404033710,"3,714,860","3,668,371","46,489",98.7,202,0
,404043710,"22,499,905","22,316,043","183,862",99.2,202,0
Sub-total Health and Sanitation,,"3,379,649,875","3,238,795,425","140,854,450",95.8,202,0
"Trade, Cooperatives and Investments",,,,,,202,0
Cooperatives,304013710,"304,130,725","260,364,003","43,766,722",85.6,202,0
,304023710,"23,242,092","24,566,025","(1,323,933)",105.7,202,0
General Administration and Planning,301013710,"57,240,633","49,585,893","7,654,740",86.6,202,0
Trade and Markets,301013710,"271,190,736","185,401,111","85,789,625",68.4,202,0
,303023710,"6,908,635","6,854,442","54,193",99.2,202,0
"Sub-total Trade, Cooperatives and
Investments",,"662,712,821","526,771,474","135,941,347",79.5,202,0
Environment and Natural Resources,,,,,,202,0
Energy,1004013710,"450,528","450,464",64,100.0,202,0
,1005013710,"3,013,108","2,807,995","205,113",93.2,202,0
,1006013710,"101,554,377","86,322,283","15,232,094",85.0,202,0
Environment,1002013710,"14,435,137","14,658,170","(223,033)",101.5,202,0
