Programme,Approved Budget (Kshs),Actual Payments (Kshs),"Variance
(Kshs.)",Absorption (%),page_number,table_index
Finance And Economic Planning,,,,,210,0
"Budget Formulation, Coordination And
Management","105,788,962","105,714,857","74,105",99.9,210,0
General Administration,"401,571,036","391,389,515","10,181,521",97.5,210,0
Revenue Collection Management,"47,694,631","36,932,083","10,762,548",77.4,210,0
Public Finance And Accounting Services,"18,798,435","18,701,864","96,571",99.5,210,0
Procurement Services,"9,023,465","8,616,683","406,782",95.5,210,0
Risk Assurance Services,"9,309,030","8,530,911","778,119",91.6,210,0
Personal Services,"211,183,391","205,906,032","5,277,359",97.5,210,0
TOTALS,"803,368,950.00","775,791,945.00","27,577,005.00",96.6,210,0
"Agriculture, Livestock And Fisheries",,,,,210,0
"General Administration And Support Ser-
vices {0102053060}","367,376,461","357,542,670","9,833,791",97.3,210,0
"Crop Production & Food Security
{0107013060}","277,943,338","96,830,408","181,112,930",34.8,210,0
Dairy And Meat Production {0108013060},"48,348,586","42,972,446","5,376,140",88.9,210,0
Fish Production Management {0109013060},"20,296,840","6,843,251","13,453,589",33.7,210,0
Livestock Disease Control {0108033060},"63,004,017","28,900,883","34,103,134",45.9,210,0
"Farm Land Utilization, Mechanization &
Crop Storage {0107033060}","47,726,128","46,673,181","1,052,947",97.8,210,0
"Agricultural Extension, Research & Train-
ing. {0107023060}","3,665,000","943,675","2,721,325",25.7,210,0
Total,"828,360,370","580,706,514","247,653,856",70.1,210,0
"Land, Environment, Mining and Natural Resources",,,,,210,0
"0102053060 (General Administration And
Support Services","97,974,438","59,311,190","38,663,248",60.5,210,0
0102063060 (Personnel Services),"27,790,613","27,522,140","268,473",99.0,210,0
0102073060 (Urban Support),"47,826,850","12,078,210","35,748,640",25.3,210,0
0104013060 (Physical Development Plans),"12,080,000","4,775,450","7,304,550",39.5,210,0
"0105013060 (Establishment Of Squatter Set-
tlement Schemes","68,281,207","52,338,157","15,943,050",76.7,210,0
"'0105033060 (Identification And Acquisi-
tion Of Land For Development)","57,800,000","49,150,000","8,650,000",85.0,210,0
"0106023060 (County Environmental Aware-
ness Initiative)","29,500,000","8,793,750","20,706,250",29.8,210,0
"0901023060 (Empowering Communities In
Extractive Industry)","1,020,000","1,007,075","12,925",98.7,210,0
TOTAL,"342,273,108.00","214,975,972.00","127,297,136.00",62.81,210,0
Medical And Public Health Services,,,,,210,0
General Administration(0403013060),"724,660,264","406,424,105","318,236,159",56.1,210,0
Medical Drugs(0402043060)),"313,500,000","313,458,879","41,121",100.0,210,0
Hmis (0403043060)),"4,530,000","4,236,872","293,128",93.5,211,0
Personnel Services(0403053060),"1,701,746,248","1,566,566,893","135,179,355",92.1,211,0
Msambweni Hospital (0405013060),"58,006,733","53,134,595","4,872,138",91.6,211,0
Kinango Hospital(0406013060),"24,825,186","26,259,390","(1,434,204)",105.8,211,0
Kwale Hospital(0407013060),"56,510,000","21,981,973","34,528,027",38.9,211,0
Tiwi Rural Health Facility(0408013060),"4,554,000","4,494,243","59,757",98.7,211,0
Samburu Hospital(0409013060),"18,017,725","6,848,571","11,169,154",38.0,211,0
Lungalunga Hospital(0410013060),"18,398,200","17,571,409","826,791",95.5,211,0
Public Health(0401053060),"2,850,000","2,262,190","587,810",79.4,211,0
Rural Health Facilities(0412013060),"226,984,849","124,121,091","102,863,758",54.7,211,0
Diani Health Centre(0413013060),"1,620,000","1,073,714","546,286",66.3,211,0
"Maternal New Born And Child
Health(0401023060)","209,833,877","62,419,798","147,414,079",29.7,211,0
Total,"3,366,037,082","2,610,853,722","755,183,360",77.6,211,0
County Assembly,,,,,211,0
"General Administration And Support Ser-
vices","531,078,141","348,196,330","182,881,811",65.6,211,0
"Oversight, Legislation And Representation","375,672,194","373,441,114","2,231,080",99.4,211,0
Total,"906,750,335","721,637,444","185,112,891",79.6,211,0
"Trade, Investment And Co-Operative Development",,,,,211,0
Administration Services(0305023060),"132,294,577","84,250,046","48,044,531",63.7,211,0
Construction Of New Markets(0306023060),"83,128,439","59,881,775","23,246,664",72.0,211,0
Weights & Measures,"10,748,424","9,450,852","1,297,572",87.9,211,0
Trade Development And Investment,"12,218,987","7,489,193","4,729,794",61.3,211,0
Other Current Transfers(0306023060),-,-,-,0.0,211,0
Personnel Services (305013060),"31,171,801","30,559,218","612,583",98.0,211,0
"Building Capacity Of Traders For Better
Market Acess(301013060)","6,313,500","4,899,948","1,413,552",77.6,211,0
Industry & Enterprise Development,"53,852,967","41,001,717","12,851,250",76.1,211,0
Cooperative Development,"5,230,348","3,330,180","1,900,168",63.7,211,0
TOTAL,"334,959,043.00","240,862,929.00","94,096,114.00",71.9,211,0
Social Services And Talent Management,,,,,211,0
Administration,"149,324,455","136,297,119","13,027,336",91.3,211,0
Community Development,"70,447,052","30,651,253","39,795,799",43.5,211,0
Culture And Heritage,"18,471,743","6,545,866","11,925,877",35.4,211,0
Sports And Talent Management,"165,230,533","102,402,320","62,828,213",62.0,211,0
Total,"403,473,783","275,896,558","127,577,225",68.4,211,0
Executive Services,,,,,211,0
Audit Services704013060,"61,631,448","61,407,224","224,224",99.6,211,0
General Administration704043060,"91,228,878","60,994,316","30,234,562",66.9,211,0
Legal Advisory Services707013060,"3,036,000","2,158,286","877,714",71.1,211,0
"Media And Communication Ser-
vices707033060","10,252,460","9,709,114","543,346",94.7,211,0
TOTAL,"166,148,786","134,268,940","31,879,846",80.8,211,0
Education,,,,,212,0
Personnel Services (0502023060),"429,225,050","428,553,873","671,177",99.8,212,0
Scholarship And Bursary (0504013060),"404,500,000","404,500,000",-,100.0,212,0
"Administration Planning Support Service
(0502013060)","526,689,534","401,913,178","124,776,356",76.3,212,0
"Infrastructure Development (0503023060)
& (0501043060)","413,905,501","164,134,042","249,771,459",39.7,212,0
Youth Training Development( 0503013060),"115,395,445","98,089,295","17,306,150",85.0,212,0
"Early Childhood Development
(0501043060)","84,350,000","68,829,980","15,520,020",81.6,212,0
Total,"1,974,065,530.00","1,566,020,368.00","408,045,162.00",79.3,212,0
Water Services,,,,,212,0
"Construction & Maintenance Of Water
Pipeline Supply Systems (1001023060)","101,980,241","56,910,656","45,069,585",55.8,212,0
"Development Of Borehole Water Supply
System (1001033060)","77,810,001","51,694,304","26,115,697",66.4,212,0
"Development/Construction Of Surface Wa-
ter Supply Systems ( 1001043060)","115,501,775","69,324,395","46,177,380",60.0,212,0
Community Water Project ( 1001063060),"48,922,963","38,202,512","10,720,451",78.1,212,0
Personnel Services (1002013060),"28,217,747","28,317,511","(99,764)",100.4,212,0
Administration Services (1002023060),"802,491,153","626,266,323","176,224,830",78.0,212,0
TOTAL,"1,174,923,880.00","870,715,701.00","304,208,179.00",74.1,212,0
Roads And Public Works,,,,,212,0
Administration Services (0305023060),"503,091,996","444,248,372","58,843,624",88.3,212,0
"Rehabilitations Of Roads, Drainage And
Bridges (0202013060)","611,361,900","445,290,580","166,071,320",72.8,212,0
Personnel Services (0305013060),"68,055,203","60,244,046","7,811,157",88.5,212,0
"Installation Of Street Lighting Facilities
(0203013060)","47,703,283","28,179,540","19,523,743",59.1,212,0
TOTAL,"1,230,212,382.00","977,962,537.65","252,249,844.35",79.5,212,0
Tourism And ICT,,,,,212,0
Personnel Services {0305013060},"22,259,681","22,259,681",-,100.0,212,0
Administration Services {0305023060},"24,182,365","20,657,372","3,524,993",85.4,212,0
"Local Area Network Installation And ICT
Support {0308013060}","40,955,541","39,640,759","1,314,782",96.8,212,0
Tourism Promotion {0304013060},"43,220,577","14,424,188","28,796,389",33.4,212,0
TOTAL,"130,618,164.00","96,982,000.00","33,636,164.00",74.2,212,0
County Public Service Board,,,,,212,0
,,"(91,500)","91,500",-,212,0
Human Resource Planning (706013060),"16,140,856","15,249,512","891,344",94.5,212,0
"Transformation Of Service Delivery In Pub-
lic Service (706023060)","2,700,000","2,697,233","2,767",99.9,212,0
"Hr Management And Skill Development
(706033060)",-,-,-,0.0,212,0
Compensation To Employees (706043060),"36,886,732","24,903,676","11,983,056",67.5,212,0
Human Resource Planning (706053060),"2,680,000","2,642,412","37,588",98.6,212,0
Staff Rationalization (706063060),"1,600,000","1,599,950",50,100.0,212,0
TOTAL,"60,007,588","47,092,783","12,914,805",78.5,212,0
Public Service & Administration,,,,,213,0
Audit Services0704013060,"193,266,648","176,202,745","17,063,903",91.2,213,0
General Adminstration0704043060,"152,125,243","131,107,145","21,018,098",86.2,213,0
Compensation To Employees 0706043060,"1,200,000","700,000","500,000",58.3,213,0
"County Compliance And Enforce-
ment0708033060","20,544,200","18,270,677","2,273,523",88.9,213,0
Sub County Admin Msambweni0712013060,"9,723,000","7,929,752","1,793,248",81.6,213,0
Sub County Admin Lungalunga0712023060,"12,127,478","12,250,215","(122,737)",101.0,213,0
Sub County Admin Matuga0712033060,"12,810,000","12,697,288","112,712",99.1,213,0
Sub County Admin Kinango0712043060,"11,462,028","12,778,954","(1,316,926)",111.5,213,0
"County Garbage And Cleaning Ser-
vices0713013060","16,502,667","18,391,108","(1,888,441)",111.4,213,0
"Human Resource And Planning,0714013060","8,643,000","8,081,017","561,983",93.5,213,0
TOTAL,"438,404,264.00","398,408,901.00","39,995,363.00",90.9,213,0
Kwale Municipality,,,,,213,0
0102063060 (Personnel),-,-,-,0.0,213,0
0111013060 (Kwale Municipality),"55,745,478","38,086,774","17,658,704",68.3,213,0
TOTAL,"55,745,478","38,086,774","17,658,704",68.3,213,0
Diani Municipality,,,,,213,0
0102063060 (Personnel),-,-,-,0.0,213,0
0112013060 (Diani Municipality),"41,730,000","26,292,928","15,437,072",63.0,213,0
Total,"41,730,000","26,292,928","15,437,072",63.0,213,0
Grand Total,"11,853,604,960","9,300,659,458","2,552,945,502",78.5,213,0
