Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
OFFICE OF THE GOVERNOR,,,,,,234,1
Sub-programme 1,Office of the Governor,"339,517,867","310,525,202","28,992,665",91.5%,234,1
Sub-programme 2,Transport Services,"25,885,676","21,280,640","4,605,036",82.2%,234,1
Sub-programme 3,"Human Resource and Admin-
istration Section","24,634,760","18,663,637","5,971,123",75.8%,234,1
Sub-programme 4,ICT Section,"13,452,204","9,302,647","4,149,557",69.2%,234,1
Sub-programme 5,Hospitality Services Section,"23,580,000","21,616,932","1,963,068",91.7%,234,1
Sub-programme 6,Cabinet Office,"4,130,175","4,128,433","1,742",100.0%,234,1
Sub-programme 7,Office of the Deputy Governor,"38,600,000","27,360,876","11,239,124",70.9%,234,1
Sub-programme 8,"Directorate of Projects Deliv-
ery,Monitoring and Evalua-
tion","5,612,080","1,494,248","4,117,832",26.6%,234,1
Sub-programme 9,Office of the County Advisors,"9,204,400","3,880,383","5,324,017",42.2%,234,1
Sub-programme 10,Office of the County Secretary,"7,534,060","5,627,000","1,907,060",74.7%,234,1
TOTAL,,"492,151,222","423,879,997","68,271,225",86.1%,234,1
"PUBLIC SERVICE,QUALITY MANAGEMENT AND ICT",,,,,,234,1
Sub-programme 1,"General Administration and
support services","519,172,627","485,461,441","33,711,186",93.5%,234,1
Sub-programme 2,Quality Management,"625,000",-,"625,000",0.0%,234,1
Sub-programme 3,"Training,Research and Devel-
opment","95,112,564","46,429,580","48,682,984",48.8%,234,1
Sub-programme 4,"Information Communication
Technology","4,550,011","366,200","4,183,811",8.0%,234,1
Sub-programme 5,ICT Infrastructure,"28,519,634","17,358,155","11,161,479",60.9%,234,1
Sub-programme 6,Closed Circuit Television,"6,092,852","1,513,773","4,579,079",24.8%,234,1
TOTAL,,"654,072,688","551,129,149","102,943,539",84.3%,234,1
"TRADE,INDUSTRIALIZATION AND INNOVATION",,,,,,234,1
Sub-programme 1,"Headquarter Administration
Services","31,338,172","27,799,086","3,539,086",88.7%,234,1
Sub-programme 3,"Business and Enterprise De-
velopment","4,656,856","4,120,381","536,475",88.5%,235,0
Sub-programme 4,"Industrialization and Innova-
tion","11,216,908","10,978,009","238,899",97.9%,235,0
