Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
"Agriculture, Livestock and Fisheries Development",,,,,,277,1
"Policy, Planning, Gen-
eral Administration
and Support Services",General administration (Agriculture),"158,761,939","154,269,774","4,492,165",97.2,277,1
,"Field Extension Services and Support Pro-
gramme (agriculture","6,170,000","5,796,209","373,791",93.9,277,1
,General administration (Livestock),"6,109,760","4,805,500","1,304,260",78.7,277,1
,General administration (Veterinary),"7,689,850","6,839,080","850,770",88.9,277,1
,General administration (Fisheries),"6,798,140","5,418,000","1,380,140",79.7,277,1
,"Field Extension Services and Support Pro-
gramme (Fisheries)","3,610,500","123,868","3,486,632",3.4,277,1
,"Field Extension Services and Support Pro-
gramme (Veterinary))","382,000",-,"382,000",-,277,1
,Donor Fund,"293,075,239","128,696,978","164,378,261",43.9,278,0
,Sub-total,"482,597,428","305,949,410","176,648,018",63.4,278,0
"Livestock production
and management","Feed & livestock products safety, equip-
ment and laboratory services","3,687,640","637,400","3,050,240",17.3,278,0
,Fisheries Development,"5,472,000","5,576,054","(104,054)",101.9,278,0
,"Aquaculture Development and Extension
Services","3,351,750","3,350,253","1,497",100.0,278,0
,"Livestock Breeds Improvement & Up-
grading","17,400,218","15,749,736","1,650,482",90.5,278,0
,Sub-total,"29,911,608","25,313,443","4,598,165",84.6,278,0
Veterinary services,"Livestock Disease Control and Manage-
ment","1,750,000","680,400","1,069,600",38.9,278,0
,Veterinary Public Health management,"13,186,000","3,400,464","9,785,536",25.8,278,0
,"Livestock Breeding and Livestock Prod-
ucts","1,030,000",-,"1,030,000",-,278,0
,Sub-total,"15,966,000","4,080,864","11,885,136",25.6,278,0
Pending Bills,Crop Development,"2,697,270","2,427,269","270,001",90.0,278,0
,Sub-total,"2,697,270","2,427,269","270,001",90.0,278,0
,Grand Total,"531,172,306","337,770,985","193,401,321",63.6,278,0
County Executive,,,,,,278,0
"Governance and Execu-
tive Management",Citizen Delivery Services,"171,672,000","12,722,862","158,949,138",7.4,278,0
,Governance and Executive management,"19,459,351","11,892,252","7,567,099",61.1,278,0
,Sub-total,"191,131,351","24,615,114","166,516,237",12.9,278,0
"Strategy and service de-
livery",Strategy and advisory,"1,141,000","1,140,868",132,100.0,278,0
,Legal Services,"67,990,373","69,217,871","(1,227,498)",101.8,278,0
,Efficiency Monitoring Services,"5,936,000","2,854,267","3,081,733",48.1,278,0
,Sub-total,"73,597,000","73,213,006","383,994",99.5,278,0
"General Administra-
tion and Support Ser-
vices",General Administration (Governors),"112,957,312","90,055,557","22,901,755",79.7,278,0
,"General Administration (Deputy Gover-
nors)","22,999,800","22,062,731","937,069",95.9,278,0
,"General Administration (County Secre-
tary)","10,528,000","9,610,141","917,859",91.3,278,0
,Special programs,"3,700,000","3,698,563","1,437",100,278,0
,Sub-total,"158,399,431","125,426,992","32,972,439",79.2,278,0
"Kenya Devolution Sup-
port Programme",Capacity Building (Governor),"45,000,000","45,000,000",-,100,278,0
,Sub-total,"45,000,000","45,000,000",-,100,278,0
,Grand Total,"461,383,837","268,255,113","193,128,724",58.1,278,0
"Education, Youth, Sports, Culture, Gender and Social Services",,,,,,278,0
"General Administra-
tion and supportive
Services",General administration,"161,969,662","161,904,587","65,075",100,278,0
,Quality Assurance and Standard Services,"2,000,000","2,000,000",-,100,278,0
,Sub total,"163,969,662","163,904,587","65,075",100,278,0
"Child Care Support
Services",Child Care Services,"58,822,269","33,162,580","25,659,689",56.4,278,0
,Sub total,"58,822,269","33,162,580","25,659,689",56.4,278,0
"Sports and Culture De-
velopment",Sports Development,"4,500,000","4,406,000","94,000",97.9,278,0
,Sports and Talent Development,"35,907,069","11,782,181","24,124,888",32.8,278,0
,Sub total,"40,407,069","16,188,181","24,218,888",40.1,278,0
"Promotion of indige-
nous knowledge",Culture and Heritage Conservation,"1,000,000","1,000,000","812,936",100,278,0
,Sub total,"1,000,000","1,000,000",-,100,278,0
"Education Support Ser-
vices",Bursaries,"29,000,000","22,905,716","6,094,284",79,278,0
,Sub total,"29,000,000","22,905,716","6,094,284",79,278,0
"Gender and Equality
Services",Women Empowerment,"600,000","600,000",-,100,278,0
,People With Disability Empowerment,"1,100,000","1,099,637",363,100,278,0
,Conditional Grants,"36,439,894","34,868,488","1,571,406",95.7,278,0
,Sub total,"38,139,894","36,568,125","1,571,769",95.9,278,0
"General Administra-
tion and supportive
Services",General administration,"10,258,307","10,253,629","4,678",100,279,0
,Vocational Training Services,"89,144,095","44,121,871","45,022,224",49.5,279,0
,Sub total,"99,402,402","54,375,500","45,026,902",54.7,279,0
,Grand Total,"430,741,296","328,104,689","102,636,607",76.2,279,0
Finance and Economic planning,,,,,,279,0
Pending bills,Monitoring and Evaluation,"8,490,000","8,490,000",-,100,279,0
,Sub total,"8,490,000","8,490,000",-,100,279,0
"General Administrative
and supportive service",Financial management services,"2,402,966","2,402,965",1,100,279,0
,Resource mobilization,"43,559,460","43,539,676","19,784",100,279,0
,Accounting Services,"267,333,347","266,897,458","435,889",99.8,279,0
,Procurement Services,"18,207,570","18,172,580","34,990",99.8,279,0
,Audit Services,"56,232,496","52,215,490","4,017,006",92.9,279,0
,Sub total,"387,735,839","383,228,170","4,507,669",98.8,279,0
"Economic policy and
county planning",Budget Coordination and Management,"29,054,909","26,011,600","3,043,309",89.5,279,0
,Policy and Plans Developments,"4,955,604","4,950,499","5,105",99.9,279,0
,County Statistical Information Services,"11,789,016","11,699,200","89,816",99.2,279,0
,Community Development,"2,936,705","2,919,568","17,137",99.4,279,0
,Sub total,"48,736,234","45,580,866","3,155,368",93.5,279,0
"General Administrative
and supportive service",General Administration(Accounts),"122,283,973","113,965,321","8,318,652",93.2,279,0
,General Administration(Planning),"16,739,616","16,735,911","3,705",100,279,0
,Sub total,"139,023,589","130,701,233","8,322,356",94,279,0
,Grand Total,"583,985,662","568,000,269","15,985,393",97.3,279,0
Health Services,,,,,,279,0
"Planning and adminis-
trative support services",General administration,"1,725,577,435","1,662,531,098","63,046,336",96.3,279,0
,"Infrastructure and Health facility man-
agement","173,396,148","89,991,173","83,404,975",51.9,279,0
,Sub total,"1,898,973,583","1,752,522,272","146,451,311",92.3,279,0
"Preventive And Promo-
tive Health Services",Community Health Services,"24,338,054","19,127,729","5,210,325",78.6,279,0
,Environmental Health Services,"338,054",-,"338,054",-,279,0
,Human Nutrition and Dietetics,"4,514,161","500,000","4,014,161",11.1,279,0
,HIV/AIDS and TB,"946,550","700,000","246,550",74.0,279,0
,"Disease surveillance /Emergency pre-
paredness& response","93,095,657","88,019,578","5,076,079",94.5,279,0
,Health promotion & education,"338,054",-,"338,054",-,279,0
,"Non Communicable Diseases, Violence
and Injuries","253,540","60,830","192,710",24,279,0
,"Maternal Child and Adolescence Health
Services","66,276,108","46,697,287","19,578,821",70.5,279,0
,Sub total,"190,100,178","155,105,424","34,994,754",81.6,279,0
Donor,Donor Support Services,"87,045,580","35,834,764","51,210,816",41.2,279,0
,Conditional Grants,"161,833,045","13,253,280","148,579,765",8.2,279,0
,Sub total,"248,878,625","49,088,044","199,790,581",19.7,279,0
Curative services,Hospital Services,"277,106,889","271,853,107","5,253,781",98.1,279,0
,Sub total,"277,106,889","271,853,107","5,253,781",98.1,279,0
,Grand Total,"2,615,059,274","2,228,568,847","386,490,427",85.2,279,0
"Lands, Housing and Survey",,,,,,279,0
"General Administra-
tion planning and sup-
port services",General administration,"110,648,945","61,245,666","49,403,279",55.4,279,0
,Donor Fund,"8,800,000",-,"8,800,000",-,279,0
,General administration,"359,661,493","62,034,335","297,627,158",17.2,279,0
,Sub total,"479,110,438","123,280,001","355,830,437",25.7,279,0
"General Administra-
tion planning and sup-
port services(lands)",General administration,"34,535,332","33,121,895","1,413,437",95.9,279,0
,Sub total,"34,535,332","33,121,895","1,413,437",95.9,279,0
,Grand Total,"513,645,770","156,401,896","357,243,874",30.4,280,0
"Management Environment, Natural Resources and Disaster Management",,,,,,280,0
"General administration
and supportive services",General Administration Support Services,"44,975,985","45,659,598","(683,613)",101.5,280,0
,Sub total,"44,975,985","45,659,598","(683,613)",101.5,280,0
"Environment Manage-
ment And Protection",Solid Waste Management,"13,700,000","13,699,853",147,100,280,0
,Irrigation Infrastructure,"100,000","100,000",-,100,280,0
,Sub total,"15,426,681","13,799,853","1,626,828",89.5,280,0
Disaster Management,Disaster Management Services,"14,566,463","14,568,300","(1,837)",100,280,0
,Disaster Management,"22,221,910","16,597,410","5,624,500",74.7,280,0
,Sub total,"36,788,373","31,165,710","5,622,663",84.7,280,0
,Grand Total,"97,191,039","90,625,162","6,565,878",93.2,280,0
Public Service Management,,,,,,280,0
"General Administra-
tion and Support Ser-
vices(ICT)",General Administration (ICT),"21,000,000","20,983,422","16,578",99.9,280,0
,ICT Infrastructure,"40,000,000","22,374,319","17,625,681",55.9,280,0
,Sub total,"61,000,000","43,357,741","17,642,259",71.1,280,0
"Co-ordination of policy
formulation","Co-ordination of policy formulation im-
plementing of vision 2030 and CIDP","3,770,000","2,019,465","1,750,535",53.6,280,0
,Sub total,"3,770,000","2,019,465","1,750,535",53.6,280,0
"Civic Education And
Public Participation","Enhanced Management, Coordination &
Supervision.","200,000",-,"200,000",-,280,0
,capacity building and training,"3,566,037","3,565,400",637,100,280,0
,Sub total,"3,766,037","3,565,400","200,637",94.7,280,0
"Human Capital Man-
agement And Develop-
ment",Personnel Services,"720,000","704,265","15,735",97.8,280,0
,Sub total,"720,000","704,265","15,735",97.8,280,0
"Sub County Adminis-
tration Services",Devolved Units Development Services,"87,749,674","70,920,013","16,829,661",80.8,280,0
,Sub total,"87,749,674","70,920,013","16,829,661",80.8,280,0
"Human Capital Man-
agement And Develop-
ment",Human Resource Management,"4,400,000","4,765,143","(365,143)",108.3,280,0
,"Budget Formulation coordination and
Management","4,900,000","3,398,144","1,501,856",69.3,280,0
,Sub total,"9,300,000","8,163,287","1,136,713",87.8,280,0
"General Administra-
tion and Support Ser-
vices",General administration (PSM),"523,967,932","503,426,437","20,541,495",96.1,280,0
,General administration (PSB),"62,500,000","46,658,348","15,841,652",74.7,280,0
,Sub total,"586,467,932","550,084,785","36,383,147",93.8,280,0
,Grand Total,"752,773,643","678,814,956","73,958,687",90.2,280,0
"Roads, Transport and Public Works",,,,,,280,0
"Policy, General admin-
istration, planning &
support Service",General administration,"54,162,345","53,749,424","412,921",99.2,280,0
,Sub total,"54,162,345","53,749,424","412,921",99.2,280,0
"Road Development,
Maintenance And Man-
agement",Road management services,"44,710,260","44,444,553","265,707",99.4,280,0
,Construction of Bridges and Culverts,"130,301,088","57,909,449","72,391,639",44.4,280,0
,Road management services,"1,381,327,533","1,164,731,489","216,596,044",84.3,280,0
,Sub total,"1,556,338,881","1,267,085,491","289,253,390",81.4,280,0
,Grand Total,"1,610,501,226","1,320,834,914","289,666,312",82,280,0
"Trade, Tourism and Cooperative Development",,,,,,280,0
Tourism Development,Tourism Promotion and Marketing,"1,900,000","1,899,341",659,100,280,0
,Sub total,"1,900,000","1,899,341",659,100,280,0
"Cooperative develop-
ment services",Cooperative Development Services,"376,000","376,001",(1),100,280,0
,Sub total,"376,000","376,001",(1),100,280,0
"Policy, Planning and
Administrative Sup-
port Services","Policy, Planning and Monitoring Services","55,439,019","55,437,482","1,538",100,280,0
,Sub total,"55,439,019","55,437,482","1,538",100,280,0
