Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance,"Absorption
(%)",page_number,table_index
3011 The Executive,"Governor's Affairs & Advisory
Services","122,937,934","60,819,314","62,118,620",49.5%,287,1
,"Deputy Governor's Affairs &
External Relations","45,745,571","12,126,303","33,619,268",26.5%,287,1
,"Cabinet Affairs, Policy Re-
search and Legal Services","59,830,660","45,374,920","14,455,740",75.8%,287,1
,MV 2035 & E-Government,"12,996,366","2,996,366","10,000,000",23.1%,287,1
,Strategic Delivery Unit,"18,594,383","13,262,957","5,331,426",71.3%,287,1
"3013 County Public Ser-
vice Board",Administration Unit,"85,820,510","58,659,194","27,161,316",68.4%,287,1
"3014 Finance and Eco-
nomic Planning",Administration Unit,"1,714,285,635","1,520,453,329","193,832,306",88.7%,287,1
,Accounting Unit,"130,230,996","116,085,896","14,145,101",89.1%,288,0
,Planning and Monitoring Unit,"154,205,645","98,839,979","55,365,666",64.1%,288,0
"3015 Energy, Environ-
ment & Waste Manage-
ment","Administration, Planning and
Support Services","428,303,423","425,643,461","2,659,962",99.4%,288,0
,Waste Management,"125,000,000","51,327,026","73,672,974",41.1%,288,0
,"Environmental Compliance
and Monitoring","60,127,200","37,364,913","22,762,287",62.1%,288,0
,Climate Change,"15,817,400","16,064,938","-247,538",101.6%,288,0
,Energy,"233,732,195","47,418,777","186,313,418",20.3%,288,0
"3016 Education, Infor-
mation Technology &
MV 2035","General Administration, Plan-
ning and Support Services","442,597,083","421,079,454","21,517,628",95.1%,288,0
,Education headquarters,"49,181,573","31,257,709","17,923,864",63.6%,288,0
,Childcare,"10,784,250","196,552","10,587,698",1.8%,288,0
,Elimu Fund,"205,920,552","152,010,000","53,910,552",73.8%,288,0
,"Information Technology Head-
quarters","141,612,701","44,285,147","97,327,554",31.3%,288,0
3017 Health Services,Administration Unit,"2,795,779,953","2,795,779,953",0,100.0%,288,0
,"Curative/Clinical Health Ser-
vices","400,050,162","465,141,519","-65,091,357",116.3%,288,0
,"Preventive and Promotive Ser-
vices Unit","71,546,475","80,873,034","-9,326,559",113.0%,288,0
,Special Programs,"644,880","1,170,800","-525,920",181.6%,288,0
"3018 Water, Sanitation &
Natural Resources",Administration unit,"230,781,953","104,645,180","126,136,774",45.3%,288,0
,"Sanitation/Sewerage Services
Headquarters","451,376,108","432,755,958","18,620,150",95.9%,288,0
,Water Supply Headquarters,"684,823,892","200,133,045","484,690,847",29.2%,288,0
,Natural Resources,"5,000,000","4,720,000","280,000",94.4%,288,0
"3019 Youth, Gender ,
Sports and Cultural Af-
fairs",Administration Unit,"218,063,080","119,980,001","98,083,079",55.0%,288,0
,Youth Empowerment,"163,362,690","89,371,341","73,991,349",54.7%,288,0
,"Gender Affairs and Disability
Mainstreaming","44,934,675","44,264,597","670,078",98.5%,288,0
,Sports development,"499,718,013","247,762,547","251,955,466",49.6%,288,0
,Cultural Affairs,"41,884,300","40,900,000","984,300",97.6%,288,0
,"Public Recreation and Enter-
tainment","21,874,500","18,795,957","3,078,543",85.9%,288,0
"3020 Trade, Tourism &
Investment",Administration Unit,"360,562,675","224,954,334","135,608,341",62.4%,288,0
,Trade Development,"187,336,790","55,805,503","131,531,287",29.8%,288,0
,Development of Tourism,"238,300,974","37,809,532","200,491,442",15.9%,288,0
,"Investment Promotion and
Products Headquarters","37,838,910","21,144,128","16,694,782",55.9%,288,0
,"Ease of Doing Business-Head-
quarters","32,070,480","29,674,020","2,396,460",92.5%,288,0
"3021 Lands, Housing
and Physical Planning",Administration Unit,"347,512,870","168,884,935","178,627,935",48.6%,288,0
,Physical planning,"117,591,700","36,040,336","81,551,364",30.6%,288,0
,Land Management Unit,"134,396,650","22,825,851","111,570,799",17.0%,288,0
,Housing Development Unit,"92,719,200","59,100,871","33,618,329",63.7%,288,0
,Urban Renewal,"35,602,060",,"35,602,060",0.0%,288,0
"3022 Transport, Infra-
structure & Public Works",Administration Unit,"423,560,260","286,034,749","137,525,511",67.5%,289,0
,Road and Transport Unit,"1,000,730,423","662,508,043","338,222,380",66.2%,289,0
,Works Unit,"11,295,792","3,678,146","7,617,646",32.6%,289,0
,"Transport Planning, Manage-
ment and Safety","60,422,888","50,970,158","9,452,730",84.4%,289,0
,Mechanical Services,"87,066,406","69,375,001","17,691,405",79.7%,289,0
,"Safety, Risk Management and
Rescue Services","118,746,000","107,208,621","11,537,379",90.3%,289,0
"3023 Agriculture, Fisher-
ies, Livestock and Co-op-
eratives","Administration Unit-Head-
quarters","154,766,606","145,383,075","9,383,531",93.9%,289,0
,Crop Management Unit,"26,711,401","26,620,221","91,180",99.7%,289,0
,Livestock Unit,"24,402,449","8,964,022","15,438,427",36.7%,289,0
,Fisheries Unit-Headquarters,"30,227,308","10,392,486","19,834,822",34.4%,289,0
,Veterinary Services,"23,160,780","19,335,570","3,825,210",83.5%,289,0
,Cooperatives,"5,593,908","5,050,032","543,876",90.3%,289,0
"3026 Devolution & Pub-
lic Service Administra-
tion",Administration,"1,335,734,940","861,739,311","473,995,629",64.5%,289,0
,"Public Service Reforms and
Delivery","165,526,562","107,752,712","57,773,850",65.1%,289,0
,"Devolution and public service
administration","36,124,069","20,151,257","15,972,812",55.8%,289,0
,Compliance and Enforcement,"45,328,576",0,"45,328,576",0.0%,289,0
,"County Administration and de-
centralized services","29,301,309","21,710,955","7,590,354",74.1%,289,0
3012 County Assembly,"Administration Unit & Legal
Unit","784,382,941","666,598,014","117,784,927",85.0%,289,0
Grand Total,,"15,634,579,687","11,531,272,052","4,103,307,635",73.8%,289,0
