Program,Sub Program,Description,"Approved
Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
4610,,"Default - Non Program-
matic",-,-,-,-,335,1
,-,"Default - Non-Program-
matic",-,-,-,-,335,1
102004610,,"Crop Development and
management","553,861,483","358,096,208","195,765,275",64.7,335,1
,102024610,"Crop Productivity Im-
provement","553,861,483","358,096,208","195,765,275",64.7,335,1
103004610,,"Livestock Resources
management and de-
velopment","202,857,360","145,107,066","57,750,294",71.5,335,1
,103014610,"Livestock Pests & Dis-
ease Management &
Control","69,290,914","46,869,120","22,421,794",67.6,336,0
,103074610,"Livestock Information
Management","133,566,446","98,237,946","35,328,500",73.5,336,0
104004610,,"Fisheries development
and management","29,087,585","24,000,000","5,087,585",82.5,336,0
,104014610,"Fish Products Produc-
tion","29,087,585","24,000,000","5,087,585",82.5,336,0
105004610,,"Land Policy and Plan-
ning","50,166,386","30,000,675","20,165,711",59.8,336,0
,105014610,"Development Planning
and Land Reforms","50,166,386","30,000,675","20,165,711",59.8,336,0
106004610,,"Housing Development
and Human Settlement","92,674,923","67,674,923","25,000,000",73.0,336,0
,106014610,Housing Development,"92,674,923","67,674,923","25,000,000",73.0,336,0
107004610,,"Urban Mobility and
Transport","254,978,815","125,773,575","129,205,240",49.3,336,0
,107014610,"Metropolitan Planning
& Infrastructure Devel-
opment","254,978,815","125,773,575","129,205,240",49.3,336,0
201004610,,"Roads Transport and
Public Works","1,013,238,278","741,470,748","271,767,530",73.2,336,0
,201014610,"General Administration,
Planning and Support
Services","61,106,239","41,319,832","19,786,406",67.6,336,0
,201024610,"Construction of Roads
and Bridges","861,356,649","646,225,124","215,131,525",75.0,336,0
,201034610,Maintenance of Roads,"90,775,391","53,925,792","36,849,599",59.4,336,0
202004610,,ICT Services,"49,383,299","23,115,513","26,267,786",46.8,336,0
,202014610,"ICT Infrastructure De-
velopment","49,383,299","23,115,513","26,267,786",46.8,336,0
301004610,,"General Administra-
tion and Support Ser-
vices","125,453,154","102,451,559","23,001,595",81.7,336,0
,301014610,Administrative Services,"2,746,418","1,547,900","1,198,518",56.4,336,0
,301024610,"Cooperative Develop-
ment & Management","13,837,911","9,876,547","3,961,364",71.4,336,0
,301034610,"Trade Development and
Promotion","108,868,825","91,027,112","17,841,713",83.6,336,0
303004610,,"Tourism Development
and Promotion","463,165,168","400,964,408","62,200,760",86.6,336,0
,303014610,"Tourism Promotion and
Marketing","463,165,168","400,964,408","62,200,760",86.6,336,0
401004610,,"Preventive &Promotive
Health Services","1,078,720,000","544,958,269","533,761,731",50.5,336,0
,401014610,Health Promotion,"1,078,720,000","544,958,269","533,761,731",50.5,336,0
402004610,,"Curative Health Ser-
vices","372,824,470","364,735,480","8,088,990",97.8,336,0
,402014610,Referral Services,"372,824,470","364,735,480","8,088,990",97.8,336,0
403004610,,"General Administra-
tion, Planning & Sup-
port Services","2,182,379,494","1,941,588,356","240,791,138",89.0,336,0
,403014610,"Health Policy, Planning
and Financing","2,182,379,494","1,941,588,356","240,791,138",89.0,337,0
502004610,,"Manpower Develop-
ment, Employment and
Productivity Manage-
ment","1,287,518,129","1,064,328,532","223,189,598",82.7,337,0
,502014610,"Early Child Develop-
ment and Education","1,117,518,129","989,450,972","128,067,158",88.5,337,0
,502024610,"Infrastructure Develop-
ment and Expansion","170,000,000","74,877,560","95,122,440",44.0,337,0
701004610,,"General Administra-
tion, Planning and Sup-
port Services","1,611,509,797","992,292,958","619,216,839",61.6,337,0
,701014610,Administrative Services,"663,244,364","375,568,042","287,676,322",56.6,337,0
,701044610,"Coordination and Ad-
ministrative Services","311,045,335","174,075,827","136,969,508",56.0,337,0
,701054610,"Public service and Field
Administrative Services","481,131,603","331,967,013","149,164,590",69.0,337,0
,701084610,"Board Management Ser-
vices","156,088,495","110,682,077","45,406,419",70.9,337,0
702004610,,"Public Finance Man-
agement","390,660,481","272,181,115","118,479,366",69.7,337,0
,702014610,Accounting services,"29,680,654","20,309,000","9,371,654",68.4,337,0
,702024610,Resource Mobilization,"167,716,912","114,059,019","53,657,893",68.0,337,0
,702034610,"Budget Formulation,
Coordination and Man-
agement","38,972,871","30,043,166","8,929,706",77.1,337,0
,702044610,"Supply Chain Manage-
ment Services","101,202,669","71,621,325","29,581,344",70.8,337,0
,702054610,Internal Audit Services,"53,087,375","36,148,605","16,938,770",68.1,337,0
703004610,,"Economic Policy and
County Planning","816,355,583","782,811,195","33,544,387",95.9,337,0
,703014610,"Economic Planning Co-
ordination","793,085,968","765,411,405","27,674,563",96.5,337,0
,703024610,"Monitoring and Evalua-
tion Services","23,269,615","17,399,790","5,869,825",74.8,337,0
704004610,,"Legislation and Repre-
sentation","500,246,124","494,629,053","5,617,071",98.9,337,0
,704014610,Legislative Oversight,"390,721,034","386,301,941","4,419,093",98.9,337,0
,704024610,"County Co-ordination
Services","104,174,547","103,623,040","551,508",99.5,337,0
,704034610,Research and Policy,"5,350,543","4,704,072","646,471",87.9,337,0
901004610,,"Social Development
and Children Services","254,876,402","164,022,440","90,853,962",64.4,337,0
,901014610,"Gender and Youth De-
velopment","16,318,089","9,298,000","7,020,089",57.0,337,0
,901024610,"Social Assistance to Vul-
nerable Groups","20,086,438","11,833,702","8,252,736",58.9,337,0
,901034610,"Development and Pro-
motion of culture","7,509,027","5,570,000","1,939,027",74.2,337,0
,901044610,"Development and Man-
agement of sports facil-
ities","130,000,000","92,000,698","37,999,302",70.8,337,0
