Programme,Sub- Programme,"Approved Budget
(Ksh)","Actual Payment
(Ksh)","s Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,"Actual Payments
(Ksh)","Variance
(Kshs.)"
"Agriculture, Livestock and Fisheries",,,,,,415,1,,
Crop Development,Crop Diversification,"100,864,938","100,847,69","2 17,246",100.0,415,1,,
Crop Development,"Post-Harvest Management
and Value Addition","120,598,923","139,059,96","5 -18,461,042",115.3,415,1,,
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","502,390,643","502,380,52","5 10,118",100.0,415,1,,
Sub total,,"723,854,504","742,288,18","2 -18,433,678",102.5,415,1,,
"Trade, Commerce and Industry",,,,,,415,1,,
Medium and small Enterprises,"Medium and small Enter-
prises","104,756,291","2,481,379","102,274,912",2.4,415,1,,
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","54,863,482","44,010,127","10,853,355",80.2,415,1,,
Sub total,,"159,619,773","46,491,506","113,128,267",29.1,415,1,,
"Water, Environment and Natural Resources",,,,,,415,1,,
"Environment Management and
Protection",Waste Management,"227,200,000","177,751,33","2 49,448,668",78.2,415,1,,
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","95,021,519","94,195,59","2 825,927",99.1,415,1,,
Sub total,,"322,221,519","271,946,92","3 50,274,596",84.4,415,1,,
"Public Works, Roads and Infrastructure",,,,,,415,1,,
,Maintenance of Roads,"487,792,355",,,86.7,416,0,"423,113,654","64,678,701"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","182,912,837",,,39.6,416,0,"72,423,230","110,489,607"
Sub total,,"670,705,192",,,73.9,416,0,"495,536,883","175,168,309"
"Lands, Housing and Urban Planning",,,,,,416,0,,
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","99,097,781",,,75.8,416,0,"75,105,460","23,992,321"
Sub total,,"99,097,781",,,75.8,416,0,"75,105,460","23,992,321"
"Gender, Sports, Culture and Tourism",,,,,,416,0,,
"Culture Development and Promo-
tion",Culture Development,"122,990,735",,,160.1,416,0,"196,923,979","-73,933,244"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","47,855,145",,,99.4,416,0,"47,556,901","298,244"
Sub total,,"170,845,880",,,143.1,416,0,"244,480,880","-73,635,000"
Public Service Management,,,,,,416,0,,
Infrastructure Development,"Supervision and Manage-
ment of Projects","113,713,288",,,,416,0,-,"113,713,288"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","493,506,948",,,76.3,416,0,"376,477,589","117,029,359"
Sub total,,"607,220,236",,,62.0,416,0,"376,477,589","230,742,647"
Education and ICT,,,,,,416,0,,
Vocational Training Development,"Vocational Training De-
velopment","197,727,485",,,78.6,416,0,"155,403,187","42,324,298"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","376,176,371",,,95.9,416,0,"360,815,568","15,360,803"
Sub total,,"573,903,856",,,89.9,416,0,"516,218,754","57,685,102"
Finance,,,,,,416,0,,
"Administrative and Support Ser-
vices","Supervision and Manage-
ment of Projects","464,103,762",,,86.7,416,0,"402,404,601","61,699,161"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","750,824,214",,,98.6,416,0,"740,170,840","10,653,374"
Sub total,,"1,214,927,976",,,94.0,416,0,"1,142,575,441","72,352,535"
Governance,,,,,,416,0,,
Infrastructure Development,"Supervision and Manage-
ment of Projects","19,236,990",,,98.7,416,0,"18,994,921","242,069"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","67,437,780",,,96.1,416,0,"64,816,213","2,621,567"
Sub total,,"86,674,770",,,96.7,416,0,"83,811,135","2,863,635"
County Public Service Board,,,,,,416,0,,
Governance and County Values,"Infrastructure Develop-
ment","3,823,461",,,99.3,416,0,"3,795,131","28,330"
"Administrative and Support Ser-
vices","Administrative and Sup-
port Services","58,850,000",,,79.0,416,0,"46,484,137","12,365,863"
Sub total,,"62,673,461",,,80.2,416,0,"50,279,268","12,394,193"
Health Corporate,,,,,,416,0,,
and Support Services,Preventive Health Services,"383,780,914",,,72.1,416,0,"276,538,700","107,242,214"
and Support Services,"Administrative and Sup-
port Services","1,760,277,979",,,92.6,416,0,"1,630,557,306","129,720,673"
Sub total,,"2,144,058,893",,,88.9,416,0,"1,907,096,007","236,962,886"
Economic Planning,,,,,,416,0,,
