Sub Program,Name of the Programme,"Approved Esti-
mates FY 2020/21","Expendi-
ture 1/7/20-
30/06/21(Kshs)",Variance (Kshs.),"Implementation
Status (% )",page_number,table_index
,,(Kshs.),,,,426,1
,"Adjudication, registry and settlement","16,157,908","5,613,629","10,544,279",34.7,426,1
102014110,"Delineation & adjudication of commu-
nity land","16,157,908","5,613,629","10,544,279",34.7,426,1
,Spatial Planning,"32,193,298","7,522,628","24,670,670",23.4,426,1
103044110,Spatial Planning,"32,193,298","7,522,628","24,670,670",23.4,426,1
,"Formulation of community land poli-
cy and regulations","52,457,407","8,850,668","43,606,739",16.9,426,1
104024110,Transport Parks,"11,500,000",0,"11,500,000",-,426,1
104064110,Transport Parks,"19,195,000",0,"19,195,000",-,426,1
104074110,Urban Centre Mgt,"21,762,407","8,850,668","12,911,739",40.7,426,1
,"Compulsory land acquisition for pub-
lic utilities","3,420,867","544,250","2,876,617",15.9,426,1
105014110,Land acquisition for public utilities,"3,420,867","544,250","2,876,617",15.9,426,1
,"Establishment and rehabilitation of
public utilities in Lodwar","91,032,552","19,297,980","71,734,572",21.2,426,1
109014110,Improvement of Moi Garden Stadia,"51,532,552","12,204,590","39,327,962",23.7,426,1
109024110,completion of recreational park,"31,500,000","2,496,390","29,003,610",7.9,426,1
109034110,setting up of dumping site in Lodwar,"8,000,000","4,597,000","3,403,000",57.5,426,1
,"Revival of Turkana Fishermen Co-op.
society","201,192,236","10,857,070","190,335,166",5.4,426,1
110044110,Spate Irrigation Technology,"56,889,236","4,625,807","52,263,430",8.1,426,1
110054110,Spate Irrigation Technology,"12,000,000",0,"12,000,000",-,426,1
110064110,Spate Irrigation Technology,"59,703,000","782,700","58,920,300",1.3,426,1
110074110,Spate Irrigation Technology,"47,600,000","5,448,564","42,151,436",11.5,426,1
110084110,Rehabilitation,"7,000,000",0,"7,000,000",-,426,1
110094110,Soil & Water Conservation,"18,000,000",0,"18,000,000",-,426,1
,"Fish market infrastructure/ fish value
addition","33,406,905","5,133,692","28,273,213",15.4,426,1
111014110,"Fish market infrastructure/ fish value
addition","2,778,795","694,390","2,084,405",25,426,1
111024110,Fisheries livelihood support,"2,324,680","828,580","1,496,100",35.6,426,1
111034110,Fisheries Extension Services,"2,941,280","241,900","2,699,380",8.2,426,1
111044110,Fisheries resource management,"7,098,949","910,392","6,188,557",12.8,426,1
111054110,Fisheries resource management,"11,235,252","2,065,345","9,169,907",18.4,426,1
111064110,Fisheries resource management,"4,258,735","35,000","4,223,735",0.8,426,1
111084110,Fish Farming & Aquaculture,"2,769,214","358,085","2,411,129",12.9,426,1
,,(Kshs.),,,,427,0
,"Sustainable management of fisheries
resources","70,254,000","49,000,132","21,253,868",69.8,427,0
115014110,Frame survey,"60,980,000","43,571,610","17,408,390",71.5,427,0
115024110,Fish Stock assessment,"2,480,000","1,219,440","1,260,560",49.2,427,0
115034110,"Monitoring, Control and Surveillance","4,732,000","2,298,090","2,433,910",48.6,427,0
115044110,Resource monitoring facilities,"2,062,000","1,910,992","151,008",92.7,427,0
,Livestock breed improvement,"83,950,911","6,050,296","77,900,615",7.2,427,0
