Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,col_6
County Executive,,,,,,460,1,
"Office of the Deputy Gover-
nor","Office of the Deputy
Governor","26,000,000","25,300,000","700,000",97.3,460,1,
Office of the Governor,Office of the Governor,"394,925,059","340,659,927","54,265,132",86.3,460,1,
,Total,"420,925,059","365,959,927","54,965,132",86.9,460,1,
County Assembly,,,,,,460,1,
"General Administration and
Support Service","General Administration
and Support Service","972,194,403","932,065,822","40,128,581",95.9,460,1,
,Total,"972,194,403","932,065,822","40,128,581",95.9,460,1,
"Finance and Economic
Planning",,,-,,,460,1,
County Service,County Service,"62,049,793","58,430,000","3,619,793",94.2,460,1,
Supply Chain Service,Supply Chain Service,"71,576,720","51,452,131","20,124,589",71.9,460,1,
Asset Management,Asset Management,"8,684,936","5,000,000","3,684,936",57.6,460,1,
Revenue,Revenue,"64,735,450","61,345,230","3,390,220",94.8,460,1,
Internal,Internal,"14,722,161","12,950,000","1,772,161",88.0,460,1,
Budget,Budget,"12,052,544","12,180,300","-127,756",101.1,460,1,
County Intergrated,County Intergrated,"115,419,234","72,750,000","42,669,234",63.0,460,1,
"County Statistical Informa-
tion Service","County Statistical Infor-
mation Service","3,007,000","2,650,930","356,070",88.2,460,1,
"County Monitoring & Evalu-
ation Service","County Monitoring &
Evaluation Service","2,059,000","824,262","1,234,738",40.0,460,1,
"General Administration and
Support Service","General Administration
and Support Service","273,013,803","262,634,811","10,378,992",96.2,460,1,
,Total,"627,320,641","540,217,664","87,102,977",86.1,460,1,
"Public Health, Medical Service and Sanitation",,,,,-,460,1,
Curative,Curative,"856,385,636","751,122,000","105,263,636",87.7,461,0,
General Administration,General Administration,"1,799,829,088","1,425,639,311","374,189,777",79.2,461,0,
Preventive,Preventive,"145,303,140","108,650,000","36,653,140",74.8,461,0,
Special Programme,Special Programme,"7,400,000","6,488,000","912,000",87.7,461,0,
Research,Research,"7,900,000","7,900,000",-,100.0,461,0,
Family Health,Family Health,"136,322,302","131,132,636","5,189,666",96.2,461,0,
,Total,"2,953,140,166","2,430,931,947","522,208,219",82.3,461,0,
Water Resources,,,,,,461,0,
"Water Supplies, Overhaul
and Maintenance Service","Water Supplies, Over-
haul and Maintenance
Service","689,720,734","639,447,456","50,273,278",92.7,461,0,
"New Infrastructure develop-
ment service","New Infrastructure de-
velopment service","122,316,674","122,296,921","19,753",100.0,461,0,
"Personnel, Administration
and Financial Service","Personnel, Administra-
tion and Financial Ser-
vice","84,031,557","82,864,273","1,167,284",98.6,461,0,
,Total,"896,068,965","844,608,650","51,460,315",94.3,461,0,
"Public Works, Housing and
Physical Planning",,,,,-,461,0,
"Urban, Physical Planning
Service","Urban, Physical Plan-
ning Service","59,987,596","5,857,346","54,130,250",9.8,461,0,
"County survey and policy
service","County survey and poli-
cy service","24,411,650","21,853,238","2,558,412",89.5,461,0,
Government building service,"Government building
service","3,179,758","1,654,231","1,525,527",52.0,461,0,
"Housing development, ca-
pacity building and ABT","Housing development,
capacity building and
ABT","2,140,800","2,100,000","40,800",98.1,461,0,
Public Works Service,Public Works Service,"30,369,461","8,235,000","22,134,461",27.1,461,0,
"General Administration and
Support Service","General Administration
and Support Service","40,926,693","40,926,500",193,100.0,461,0,
,Total,"161,015,958","80,626,315","80,389,643",50.1,461,0,
Roads and Transport,,,,,,461,0,
"Maintenance & Rehabilita-
tion of County roads and
Bridges","Maintenance & Rehabil-
itation of County roads
and Bridges","756,335,527","548,390,420","207,945,107",72.5,461,0,
"Design and construction of
the County roads and bridg-
es","Design and construction
of the County roads and
bridges","132,103,917","36,000,000","96,103,917",27.3,461,0,
Transport Services,Transport Services,"43,986,772","12,761,233","31,225,539",29.0,461,0,
"General Administration and
Support Service","General Administration
and Support Service","37,387,068","37,689,496","-302,428",100.8,461,0,
,Total,"969,813,284","634,841,149","334,972,135",65.5,461,0,
,,,,,,461,0,
"Agriculture, Livestock and
Fisheries",,,,,,461,0,
Livestock,Livestock,"73,295,515","63,342,340","9,953,175",86.4,461,0,
Veterinary Service,Veterinary Service,"51,744,464","16,384,261","35,360,203",31.7,461,0,
Agriculture,Agriculture,"430,137,066","392,990,300","37,146,766",91.4,461,0,
General Administration,General Administration,"49,567,432","49,235,650","331,782",99.3,461,0,
Irrigation,Irrigation,"163,331,488","97,129,363","66,202,125",59.5,461,0,
Fisheries,Fisheries,"10,535,151","10,236,543","298,608",97.2,461,0,
,Total,"778,611,116","629,318,457","149,292,659",80.8,461,0,
"Education, Youth, Gender
and Social Services",,,,,,461,0,
ECD,General Administration,"456,091,836","450,632,969","5,458,867",98.8,461,0,
School support programme,"School support pro-
gramme","99,499,294","26,000,000","73,499,294",26.1,462,0,
Vocational Training Centre,"Vocational Training
Centre","74,915,732","19,429,728","55,486,004",25.9,462,0,
Sport and Youth,Sport and Youth,"63,389,804","55,287,469","8,102,335",87.2,462,0,
"Culture, Heritage and Li-
brary Service","Culture, Heritage and
Library Service","19,653,833","17,982,354","1,671,479",91.5,462,0,
Gender and Social Service,"Gender and Social Ser-
vice","68,955,152","30,198,451","38,756,701",43.8,462,0,
"General Administration and
Support Service",ECD,"28,434,599","11,840,000","16,594,599",41.6,462,0,
,Total,"810,940,251","611,370,971","199,569,280",75.4,462,0,
"ICT and E-Government,
Trade, Industrialization
and Cooperative Develop-
ment",,,,,,462,0,
Trade Services,Business Support,"21,293,000","10,529,345","10,763,655",49.4,462,0,
,Infrastructure,"36,281,809","27,653,799","8,628,010",76.2,462,0,
Coop Services,Coop Support,"23,016,880","23,630,762","-613,882",102.7,462,0,
,Infrastructure,-,,-,-,462,0,
Investment & Industry,Support Service,"8,759,160","8,810,000","-50,840",100.6,462,0,
,Infrastructure,"2,000,000","2,000,000",-,100.0,462,0,
"General Administration and
Support Service","General Administration
and Support Service","94,334,940","89,784,525","4,550,415",95.2,462,0,
ICT Service,Service,"39,301,600","37,563,639","1,737,961",95.6,462,0,
,Infrastructure,"3,000,000","3,000,000",-,100.0,462,0,
,Total,"227,987,389","202,972,070","25,015,319",89.0,462,0,
,,,,,,462,0,
"Public Services, Special
Programs and Decentral-
ization Unit",,,,,,462,0,
,,,,,,462,0,
Governance and Ethics,Governance and Ethics,"22,386,382","14,490,211","7,896,171",64.7,462,0,
"Town Administration and
decentralized","Town Administration
and decentralized","211,300,007","221,414,665","-10,114,658",104.8,462,0,
HRM,HRM,"311,413,605","301,874,327","9,539,278",96.9,462,0,
Peace,Peace,"75,040,567","75,028,540","12,027",100.0,462,0,
Public Participation,Public Participation,"79,104,892","81,556,759","-2,451,867",103.1,462,0,
Disaster,Disaster,"94,349,889","87,300,248","7,049,641",92.5,462,0,
