Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index,Variance (Kshs.),"Implemen-
tation Status
(%)"
,Total,"579,199,768","534,936,743","44,263,025",92.4,463,0,,
Wajir Municipality,,,,,,463,0,,
"General Administration and
Support Service","General Administration
and Support Service","392,993,763","365,630,121","27,363,642",93.0,463,0,,
Total,,"392,993,763","365,630,121","27,363,642",93.0,463,0,,
Grand Total,,"10,944,104,687","9,245,952,757","1,698,151,930",84.5,463,0,,
County Executive,,,,,,468,1,,
,"SP 1 - (General Administration, planning
and Support Services)","503,563,605","476,608,884",,,468,1,"26,954,721",94.7
,SP 2 - (County Public service Board,"9,493,120","9,389,892",,,468,1,"103,228",98.9
,SP 3 - (County Executive affairs),"29,715,399","25,860,349",,,468,1,"3,855,050",87.0
,"SP 4- (Liaison and Intergovernmental ser-
vice)","10,733,816","10,704,154",,,468,1,"29,662",99.7
,Sub total,"553,505,940","522,563,279",,,468,1,"30,942,661",94.4
Finance and Economic Planning,,,,,,468,1,,
,"SP 1(General Administration, planning
and Support Services","213,498,087","199,924,316",,,468,1,"13,573,771",93.6
,SP 2- (Treasury Accounting Services),"3,033,458","2,854,232",,,468,1,"179,226",94.1
,SP 3- (Supply Chain Management services),"3,642,816","3,153,904",,,469,0,"488,912",86.6
,SP 4- (Resource Mobilization),"12,106,632","10,429,898",,,469,0,"1,676,734",86.1
,SP 5- (Internal Audit services),"4,133,600","4,132,850",,,469,0,750,100.0
,SP 6- (Budget Formulation services),"18,056,721","16,065,121",,,469,0,"1,991,600",89.0
,SP 7- (Economic Planning),"85,863,932","50,678,911",,,469,0,"35,185,021",59.0
,SP 8-(Monitoring and Evaluation),"6,587,000","6,586,957",,,469,0,43,100.0
,Subtotal,"346,922,246","293,826,189",,,469,0,"53,096,057",84.7
"Public Works, Transport and Infrastructure",,,,,,469,0,,
,"SP 1(General Administration, planning
and Support Services","72,659,408","69,621,992",,,469,0,"3,037,416",95.8
,SP 2(Road Transport),"15,335,387","12,455,696",,,469,0,"2,879,691",81.2
,SP 3(KRB),"186,588,369","156,305,255",,,469,0,"30,283,114",83.8
,SP 4(Public works),"15,123,037","14,155,335",,,469,0,"967,702",93.6
,SP 5- (Ward Specific Projects),"157,703,603","140,729,867",,,469,0,"16,973,736",89.2
,Subtotal,"447,409,804","393,268,145",,,469,0,"54,141,659",87.9
"Health, Sanitation and Emergencies",,,,,,469,0,,
,"SP 1(General Administration, planning
and Support Services","1,299,956,302","1,299,000,158",,,469,0,"956,144",99.9
,SP 2- (Preventive Health Services),"88,444,286","77,221,618",,,469,0,"11,222,668",87.3
,SP 3- (Curative Health Services),"324,913,573","265,582,052",,,469,0,"59,331,521",81.7
,SP 4- (Kacheliba Sub county hospital),"17,770,000","15,707,098",,,469,0,"2,062,902",88.4
,SP 5- (Sigor Sub county hospital),"17,820,000","16,978,877",,,469,0,"841,123",95.8
,SP 6- (Chepareria Sub county hospital),"16,815,000","14,864,771",,,469,0,"1,950,229",88.4
,SP 7(Facility Improvement Fund),"66,618,608","52,875,303",,,469,0,"13,743,305",79.4
,SP 8(Ward Specific),"134,212,373","113,075,783",,,469,0,"21,136,590",84.3
,Sub total,"1,966,550,142","1,855,305,660",,,469,0,"111,244,482",94.3
Education and Technical training,,,,,,469,0,,
,"SP 1(General Administration, planning
and Support Services","328,215,485","320,715,221",,,469,0,"7,500,264",97.7
,SP 2 - (ECD Services),"16,247,252","4,504,123",,,469,0,"11,743,129",27.7
,SP 3- (Youth Vocational training),"36,805,196","36,384,711",,,469,0,"420,485",98.9
,SP 4- (Bursary Fund),"292,000,000","291,501,863",,,469,0,"498,137",99.8
,SP 5 - (Ward specific),"213,798,928","207,694,915",,,469,0,"6,104,013",97.1
,Sub total,"887,066,861","860,800,833",,,469,0,"26,266,028",97.0
Agriculture and Irrigation,,,,,,469,0,,
,"SP 1 - (General Administration, planning
and Support Services)","98,153,215","97,292,993",,,469,0,"860,222",99.1
,"SP 2-(Crop Development and Manage-
ment)","444,500,620","408,386,626",,,469,0,"36,113,994",91.9
,"SP 3-(Cash Crop Production(Special Pro-
grams)","1,042,000","1,029,942",,,469,0,"12,058",98.8
,SP 4 -(Ward specific),"17,035,900","11,353,441",,,469,0,"5,682,459",66.6
,Sub total,"560,731,735","518,063,002",,,469,0,"42,668,733",92.4
Pastoral Economy,,,,,,469,0,,
,"SP 1 - (General Administration, planning
and Support Services)","87,131,217","83,657,941",,,469,0,"3,473,276",96.0
,"SP 2 - (Livestock production and Range
Management)","40,409,009","28,740,844",,,469,0,"11,668,165",71.1
,SP 3- (Livestock Disease management),"5,718,400","5,642,390",,,469,0,"76,010",98.7
,SP 4- (Fisheries Development),"434,400","428,890",,,469,0,"5,510",98.7
,"SP 5- (Nasukuta Livestock Improvement
Centre)","55,328,000","44,063,497",,,469,0,"11,264,503",79.6
,SP 6 - (Ward specific),"59,690,027","51,953,779",,,470,0,"7,736,248",87.0
,"SP 7 - (Dairy Development (Special Pro-
grammes)","1,542,000","1,540,800",,,470,0,"1,200",99.9
,Sub total,"250,253,053","216,028,141",,,470,0,"34,224,912",86.3
"Trade, Industrialization, Investment and Cooperative Development",,,,,,470,0,,
,"SP 1 - (General Administration, planning
and Support Services)","69,740,426","69,279,420",,,470,0,"461,006",99.3
,SP 2- (Cooperative Development),"92,215,691","72,846,787",,,470,0,"19,368,904",79.0
,"SP 3 - (Trade, License and Market Devel-
opment)","3,977,073","3,863,560",,,470,0,"113,513",97.2
,SP 4- (Ward specific),"19,228,554","11,595,648",,,470,0,"7,632,906",60.3
,Subtotal,"185,161,744","157,585,415",,,470,0,"27,576,329",85.1
"Land, Housing, Physical Planning and Urban Development",,,,,,470,0,,
,"SP 1- (General Administration, Planning
and Support Services)","78,427,589","76,764,284",,,470,0,"12,118,133",97.9
,SP 2 - (Land Policy and Physical Planning),"2,348,800","2,348,250",,,470,0,550,100.0
,SP 3- (Housing Development),"912,000","911,800",,,470,0,200,100.0
,SP 4- (Urban Development),"47,729,065","42,037,836",,,470,0,"5,691,229",88.1
,SP 5- (Kapenguria Municipality),"161,963,137","86,117,896",,,470,0,"75,845,241",53.2
,SP 6- (Ward specific),"2,900,000","2,397,454",,,470,0,"502,546",82.7
,Subtotal,"294,280,591","210,577,520",,,470,0,"94,157,899",71.6
"Water Development, Environment and Natural Resources",,,,,,470,0,,
,"SP 1- (General Administration, Planning
and Support Services)","59,410,641","57,001,552",,,470,0,"2,409,089",96.0
,SP 2 - (Water Supply Services),"137,926,968","90,763,986",,,470,0,"47,162,982",65.8
,"SP 3 - (Environment & Natural Resource
Development)","13,581,280","11,918,014",,,470,0,"1,663,266",87.8
,SP 4 - (Ward Specific),"158,193,218","79,087,823",,,470,0,"79,105,395",50.0
,Subtotal,"369,112,107","238,771,375",,,470,0,"130,340,732",64.7
"Youths, Sports, Tourism, Gender and Social Services",,,,,,470,0,,
,"SP 1- (General Administration, Planning
and Support Services)","36,748,413","35,062,334",,,470,0,"1,686,079",95.4
,SP 2- (Tourism Development),"3,521,214","3,052,632",,,470,0,"468,582",86.7
,"SP 3- (Gender, Youths and sports Devel-
opment)","85,945,246","73,308,314",,,470,0,"12,636,932",85.3
,SP 4- (Culture and Social Development),"2,089,719","2,070,109",,,470,0,"19,610",99.1
,SP 5- (Ward Specific),"4,125,000","2,620,034",,,470,0,"1,504,966",63.5
,Sub total,"132,429,592","116,113,423",,,470,0,"16,316,169",87.7
"Public Service, ICT and Decentralized Units",,,,,,470,0,,
,"SP 1- (General Administration, Planning
and Support Services)","276,255,968","224,320,713",,,470,0,"51,935,255",81.2
,SP 2- (Human Resource),"1,404,000","1,295,974",,,470,0,"108,026",92.3
,SP 3- (Legal Services),"1,336,000","1,311,076",,,470,0,"24,924",98.1
,SP 4 - (Records Management),"384,000","372,782",,,470,0,"11,218",97.1
,SP 5- (Communication Services),"720,000","719,485",,,470,0,515,99.9
,SP 6 - (ICT Infrastructure Connectivity),"2,116,423","2,022,932",,,470,0,"93,491",95.6
,SP 7 - (Field Administration),"11,715,680","10,635,572",,,470,0,"1,080,108",90.8
,Sub total,"293,932,071","240,678,534",,,470,0,"52,173,429",81.9
Special programmes and Directorates,,,,,,470,0,,
,"SP 1- (General Administration, Planning
and Support Services)","16,158,708","16,158,706",,,470,0,2,100.0
,SP 2 - (Dairy Development),-,-,,,470,0,-,0.0
,SP 3- (Cash crop production),-,-,,,470,0,-,0.0
