Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index,Programme S,ub- Programme
"Agriculture, Cooperative
and Livestock",,,,-,,51,1,,
"Programme 1: General Ad-
ministration, planning and
support services","Programme 1: General Ad-
ministration, planning and
support services",,,-,,51,1,,
"S.P 1.1 Administrative and
Support Services","S.P 1.1 Administrative and
Support Services","47,998,105","5,915,524","42,082,581",12.3,51,1,,
"S.P 1.2 Human Resource
Management and Develop-
ment.","S.P 1.2 Human Resource Man-
agement and Development.","314,666,000","55,643,323","259,022,677",17.7,51,1,,
"S.P 1.3: Policy, Legal and Reg-
ulatory Framework","S.P 1.3: Policy, Legal and Regu-
latory Framework","7,600,000",,"7,600,000",-,51,1,,
"S.P 1.4: Planning and Finan-
cial Management","S.P 1.4: Planning and Financial
Management","11,615,043",,"11,615,043",-,51,1,,
S.P 1.5 Sector Coordination,S.P 1.5 Sector Coordination,"4,000,000",,"4,000,000",-,51,1,,
"S.P 1.7: Leadership and Gov-
ernance","S.P 1.7: Leadership and Gover-
nance","2,000,000",,"2,000,000",-,51,1,,
"Programme 2: Land and
Crop Development and
Management","Programme 2: Land and Crop
Development and Manage-
ment",,-,-,-,51,1,,
"S.P 2.1: Agricultural extension
and training services","S.P 2.1: Agricultural extension
and training services","4,746,821",,"4,746,821",-,51,1,,
"S.P 2.2: Crop production and
productivity","S.P 2.2: Crop production and
productivity","157,023,942",,"157,023,942",-,51,1,,
"SP 2.4 Soil rehabilitation, pro-
tection, and conservation","SP 2.4 Soil rehabilitation, pro-
tection, and conservation",-,,-,-,51,1,,
"SP 2. 5 Value addition and
Agro-processing","SP 2. 5 Value addition and
Agro-processing",-,,-,-,51,1,,
"SP 2.6 Agri nutrition and food
utilization","SP 2.6 Agri nutrition and food
utilization",-,,-,-,51,1,,
"SP 2.7 Irrigation Extension
and training","SP 2.7 Irrigation Extension and
training","2,540,000",,"2,540,000",-,51,1,,
"SP 2.8 Irrigation infrastruc-
ture development and agricul-
tural water storage","SP 2.8 Irrigation infrastructure
development and agricultural
water storage",-,,-,-,51,1,,
"Programme 3: Livestock de-
velopment and management","Programme 3: Livestock de-
velopment and management",,-,-,-,52,0,,
"SP 3.1 Livestock production
extension, Training and Infor-
mation Services","SP 3.1 Livestock production
extension, Training and Infor-
mation Services","13,890,000",,"13,890,000",-,52,0,,
"SP 3.2 Value addition and pro-
cessing","SP 3.2 Value addition and pro-
cessing","96,300,000",,"96,300,000",-,52,0,,
"SP 3.3 Livestock production
value chain development
(Dairy, Poultry, Honey & Rab-
bit value chains)","SP 3.3 Livestock production
value chain development
(Dairy, Poultry, Honey & Rab-
bit value chains)",-,,-,-,52,0,,
"SP 3.4 Disease and Vector
Control","SP 3.4 Disease and Vector Con-
trol","7,000,000",,"7,000,000",-,52,0,,
"SP 3.5 Food Safety And Qual-
ity Control","SP 3.5 Food Safety And Quality
Control","5,500,000",,"5,500,000",-,52,0,,
SP 3.6 Leather development,SP 3.6 Leather development,,,-,-,52,0,,
"SP 3.7 Veterinary Extension
Services","SP 3.7 Veterinary Extension
Services","3,600,000",,"3,600,000",-,52,0,,
"SP 3.8 Breeding and AI Subsi-
dy programme","SP 3.8 Breeding and AI Subsidy
programme","3,000,000",,"3,000,000",-,52,0,,
"Programme 4: Fisheries de-
velopment and management","Programme 4: Fisheries de-
velopment and management",,-,-,-,52,0,,
"SP 4.1 Fisheries extension ser-
vice and training","SP 4.1 Fisheries extension ser-
vice and training","3,000,000",,"3,000,000",-,52,0,,
"SP 4.2 Fisheries product val-
ue-chain development","SP 4.2 Fisheries product val-
ue-chain development","3,500,000",,"3,500,000",-,52,0,,
"Programme 5: Cooperatives
Development and Manage-
ment","Programme 5: Cooperatives
Development and Manage-
ment",,-,-,-,52,0,,
"SP 5.1 Cooperatives extension
service and training (Co-op-
erative Governance (Train-
ing))","SP 5.1 Cooperatives extension
service and training (Co-oper-
ative Governance (Training))","9,800,000",,"9,800,000",-,52,0,,
"SP 5.2 Cooperatives Audit
Services","SP 5.2 Cooperatives Audit Ser-
vices","1,500,000",,"1,500,000",-,52,0,,
"SP 5.3 Production, Agro-pro-
cessing, value addition &
Marketing (Input and Infra-
structural Support to Coop-
eratives)","SP 5.3 Production, Agro-pro-
cessing, value addition & Mar-
keting (Input and Infrastruc-
tural Support to Cooperatives)","5,800,000",,"5,800,000",-,52,0,,
"Programme 6: Institutional
Development and Manage-
ment","Programme 6: Institutional
Development and Manage-
ment",,-,-,-,52,0,,
"SP 6.1 Mabanga ATC Admin-
istration management ser-
vices","SP 6.1 Mabanga ATC Admin-
istration management services",,,-,-,52,0,,
"SP 6.2 Agricultural Enterprise
Development (ATC)","SP 6.2 Agricultural Enterprise
Development (ATC)","5,000,000",,"5,000,000",-,52,0,,
"SP 6.3 Infrastructural devel-
opment (ATC)","SP 6.3 Infrastructural develop-
ment (ATC)","24,500,000",,"24,500,000",-,52,0,,
"SP 6.4 Agricultural mechani-
zation extension","SP 6.4 Agricultural mechaniza-
tion extension",-,,-,-,52,0,,
SP 6.5 Tractor hire services,SP 6.5 Tractor hire services,"5,000,000",,"5,000,000",-,52,0,,
"SP 6.6 General administrative
services (CFF)","SP 6.6 General administrative
services (CFF)",,,-,-,52,0,,
"SP 6.7 Technology transfer
(CFF)","SP 6.7 Technology transfer
(CFF)",-,,-,-,52,0,,
"SP 6.8 Operational develop-
ment (CFF)","SP 6.8 Operational develop-
ment (CFF)","3,800,000",,"3,800,000",-,52,0,,
"SP 6.9 Infrastructural devel-
opment (CFF)","SP 6.9 Infrastructural develop-
ment (CFF)","4,050,000",,"4,050,000",-,52,0,,
NARIGP,NARIGP,"280,530,114",,"280,530,114",-,52,0,,
ASDSP II,ASDSP II,"30,756,000",,"30,756,000",-,52,0,,
Ward Based Projects,Ward Based Projects,"59,461,000",,"59,461,000",-,53,0,,
Total Expenditure,Total Expenditure,"1,118,177,025","61,558,847","1,056,618,178",5.5,53,0,,
HEALTH & SANITATION,,,,-,-,53,0,,
"Programme1: General Ad-
ministration and Planning,
and Support Services","Programme1: General Ad-
ministration and Planning,
and Support Services",,,-,-,53,0,,
"SP 1: Health Administration
Planning and support services","SP 1: Health Administration
Planning and support services","332,856,809","717,440","332,139,369",0.2,53,0,,
Human resources,Human resources,"2,294,141,122","385,226,896","1,908,914,226",16.8,53,0,,
