Programme,Sub- Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)",Variance (Kshs,) Absorption (%),page_number,table_index,Variance (Kshs),Absorption (%)
OFFICE OF GOVERNOR,,,,,,77,1,,
"P1: General Administration Plan-
ning and Support Services","SP1.1: Management of
County Affairs (Office
of Governor)","140,307,538","27,605,408","112,702,13",0 19.7,77,1,,
,"SP2.2: Management of
County Executive Ser-
vices (Office of County
Secretary)","28,061,508","5,521,082",,,78,0,"22,540,426",19.7
"P3: County Leadership and Coor-
dination","SP3.1: Public Sector Ad-
visory Services (Legal,
Political, and Economic
Advisors)","18,707,672","3,680,721",,,78,0,"15,026,951",19.7
Sub Total,,"233,845,897","46,009,014",,,78,0,"187,836,883",19.7
COUNTY PUBLIC SERVICE BOARD,,,,,,78,0,,
"P1: Administration of Human Re-
sources in Public Service","SP1.1: Performance
Management & Disci-
pline","2,833,127","599,946",,,78,0,"2,233,181",21.2
,"SP1.2: Administration
of board programmes","4,166,363","882,273",,,78,0,"3,284,090",21.2
,"SP1.3: Recruitment
and Selection, Career
Management, HR Policy
& Audit","5,832,908","1,235,182",,,78,0,"4,597,726",21.2
,"SP1.4 Quality service
delivery in the County
Public Service that is
effective and efficient","3,833,054","811,691",,,78,0,"3,021,363",21.2
"Administration of Human Re-
sources in Public Service","SP2.1 Recruitment
and Selection, Career
Management, HR Policy
& Audit","5,555,151","1,176,364",,,78,0,"4,378,787",21.2
,"SP2.2 Administration
of Board programmes/
Agenda","5,555,151","1,176,364",,,78,0,"4,378,787",21.2
,"SP2.3 Performance
Management & Disci-
pline","5,555,151","1,176,364",,,78,0,"4,378,787",21.2
Sub Total,,"33,330,903","7,058,184",,,78,0,"26,272,719",21.2
PUBLIC SERVICE AND ADMINISTRATION,,,,,,78,0,,
"P1: General Administration Plan-
ning and Support Services","SP1.1: Service Delivery
and Management of
County Affairs","174,689,877","40,043,366",,,78,0,"134,646,511",22.9
P2: Public Service,"SP2.1: Human Resource
Development and Cul-
ture Change Manage-
ment","138,997,507","31,861,767",,,78,0,"107,135,740",22.9
,"SP2.2: Office Infrastruc-
ture Expansion","91,768,077","21,035,579",,,78,0,"70,732,498",22.9
Sub Total,,"405,455,461","92,940,712",,,78,0,"312,514,749",22.9
"GENDER, CHILDREN, CULTURE & SOCIAL SERVICES",,,,,,78,0,,
"P1: Policy and General Adminis-
trative Services","SP1.1: General Admin-
istrative Unit","7,639,564","165,096",,,78,0,"7,474,468",2.2
"P2: Gender and Social Develop-
ment","SP2.1: Communication
Mobilization and Devel-
opment","10,186,086","220,128",,,78,0,"9,965,957",2.2
,"SP2.2 : Social Welfare
Services","7,639,564","165,096",,,78,0,"7,474,468",2.2
,"SP2.3 : Vocational Reha-
bilitation and Training","5,093,043","110,064",,,78,0,"4,982,979",2.2
