Programme,"Sub-pro-
gramme",Description,"Approved Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)","Absorption
Rate
(%)",page_number,table_index
3510,,,,,,,99,1
,,Default - Non-Programmatic,,,,,99,1
101003510,,"Livestock resource manage-
ment and development","136,009,013","1,499,200","134,509,813",1.10,99,1
,101013510,"Extension services,",-,-,-,-,99,1
,101023510,Livestock Production,"136,009,013","1,499,200","134,509,813",1.1,99,1
,101063510,"Capacity building,",-,-,-,-,99,1
,101073510,"promotion of value addition of
livestock and livestock prod-
ucts",-,-,-,-,99,1
,101083510,"livestock infrastructure devel-
opment",-,-,-,-,99,1
102003510,,Fisheries development,"10,000,000",-,"10,000,000",-,99,1
,102013510,infrastructure development,-,-,-,-,99,1
,102023510,extension services,-,-,-,-,99,1
,102033510,capacity building,"10,000,000",-,"10,000,000",-,99,1
,102043510,,-,-,-,-,99,1
103003510,,"Administrative, planning,
and support services","50,013,358",-,"50,013,358",-,99,1
,103013510,"Administration and Support
Services","50,013,358",-,"50,013,358",-,99,1
,103023510,"generation of sector policy
and direction",-,-,-,-,100,0
,103063510,,-,-,-,-,100,0
,103093510,,-,-,-,-,100,0
104003510,,"Crop Productivity Improve-
ment","441,117,147","60,000,000","381,117,147",13.6,100,0
,104013510,"Increase food productivity &
output by 30%.","8,000,000",-,"8,000,000",-,100,0
,104023510,"Enhance the accessibility of
affordable inputs and credit to
farmers",-,-,-,-,100,0
,104033510,"Promote sustainable land use
and environmental conserva-
tion",-,-,-,-,100,0
,104043510,Establishment of Demo Farms,"26,387,350",-,"26,387,350",-,100,0
,104053510,"Administration Climate
Change Mitigation","406,729,797","60,000,000","346,729,797",14.8,100,0
,104063510,Irrigation,-,-,-,-,100,0
,104073510,Policy Devt,-,-,-,-,100,0
105003510,,Value Addition,"27,972,762",-,"27,972,762",-,100,0
,105013510,Veterinary Support Services,"27,972,762",-,"27,972,762",-,100,0
107003510,,"Planning and Survey of Ur-
ban Areas (Modogashe and
Ol ndonyiro)","26,251,268","662,200","25,589,068",2.5,100,0
,107013510,"Administration and Planning
Services","26,251,268","662,200","25,589,068",2.5,100,0
108003510,,"Sustainable Agricultural
Land Use and Environmental
Management",-,-,-,-,100,0
,108013510,"Crop Productivity Enhance-
ment Support",-,-,-,-,100,0
,108053510,Livestock Production Services,-,-,-,-,100,0
109003510,,"Land Survey and land use
planning","37,273,199",-,"37,273,199",-,100,0
,109013510,"County land planning and
spatial development","24,873,199",-,"24,873,199",-,100,0
,109023510,"County Land Survey and
Mapping","12,400,000",-,"12,400,000",-,100,0
,109033510,"land management infrastruc-
tural development",-,-,-,-,100,0
201003510,,"Development of human capi-
tal and workforce",-,-,-,-,100,0
,201013510,"Establishment of County
structures, Frameworks, Pol-
icies",-,-,-,-,100,0
203003510,,Road Upgrading,-,-,-,-,100,0
,203013510,"Upgrading of Isiolo Town
roads to bitumen standards",-,-,-,-,100,0
204003510,,Public Works.,"171,516,000","675,000","170,841,000",0.4,100,0
,204013510,Road Improvement,"16,016,000","675,000","15,341,000",4.2,100,0
,204023510,Estate Floodlighting facilities.,"155,500,000",-,"155,500,000",-,100,0
,204033510,"Bridge Infrastructure and En-
gineering Designs",-,-,-,-,100,0
,204043510,"Roads Maintenance Emer-
gency",-,-,-,-,100,0
205003510,,"Administrative and Support
Services",-,-,-,-,100,0
,205013510,Personnel Management,-,-,-,-,100,0
,205023510,"General Administration and
Support Services",-,-,-,-,100,0
206003510,,KUSP,-,-,-,-,100,0
,206013510,"Control of invasive species
(Mathenge)",-,-,-,-,101,0
,206023510,Urban Development,-,-,-,-,101,0
,206033510,Graveyards protection,-,-,-,-,101,0
,206043510,"Garbage collection Sup-
port(truck)",-,-,-,-,101,0
,206053510,County Climate change,-,-,-,-,101,0
,206063510,"Rehabilitation of Sewerage
Ponds",-,-,-,-,101,0
,206073510,"Installation of Hybrid Solar
Pumping System in Boreholes",-,-,-,-,101,0
207003510,,Municipal Administration,"206,447,202","2,518,495","203,928,707",1.2,101,0
,207013510,"General Administration and
Planning","57,410,772","2,518,495","54,892,277",4.4,101,0
