Programme,Sub-programme,"Approved estimates
(Kshs.)","Actual Expenditure
(Kshs.)",Absorption Rate (%),page_number,table_index
"General Administration,
Planning and Support
Services","7,275,574,011","944,628,080",13.0,,109,1
"Devolution Services
Curative and Rehabili-
tative
Public Health and Sani-
tation
Water Services and
Irrigation
Environment & Natural
Resource Protection","Coordination of devolu-
tion services","23,266,000",0,0.0,109,1
,"County Executive com-
mittee","12,580,000",0,0.0,109,1
,"Intergovernmental rela-
tions","22,588,000","1,150,000",5.1,109,1
,"County Government Ad-
visory","8,050,000",0,0.0,109,1
,Special programs,"10,179,600",0,0.0,109,1
,Sub Total,"76,663,600","1,150,000",1.5,109,1
,Medical Services,"286,873,940",0,0.0,109,1
,Ambulance Services,"5,507,600",0,0.0,109,1
,Sub Total,"292,381,540",0,0.0,109,1
,"Promotive and preven-
tive","192,721,550",0,0.0,110,0
,Mobile clinics,"5,259,850",0,0.0,110,0
,"Licensing and control
undertaking","8,223,316",0,0.0,110,0
,Sanitation,"2,665,000",0,0.0,110,0
,Sub Total,"208,869,716",0,0.0,110,0
,Water services,"282,689,769","492,550",0.2,110,0
,"Storm water manage-
ment","11,559,636",0,0.0,110,0
,Irrigation,0,0,-,110,0
,Sub Total,"294,249,405","492,550",0.2,110,0
,"Environmental protec-
tion","115,377,231","284,000",0.2,110,0
,Noise pollution,"2,650,000",0,0.0,110,0
,Control of air pollution,"870,000",0,0.0,110,0
,Natural resources,"3,450,000","500,000",14.5,110,0
,Sub Total,"122,347,231","784,000",0.6,110,0
"Public Works and Infra-
structure
County Administration
and Inspectorate
Human Resource Man-
agement & Development
Citizen Participation
Information, Communi-
cation, and Technology
Public Finance Manage-
ment
Land Policy and Planning",Roads,"861,385,719",0,0.0,110,0
,Energy,"20,000,000","5,200,000",26.0,110,0
,Fire Fighting,"12,000,000",0,0.0,110,0
,Transport,"20,000,000",0,0.0,110,0
,Public works,"8,000,000",0,0.0,110,0
,Sub Total,"921,385,719","5,200,000",0.6,110,0
,County administration,"24,250,000",0,0.0,110,0
,County inspectorate,"11,815,446",0,0.0,110,0
,Sub Total,"36,065,446",0,0.0,110,0
,"Human resource man-
agement","144,650,000",0,0.0,110,0
,Citizen participation,"16,385,956",0,0.0,110,0
,"39,426,401",0,0.0,,110,0
,"Fiscal & economic plan-
ning","15,600,000",0,0.0,110,0
,Monitoring & evaluation,"16,238,000",0,0.0,110,0
,"Budget coordination and
management","17,580,000",0,0.0,110,0
,"Accounting and expen-
diture","14,562,000","1,254,600",8.6,110,0
,"Supply chain manage-
ment","59,231,000","37,800",0.1,110,0
,Internal audit,"11,797,000",0,0.0,110,0
,Revenue collection,"50,208,660",0,0.0,110,0
,Sub Total,"185,216,660","1,292,400",0.7,110,0
,Physical planning,"50,000,000",0,0.0,110,0
,"Land surveying and
mapping","7,919,838",0,0.0,110,0
,Land administration,"6,541,000",0,0.0,110,0
,Sub Total,"64,460,838",0,0.0,110,0
"Urban Development &
Management",Urban development,"50,000,000",0,0.0,110,0
,Housing,"22,600,000",0,0.0,110,0
,Sub Total,"72,600,000",0,0.0,110,0
"Pre-primary and Voca-
tional Training
Youth and Sports
Social Protection and
Recreation",Pre-primary education,"438,219,128",0,0.0,111,0
,Vocational training,"94,169,788",0,0.0,111,0
,Home craft centers,"2,100,000",0,0.0,111,0
,Sub Total,"534,488,916",0,0.0,111,0
,"Sports training and com-
petitions","9,000,000",0,0.0,111,0
,Youth development,"4,875,855",0,0.0,111,0
,Gender mainstreaming,"6,991,657",0,0.0,111,0
,Disability mainstreaming,"4,850,000","140,000",2.9,111,0
,"Control of drugs and
pornography","1,700,000",0,0.0,111,0
,Liquor licensing,"9,209,560","42,000",0.5,111,0
,Betting and Casinos,"690,000",0,0.0,111,0
,Sub Total,"23,441,217","182,000",0.8,111,0
"Cultural Services & Tour-
ism Promotion
Animal Husbandry, Live-
stock Resource manage-
ment, and Development
Agricultural Develop-
ment",Museums,"690,000",0,0.0,111,0
,Cultural activities,"3,209,288",0,0.0,111,0
,County parks,"1,700,000",0,0.0,111,0
,"Local tourism promotion
& wildlife management","21,582,500",0,0.0,111,0
,Sub Total,"27,181,788",0,0.0,111,0
,Animal husbandry,"87,461,899",0,0.0,111,0
,"County abattoirs devel-
opment","3,023,171",0,0.0,111,0
,Animal disease control,"49,075,889",0,0.0,111,0
,Livestock market,"932,426",0,0.0,111,0
,Veterinary services,"3,541,682",0,0.0,111,0
,"Demonstration farm Ka-
jiado","622,144",0,0.0,111,0
,Sub Total,"144,657,211",0,0.0,111,0
,Crop husbandry,"27,177,143",0,0.0,111,0
,Plant disease control,"3,100,018",0,0.0,111,0
,"Agricultural mechaniza-
tion services","4,433,658",0,0.0,111,0
,"Agricultural training col-
lege","1,875,014",0,0.0,111,0
Fisheries,Fisheries development,"2,745,714",0,0.0,111,0
Trade Development,Trade licensing,"8,802,400",0,0.0,111,0
,Trade development,"125,168,234",0,0.0,111,0
,Industrialization,"2,894,902",0,0.0,111,0
"Cooperative Develop-
ment",,"13,329,566",0,0.0,111,0
"Legislation, Representa-
tion, and Oversight","County Assembly Head-
quarters","201,321,734","25,336,418",12.6,111,0
,Office of the Speaker,"16,784,000","1,000,000",6.0,111,0
,"Directorate of Legislation
and Procedures","75,370,000","14,000,000",18.6,111,0
,Sub Total,"293,475,734","40,336,418",13.7,111,0
Total,,"10,683,448,159","953,729,030",8.9,111,0
