Programme,Sub Program,Description,"Final Budget
(Kshs.)","Actual
(Kshs.)","Variance
(Kshs.)","Absorption Rate
(%)",page_number,table_index
101004810,,"Livestock develop-
ment","120,182,665","15,421,105","104,761,560",12.83,116,1
,101014810,Dairy Development,"78,441,877","2,530,850","75,911,027",3.23,116,1
,101024810,Poultry development,"5,000,000",-,"5,000,000",-,116,1
,101034810,"Livestock disease and
pest prevention","21,740,789","9,968,725","11,772,064",45.85,116,1
,101044810,"Livestock Market in-
frastructure Improve-
ment","15,000,000","2,921,530","12,078,470",19.48,116,1
102004810,,"Fish Farming Pro-
ductivity Programme","50,000,000",-,"50,000,000",-,116,1
,102024810,"Promotion of Fish
Farming","50,000,000",-,"50,000,000",-,116,1
103004810,,"Crop Production and
Management Ser-
vices","458,409,363","131,267,967","327,141,396",28.64,116,1
,10301810,"Cash crop develop-
ment","29,500,000",-,"29,500,000",-,116,1
,103024810,Food crop production,"240,476,566","131,267,967","109,208,599",54.59,116,1
,103034810,"Crop pest and disease
management","5,000,000",-,"5,000,000",-,116,1
,103044810,"Agricultural Exten-
sion and Research","183,432,797",-,"183,432,797",-,116,1
105004810,,"Agricultural Exten-
sion and Research","6,516,547",-,"6,516,547",-,116,1
,105014810,"Training and demon-
stration","6,516,547",-,"6,516,547",-,116,1
106004810,,"Cooperative Devel-
opment","12,358,456","57,400","12,301,056",0.46,116,1
,106014810,"Marketing and value
addition","12,358,456","57,400","12,301,056",0.46,117,0
107004810,,"Land Management
Services","68,491,976","10,179,961","58,312,015",14.86,117,0
,107014810,"Land use policy and
planning","38,664,462","4,561,881","34,102,581",11.80,117,0
,107024810,"Land Administration
and Planning","24,676,743","659,568","24,017,175",2.67,117,0
,107034810,Survey Services,"5,150,771","4,958,512","192,259",96.27,117,0
108004810,,"Housing manage-
ment Services","81,019,306","326,600","80,692,706",0.40,117,0
,108014810,"Housing Infrastruc-
ture development","6,019,306","326,600","5,692,706",5.43,117,0
,108024810,Slum Upgrading,"75,000,000",-,"75,000,000",-,117,0
110004810,,"Urban Development
Service","274,531,434","36,166,590","238,364,843",13.17,117,0
,110014810,"Urban Infrastruc-
ture Services","125,476,961",-,"125,476,961",-,117,0
,110024810,"Social Amenities and
Sanitary Services","149,054,473","36,166,590","112,887,882",24.26,117,0
120004810,,"Irrigation and Drain-
age Development","976,890",-,"976,890",-,117,0
,120014810,"Small Holder Irriga-
tion and Drainage","976,890",-,"976,890",-,117,0
201004810,,"Road Infrastructure
Development","736,591,716","202,993,709","533,598,007",27.56,117,0
,201014810,Road Maintenance,"70,995,935","18,372,324","52,623,610",25.88,117,0
,201024810,"Bridges Culverts Con-
struction","21,036,048","5,618,415","15,417,633",26.71,117,0
,201034810,Road construction,"644,559,733","179,002,970","465,556,763",27.77,117,0
203004810,,Energy Reticulation,"70,000,000",-,"70,000,000",-,117,0
