Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)",Variance (Kshs.),"Absorption
(%)",page_number,table_index,"Approved Budget
(Kshs)","Actual Payments
(Kshs)"
"Cooperative Devel-
opment and Mar-
keting","030101 General Administra-
tion & Planning","19,471,788",,"19,471,788",0.00,147,0,,
,"030405 Cooperative Advisory
and Extension Services","295,000",-,"295,000",0.00,147,0,,
,"030406 Cooperative Educa-
tion and Training","542,000",-,"542,000",0.00,147,0,,
,"030407 Cooperative Gover-
nance and Accountability","159,000",-,"159,000",0.00,147,0,,
"Cooperative Audit
Services","030603 Inspections and Inves-
tigations for Cooperatives","70,000",-,"70,000",0.00,147,0,,
Sub Total,,"62,311,229","6,078,437","56,232,792",9.80%,147,0,,
"Water Supply Ser-
vices",090101 Water and Irrigation,"126,675,566",-,"126,675,566",0.00,147,0,,
Energy Programme,090301 Energy Services,"405,000",-,"405,000",0.00,147,0,,
"Cleaning and Waste
Management","090502 Environment Manage-
ment and Protection","675,800",,"675,800",0.00,147,0,,
Nema,"090401 Waste Management
Services","101,508,439","24,287,242.45","77,221,197",23.90,147,0,,
Sub Total,,"229,264,805","24,287,242","204,977,563",10.60%,147,0,,
"Land and Physical
Planning","010601 General Administra-
tion and Planning","26,533,028","7,173,400.10","19,359,627",27.00,147,0,,
,"010604 County Spatial Plan-
ning","1,510,000",-,"1,510,000",0.00,147,0,,
,"010605 Town Zoning and
Mapping","99,192,631",,"99,192,631",0.00,147,0,,
,010607 Survey and Mapping,"505,000",-,"505,000",0.00,147,0,,
"Housing Develop-
ment","010701 Improvement and De-
velopment of Human Settle-
ments","420,000","94,000.00","326,000",22.40,147,0,,
Sub Total,,"128,160,659","7,267,400","120,893,258",5.70%,147,0,,
"Transport Manage-
ment","020301 General Administra-
tion and Planning","61,571,285","15,643,249.45","45,928,036",25.40,147,0,,
"Disaster Manage-
ment","020401 Fire Fighting and
Emergency Services","4,507,000",-,"4,507,000",0.00,147,0,,
"Roads Develop-
ment Maintenance
and Management","020601 Construction and
Maintenance of Roads and
Bridges","613,381,564",,"613,381,564",0.00,147,0,,
"Infrastructure De-
velopment, Main-
tenance, and Man-
agement","020801 Infrastructure Devel-
opment Services","9,700,000",-,"9,700,000",0.00,147,0,,
Sub Total,,"689,159,849","15,643,249","673,516,600",2.30%,147,0,,
Grand Total,,"7,705,332,108","1,039,966,888","6,665,365,220",13.50%,147,0,,
County Assembly,Office of the Speaker,,,"6,355,200",-,152,0,"6,355,200",-
,"Representation, Legislative And
Oversight Services",,,"194,349,472",13.9,152,0,"225,855,824","31,506,352"
,County Assembly Service Board,,,"708,335,832",14.0,152,0,"823,530,584","115,194,752"
,Sub Total,,,"909,040,504",13.9,152,0,"1,055,741,608","146,701,104"
County Executive,"Administration, Planning And
Support Services",,,"324,971,339",15.0,152,0,"382,437,952","57,466,613"
,Office Of The County Secretary,,,"22,490,420",8.7,152,0,"24,640,000","2,149,580"
,Legal Services,,,"13,339,300",3.5,152,0,"13,820,000","480,700"
,Communication Services,,,"25,570,000",-,152,0,"25,570,000",-
,Special Programmes,,,"4,899,100",39.9,152,0,"8,150,000","3,250,900"
,Public Private Partnership,,,"6,104,690",11.5,152,0,"6,900,000","795,310"
,Advisory Services,,,"6,155,500",8.8,152,0,"6,750,000","594,500"
,Chief Of Staff,,,"4,205,800",10.5,152,0,"4,700,000","494,200"
,County Public Service Board,,,"36,150,550",13.9,152,0,"42,000,000","5,849,450"
,Sub Total,,,"443,886,699",13.8,152,0,"514,967,952","71,081,253"
"Administration, co-
operate services, and
Stakeholder manage-
ment","Administration, Planning And
Support Services",,,"407,713,778",14.2,152,0,"475,085,448","67,371,670"
,Devolved Units Services,,,"58,177,694",0.3,152,0,"58,343,694","166,000"
,Human Resource Development,,,"9,994,000",5.8,152,0,"10,610,000","616,000"
,Enforcement Services,,,"6,767,300",23.1,152,0,"8,800,000","2,032,700"
,Stakeholder Management,,,"45,909,602",7.8,152,0,"49,809,602","3,900,000"
,"Public Participation And Civic
Education",,,"10,341,000",12.4,152,0,"11,800,000","1,459,000"
,Disaster Management,,,"9,694,853",11.3,152,0,"10,926,255","1,231,402"
,Fleet Management,,,"6,382,901",8.8,152,0,"7,000,000","617,099"
,Sub Total,,,"554,981,128",12.2,152,0,"632,374,999","77,393,871"
"Finance & Economic
planning","Administration, Coordination
And Support Services",,,"873,597,388",13.3,152,0,"1,007,264,503","133,667,115"
,"Public Financial Management
Services",,,"70,046,444",14.6,152,0,"82,025,000","11,978,556"
,County Planning Services,,,"221,180,843",9.1,152,0,"243,315,695","22,134,852"
,Sub Total,,,"1,164,824,675",12.6,152,0,"1,332,605,198","167,780,523"
"Agriculture, Live-
stock, Veterinary &
Fisheries","Administrative And Support
Services",,,"403,929,958",4.9,152,0,"424,861,335","20,931,377"
,"Crop Development and Value
Addition",,,"341,600,320",16.8,152,0,"410,473,675","68,873,355"
,Livestock Development,,,"48,270,685",7.5,152,0,"52,200,000","3,929,315"
,Veterinary Services,,,"153,781,839",36.2,152,0,"240,998,980","87,217,141"
,"Co-operative Development and
Management",,,"3,100,000",-,152,0,"3,100,000",-
,Fisheries Development,,,"41,390,710",6.2,152,0,"44,133,870","2,743,160"
,"Kisii Agricultural Training Cen-
ter",,,"25,672,220",-,152,0,"25,672,220",-
,Sub Total,,,"1,017,745,732",15.3,152,0,"1,201,440,080","183,694,348"
