Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
County Assembly,"P.1 Administration, planning and sup-
port services.","222,807,120","23,091,391","199,715,729",10.4,191,0
,P.2 Legislation and Oversight,"317,192,880","21,122,587","296,070,293",6.7,191,0
,Subtotal,"540,000,000","44,213,978","495,786,022",8.2,191,0
"County Executive
& PSM",P 1: Headquarters,"330,358,944","87,881,999","242,476,945",26.6,191,0
,"P.2 Office of the Governor and Deputy
Governor","38,462,000","2,969,956","35,492,044",7.7,191,0
,P 3: Development,"75,288,955",,"75,288,955",-,191,0
,Subtotal,"444,109,899","90,851,955","353,257,944",20.5,191,0
Finance,"P 1: Administration, planning support
services","104,808,619","18,100,341","86,708,278",17.3,191,0
,"P2. Accounting, Standards & Reporting","12,031,515","1,463,840","10,567,675",12.2,191,0
,"P.3 Procurement & Supply Chain man-
agement","7,218,909","487,640","6,731,269",6.8,191,0
,P.4 Revenue,"7,218,909","414,520","6,804,389",5.7,191,0
,P.5 Internal Audit,"7,218,909","243,240","6,975,669",3.4,191,0
,Subtotal,"138,496,861","20,709,581","117,787,280",15.0,191,0
"Agriculture & Irri-
gation","P 1: Administration and planning sup-
port services","50,409,930","11,143,171","39,266,759",22.1,191,0
,"P 2: Plant Dieses Control (Extension
services)","52,368,686","3,283,270","49,085,416",6.3,191,0
,P 3: Crop Productivity,"12,596,440",,"12,596,440",-,191,0
,P 4: Development,"337,843,632",,"337,843,632",-,191,0
,Subtotal,"453,218,688","14,426,441","438,792,247",3.2,191,0
"Land, Physical
Planning","P 1: Administration, planning & support
Services","27,000,000","5,004,368","21,995,632",18.5,191,0
,P 2: Land Development Management,"76,827,460",,"76,827,460",-,191,0
,Subtotal,"103,827,460","5,004,368","98,823,092",4.8,191,0
"Education and Vo-
cational Training",P 1.Headquarters,"91,408,006","15,763,189","75,644,817",17.2,191,0
,P 2. Early Childhood Development,"126,591,994","50,000,000","76,591,994",39.5,191,0
,P3.Development,"100,476,466","9,199,999","91,276,467",9.2,191,0
,Subtotal,"318,476,466","74,963,189","243,513,277",23.5,191,0
Medical Services,"P 1: General Administration, Planning
and Support Services","801,604,150","190,388,009","614,245,913",23.8,191,0
,P 2: Curative & Rehabilitative Services,"120,138,376","929,513","116,252,572",0.8,191,0
,P 3: Preventive & Promotive Services,"61,889,244","3,640,948","58,114,496",5.9,191,0
,P 4: Development,"202,445,935",,"202,445,935",-,191,0
,Subtotal,"1,186,077,705","194,958,469","991,058,916",16.4,191,0
"Trade, Investment,
Culture & Tourism","P 1:Administration, planning & support
Services","17,757,635","3,230,897","14,526,738",18.2,191,0
,P 2: Tourism Promotion,"3,186,865","705,432","2,481,433",22.1,191,0
,P 4: Trade & Industrialization,"2,465,500","660,000","1,805,500",26.8,191,0
,P5: Development,"41,689,727",,"41,689,727",-,191,0
,Subtotal,"65,099,727","4,596,329","60,503,398",7.1,191,0
"Livestock, Veteri-
nary & Co-opera-
tive Development",P 1: Headquarters,"36,778,145","8,283,333","28,494,812",22.5,191,0
,P 3: Livestock Production,"976,764","133,000","843,764",13.6,191,0
,P 4: Veterinary Services,"1,464,613","144,470","1,320,143",9.9,191,0
,P 5: Cooperative development,"605,478",,"605,478",-,191,0
,P6: Development,"23,583,506",,,-,191,0
,Subtotal,"63,408,506","8,560,803","54,847,703",13.5,191,0
"Public Service
Board",P.1 General Admin,"46,215,457","8,882,319","37,333,138",19.2,191,0
,P 2: Human Resource Management,"2,689,800",,"2,689,800",-,191,0
,"P 3: Ethics, Governance And Compli-
ance","1,579,689",,"1,579,689",-,191,0
,P 4: Skills & Competency Development,"3,824,529","1,175,028","2,649,501",30.7,191,0
,Subtotal,"54,309,475","10,057,347","44,252,128",18.5,191,0
