Department,Programme/ Sub Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption Rate
(%)",page_number,table_index
"Agriculture, Livestock
& Fisheries",Programme 1: General administration & planning,,,,,205,0
,"SP1. 1 General administration &
planning","600,055,486","29,158,610","570,896,876",4.9,205,0
,"Programme 2: Land, Crop development & productivity",,,,,205,0
,"SP2. 1 Land, Crop development
& productivity","49,950,000",-,"49,950,000",-,205,0
,P3; Agribusiness and information management,,,,,205,0
,"SP3. 1 Agribusiness and infor-
mation management","183,250,000",-,"183,250,000",-,205,0
,"Programme 4: Livestock Production, Management, and Development",,,,,205,0
,"SP4. 1 Livestock Production,
Management and Development","27,350,000",-,"27,350,000",-,205,0
,Total Budget,"860,605,486","29,158,610","831,446,876",3.4,205,0
"Transport & Infrastruc-
ture",Programme 1: General administration & planning,,,,,205,0
,"SP1. 1 General administration &
planning","134,914,642","10,498,136","124,416,505",7.8,205,0
,Programme 2: Road transport,,,-,,205,0
,SP2. 1 Road transport,"461,435,053","1,984,314","459,450,739",0.4,205,0
,P3; Infrastructure development,,,-,,205,0
,"SP3. 1 Infrastructure develop-
ment","82,850,000","100,000","82,750,000",0.1,205,0
,Programme 2: Energy Infrastructure & development,,,,,205,0
,"SP4. 1 Energy Infrastructure &
development","59,410,223",-,"59,410,223",-,205,0
,Total Budget,"738,609,918","12,582,450","726,027,467",1.7,205,0
"Trade, Industry & Co-
operatives",Programme 1: General administration & planning,,,,,205,0
,"SP1. 1 General administration &
planning","45,752,060","10,050,773","35,701,286",22.0,205,0
,Programme 2: Trade development & promotion,,,,,205,0
,"SP2.1; Trade marketing &
promotion","22,583,534","100,000","22,483,534",0.4,205,0
,"P3; Industrial development
and promotion",,,-,,205,0
,"SP3. 1 Industrial development
and promotion","4,500,000",-,"4,500,000",-,205,0
,Programme 4: Tourism development & promotion,,,,,205,0
,"SP4. 1 Tourism development &
promotion","5,515,500",-,"5,515,500",-,205,0
,Programme 5: Cooperative development and management,,,,,205,0
,"SP4. 1 Cooperative development
and management","7,265,000","200,000","7,065,000",2.8,205,0
,Total Budget,"85,616,094","10,350,773","75,265,320",12.1,205,0
"Land, Physical Planning
& Mining",Programme 1: General administration & planning,,,,,205,0
,"SP1. 1 General administration &
planning","46,074,811","8,566,359","37,508,452",18.6,205,0
