Programme,"Sub Pro-
gramme",Description,"Approved
Budget
(Kshs.)","Actual Pay-
ments
(Kshs.)","Variance
(Kshs.)",Absorption (%),page_number,table_index
4610,,"Default - Non Program-
matic",-,-,-,-,272,1
,0,"Default - Non-Program-
matic",-,-,-,-,272,1
101000000,,"Land Policy and Plan-
ning",-,-,-,-,272,1
,101029999,"Land Information Man-
agement",-,-,-,-,272,1
102000000,,"Housing Development
and Human Settlement",-,-,-,-,272,1
,102019999,Housing Development,-,-,-,-,272,1
102004610,,"Crop Development and
management","628,493,312","63,939,234","564,554,078",10.2,272,1
,102024610,"Crop Productivity Im-
provement","628,493,312","63,939,234","564,554,078",10.2,272,1
103004610,,"Livestock Resources
management and de-
velopment","132,347,982",-,"132,347,982",-,272,1
,103014610,"Livestock Pests & Dis-
ease Management &
Control","61,596,366",-,"61,596,366",-,272,1
,103074610,"Livestock Information
Management","70,751,616",-,"70,751,616",-,273,0
104004610,,"Fisheries development
and management","29,678,706",-,"29,678,706",-,273,0
,104014610,Fish Products Production,"29,678,706",-,"29,678,706",-,273,0
105000000,,"Urban and Metropoli-
tan Development",-,-,-,-,273,0
,105029999,"Metropolitan Planning
& Infrastructure Devel-
opment",-,-,-,-,273,0
105004610,,"Land Policy and Plan-
ning","53,262,143","65,000","53,197,143",0.1,273,0
,105014610,"Development Planning
and Land Reforms","53,262,143","65,000","53,197,143",0.1,273,0
,105024610,,,,,-,273,0
106004610,,"Housing Development
and Human Settlement","164,806,691",-,"164,806,691",-,273,0
,106014610,Housing Development,"164,806,691",-,"164,806,691",-,273,0
107004610,,"Urban Mobility and
Transport","250,671,166","5,000,000","245,671,166",2.0,273,0
,107014610,"Metropolitan Planning
& Infrastructure Devel-
opment","250,671,166","5,000,000","245,671,166",2.0,273,0
108000000,,"Crop Development and
Management",-,-,-,-,273,0
,108029999,Food Security Initiatives,-,-,-,-,273,0
111000000,,"Fisheries Development
and Management",-,-,-,-,273,0
,111029999,"Aquaculture Develop-
ment Marketing & Re-
search",-,-,-,-,273,0
112000000,,"Livestock Resources
Management and De-
velopment",-,-,-,-,273,0
,112029999,"Livestock Production
and Management",-,-,-,-,273,0
201004610,,"Roads Transport and
Public Works","1,071,270,000","114,358,420","956,911,580",10.7,273,0
,201014610,"General Administration,
Planning and Support
Services","72,703,471",-,"72,703,471",-,273,0
,201024610,"Construction of Roads
and Bridges","906,554,174","114,358,420","792,195,754",12.6,273,0
,201034610,Maintenance of Roads,"92,012,355",-,"92,012,355",-,273,0
202000000,,Road Transport,-,-,-,-,273,0
,202019999,"Construction of Roads
and Bridges",-,-,-,-,273,0
,202039999,Maintenance of Roads,-,-,-,-,273,0
202004610,,ICT Services,"47,923,165","2,488,363","45,434,802",5.2,273,0
,202014610,"ICT Infrastructure De-
velopment","47,923,165","2,488,363","45,434,802",5.2,273,0
210000000,,"ICT Infrastructure De-
velopment",-,-,-,-,273,0
,210019999,"ICT Infrastructure Con-
nectivity",-,-,-,-,273,0
301004610,,"General Administra-
tion and Support Ser-
vices","169,510,000",-,"169,510,000",-,273,0
,301014610,Administrative Services,"7,136,419",-,"7,136,419",-,273,0
,301024610,"Cooperative Develop-
ment & Management","23,446,192",-,"23,446,192",-,273,0
,301034610,"Trade Development and
Promotion","138,927,389",-,"138,927,389",-,274,0
302000000,,"Industrial Develop-
ment and Investments",-,-,-,-,274,0
,302019999,"Promotion of Industrial
Development and Invest-
ments",-,-,-,-,274,0
303004610,,"Tourism Development
and Promotion","540,870,000",-,"540,870,000",-,274,0
,303014610,"Tourism Promotion and
Marketing","540,870,000",-,"540,870,000",-,274,0
306000000,,"Tourism Development
and Promotion",-,-,-,-,274,0
,306019999,"Tourism Promotion and
Marketing",-,-,-,-,274,0
401000000,,"Preventive & Promo-
tive Health Services",-,-,-,-,274,0
,401019999,Health Promotion,-,-,-,-,274,0
401004610,,"Preventive &Promotive
Health Services","1,389,000,000","225,000,000","1,164,000,000",16.2,274,0
,401014610,Health Promotion,"1,389,000,000","225,000,000","1,164,000,000",16.2,274,0
402004610,,"Curative Health Ser-
vices","331,034,233","7,984,050","323,050,183",2.4,274,0
,402014610,Referral Services,"331,034,233","7,984,050","323,050,183",2.4,274,0
403004610,,"General Administra-
tion, Planning & Sup-
port Services","2,015,345,767","86,260,560","1,929,085,207",4.3,274,0
,403014610,"Health Policy, Planning
and Financing","2,015,345,767","86,260,560","1,929,085,207",4.3,274,0
404000000,,"General Administra-
tion, Planning & Sup-
port Services",-,-,-,-,274,0
,404019999,"Health Policy, Planning
& Financing",-,-,-,-,274,0
501000000,,Primary Education,-,-,-,-,274,0
,501049999,"Early Child Develop-
ment and Education",-,-,-,-,274,0
502004610,,"Manpower Develop-
ment, Employment and
Productivity Manage-
ment","1,224,941,270","124,150,000","1,100,791,270",10.1,274,0
,502014610,"Early Child Develop-
ment and Education","1,224,941,270","124,150,000","1,100,791,270",10.1,274,0
,502024610,"Infrastructure Develop-
ment and Expansion",-,-,-,-,274,0
701004610,,"General Administra-
tion, Planning and Sup-
port Services","1,486,406,744","163,063,805","1,323,342,939",11.0,274,0
,701014610,Administrative Services,"669,697,099","151,708,655","517,988,444",22.7,274,0
,701024610,"Information Communi-
cation Services",-,-,-,-,274,0
,701044610,"Coordination and Ad-
ministrative Services","253,846,234","460,000","253,386,234",0.2,274,0
,701054610,"Public service and Field
Administrative Services","398,258,303",-,"398,258,303",-,274,0
,701084610,"Board Management Ser-
vices","164,605,108","10,895,150","153,709,958",6.6,274,0
,701104610,Legal and Public Affairs,-,-,-,-,274,0
702004610,,"Public Finance Man-
agement","335,677,978","53,662,900","282,015,078",16.0,274,0
,702014610,Accounting services,"30,796,221",-,"30,796,221",-,274,0
,702024610,Resource Mobilization,"145,522,112","42,178,000","103,344,112",29.0,274,0
,702034610,"Budget Formulation,
Coordination and Man-
agement","35,932,873",-,"35,932,873",-,275,0
,702044610,"Supply Chain Manage-
ment Services","69,038,396","11,484,900","57,553,496",16.6,275,0
,702054610,Internal Audit Services,"54,388,376",-,"54,388,376",-,275,0
703004610,,"Economic Policy and
County Planning","679,758,857","243,763,478","435,995,379",35.9,275,0
,703014610,"Economic Planning Co-
ordination","655,200,268","243,553,878","411,646,390",37.2,275,0
,703024610,"Monitoring and Evalua-
tion Services","24,558,589","209,600","24,348,989",0.9,275,0
