Programme,Sub Programme,"Final Budget
(Kshs.)","Actual Expenditure
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
Agriculture,"Administration, planning
support services","10,596,818","1,784,694","8,812,124",16.8,317,0
,"Administration, planning
support services","10,596,818","1,784,694","8,812,124",16.8,317,0
,"Agricultural Development
project","320,729,460","1,984,448","318,745,012",0.6,317,0
,"Agricultural Mechanization
Services (AMS Garsen station)","4,642,250","441,600","4,200,650",9.5,317,0
,"Minor/Village irrigation
schemes","40,000,000",,"40,000,000",0.0,317,0
,"Agriculture Sector Devel-
opment Support Project
(ASDSP)","12,660,606",,"12,660,606",,317,0
,"Food and Agriculture Orga-
nization","660,000","32,000","628,000",4.8,317,0
,Veterinary Development,"25,868,409","159,900","25,708,509",0.6,317,0
,Veterinary extension services,"1,818,750","15,200","1,803,550",0.8,317,0
,"Artificial insemination (Pilot
scheme)","1,131,500","140,500","991,000",12.4,317,0
,"Buy Tsetse fly traps/Targets
(Kipini, Tarasaa)","1,418,436",,"1,418,436",0.0,317,0
,Conduct Disease Surveillance,"3,853,300","4,200","3,849,100",0.1,317,0
,,"16,630,423",,"16,630,423",,317,0
,Leather Development Service,"1,016,000",,"1,016,000",,317,0
,Livestock Development,"60,963,750","446,000","60,517,750",0.7,317,0
,"Livestock production exten-
sion services","1,521,250","385,800","1,135,450",25.4,317,0
,Irrigation Fodder Production,"5,700,000","60,200","5,639,800",1.1,317,0
,Fisheries Development,"27,985,974",,"27,985,974",,317,0
,Fisheries development,"27,985,974",,"27,985,974",,317,0
,Fisheries,"7,379,416","87,520","7,291,896",1.2,317,0
,"Empowerment of Women
and Youth on Fish Safety and
Quality Assurance","1,045,000","34,500","1,010,500",3.3,317,0
,"Construction of Ice Plant and
Cold Storage","6,334,416","53,020","6,281,396",0.8,317,0
,Land Policy and Planning,"98,869,060","3,117,500","95,751,560",3.2,317,0
,Physical Planning,"41,030,152","1,204,900","39,825,252",2.9,317,0
,Land Survey and Mapping,"47,338,909","999,200","46,339,709",2.1,317,0
,Land Administration,"10,500,000","913,400","9,586,600",8.7,317,0
,"Infrastructure Development
programme","226,968,802","73,405,616","226,968,802",32.3,317,0
,Roads,"226,968,802","73,405,616","226,968,802",32.3,317,0
,"Administration, Planning and
Support Services","18,305,500",,"18,305,500",,317,0
,"Administration, planning,
Operation and Maintenance","18,305,500",,"18,305,500",,318,0
,Public Works,"116,326,000","292,200","116,033,800",0.3,318,0
,County Headquarters,"116,326,000","292,200","116,033,800",0.3,318,0
"County Roads
Development",County Roads Development,"13,000,098","889,900","12,110,198",6.8,318,0
,Routine Maintenance,"1,814,165","889,900","924,265",49.1,318,0
,Opening of New Roads,"1,938,867",,"1,938,867",,318,0
,"Grading and Murruming of
County Roads","8,322,500",,"8,322,500",,318,0
,Tarmacking of County Roads,"924,567",,"924,567",,318,0
,County Housing Development,"133,942,390","50,000","133,892,390",,318,0
,Housing Development,"3,741,390","50,000","3,691,390",1.3,318,0
,Urbanization,"130,201,000",,"130,201,000",,318,0
"Urban Develop-
ment",Urban Development,"18,620,000","920,210","17,699,790",4.9,318,0
,Hola Municipality,"18,620,000","920,210","17,699,790",4.9,318,0
,"Promotion of Trade, Tourism
and Cooperative Development","32,795,171","2,103,980","30,691,191",6.4,318,0
,Promotion of Trade,"23,147,586","1,037,340","22,110,246",4.5,318,0
,Promotion of Tourism,"5,788,551","710,240","5,078,311",12.3,318,0
,"Promotion of Cooperative
Development","3,859,035","356,400","3,502,635",9.2,318,0
,"Administration and Support
Services","478,437,375","234,307,668","244,129,707",49.0,318,0
,"Administration, planning &
support Services","478,437,375","234,307,668","244,129,707",49.0,318,0
Medical Services,Curative and Rehabilitative,"319,374,948","18,322,094","313,417,503",5.7,318,0
,Medical Supplies,"71,824,948","12,364,649","71,824,948",17.2,318,0
,Medical Services,"33,950,000","4,057,720","29,892,280",12.0,318,0
,Ambulance Services,"61,600,000","1,899,725","59,700,275",3.1,318,0
,SP4 Curative Services,"152,000,000",,"152,000,000",,318,0
,Preventive and Promotive,"11,950,000","4,535,966","7,414,034",38.0,318,0
,Preventive and Promotive,"6,900,000","1,461,166","5,438,834",21.2,318,0
,"Licensing and Control of
Undertaking","2,550,000","1,448,150","1,101,850",56.8,318,0
,Mobile Clinics,"2,500,000","1,626,650","873,350",65.1,318,0
