Programme,Sub-Programmes,"Approved Budget
(Kshs)","Actual Payments
(Kshs.)",Variance (Kshs),"Absorption
Rates (%)",page_number,table_index
"Default Value (Non- Depart-
mental)","Default Value (Non- De-
partmental)",-,"17,648,130","- 17,648,130",-,37,0
,,-,"17,648,130","- 17,648,130",-,37,0
County Assembly,,"468,474,573","90,457,331","378,017,242",19.3,37,0
,P1 OFFICE OF THE CLERK,-,-,-,-,37,0
,,"8,200,000","3,110,868","5,089,132",37.9,37,0
,"General Administration,
Planning and Support Ser-
vices","460,274,573","87,346,463","372,928,110",19.0,37,0
,General administration,-,-,-,-,37,0
Office of the Speaker,,"9,004,000","3,764,630","5,239,370",41.8,37,0
,,"9,004,000","3,764,630","5,239,370",41.8,37,0
,"General Administration,
Planning and Support Ser-
vices",-,-,-,-,37,0
"County Assembly Administra-
tion",,"370,040,447","98,665,679","271,374,768",26.7,37,0
,,"370,040,447","98,665,679","271,374,768",26.7,37,0
"Office of the Governor and Dep-
uty Governor",,"151,060,107","29,634,628","121,425,479",19.6,37,0
,,"57,229,600","29,450,411","27,779,189",51.5,37,0
,,"93,830,507","184,217","93,646,290",0.2,37,0
,P3 GOVERNORS OFFICE,-,-,-,-,37,0
,P4 DEPUTY GOVERNOR,-,-,-,-,37,0
"County Executive Administra-
tion",,"3,074,066,167","1,449,697,103","1,624,369,064",47.2,38,0
,,-,-,-,-,38,0
,"Civic Education Develop-
ment Services","700,000","349,500","350,500",49.9,38,0
,General administration,-,-,-,-,38,0
,"Inter and intra -governmen-
tal Relations services","7,000,000","3,185,600","3,814,400",45.5,38,0
,,"3,066,366,167","1,446,162,003","1,620,204,164",47.2,38,0
County Secretary,,"173,540,370","129,008,767","44,531,603",74.3,38,0
,County Secretary,-,-,-,-,38,0
,,"173,540,370","129,008,767","44,531,603",74.3,38,0
County Public Service Board,,-,-,-,-,38,0
,County Public Service Board,-,-,-,-,38,0
,,"5,278,159","1,797,500","3,480,659",34.1,38,0
,"Tiaty sub-county (Adminis-
tration)",-,-,-,-,38,0
,,"5,278,159","1,797,500","3,480,659",34.1,38,0
,,"5,086,222","2,625,904","2,460,318",51.6,38,0
,,"5,086,222","2,625,904","2,460,318",51.6,38,0
,Baringo North sub-county,-,-,-,-,38,0
,,"4,758,027","1,201,929","3,556,098",25.3,38,0
,,"4,758,027","1,201,929","3,556,098",25.3,38,0
,Baringo Central sub-county,-,-,-,-,38,0
,,"5,144,000","1,682,336","3,461,664",32.7,38,0
,Baringo South sub-county,-,-,-,-,38,0
,,"5,144,000","1,682,336","3,461,664",32.7,38,0
,,"4,362,377","1,855,900","2,506,477",42.5,38,0
,,"4,362,377","1,855,900","2,506,477",42.5,38,0
,Mogotio sub-county,-,-,-,-,38,0
,,"4,852,412","2,174,140","2,678,272",44.8,38,0
,,"4,852,412","2,174,140","2,678,272",44.8,38,0
,Eldama Ravine sub-county,-,-,-,-,38,0
Office of the Deputy Governor,,"17,586,339","5,423,810","12,162,529",30.8,38,0
,P4 DEPUTY GOVERNOR,-,-,-,-,38,0
,,"17,586,339","5,423,810","12,162,529",30.8,38,0
,P3 GOVERNORS OFFICE,-,-,-,-,38,0
Headquarters,,-,-,-,-,38,0
,Treasury Accounts,-,-,-,-,38,0
,"Civic Education Develop-
ment Services",-,-,-,-,38,0
Finance & Economic Planning,,"392,209,024","81,839,565","310,369,459",20.9,38,0
,"General Administration,
Planning and Support Ser-
vices","5,963,263","1,936,330","4,026,933",32.5,38,0
,"Revenue Services Develop-
ment Services","238,508,107","10,651,760","227,856,347",4.5,38,0
,General administration,"147,737,654","69,251,475","78,486,179",46.9,38,0
,Treasury Accounts,-,-,-,-,38,0
,KDS Programme,-,-,-,-,38,0
,"Early Childhood Develop-
ment Education",-,-,-,-,38,0
,"Economic Planning, Budget,
Monitoring and Evaluation
Services",-,-,-,-,38,0
Fiscal Planning,,-,-,-,-,38,0
,"Tiaty sub-county (Adminis-
tration)",-,-,-,-,38,0
Budget,,-,-,-,-,38,0
,Baringo North sub-county,-,-,-,-,38,0
Accounting,,-,-,-,-,38,0
,Baringo Central sub-county,-,-,-,-,38,0
,"Tiaty sub-county (Adminis-
tration)",-,-,-,-,39,0
,Baringo South sub-county,-,-,-,-,39,0
,Eldama Ravine sub-county,-,-,-,-,39,0
,Mogotio sub-county,-,-,-,-,39,0
,Baringo North sub-county,-,-,-,-,39,0
Procurement,,-,-,-,-,39,0
,Baringo South sub-county,-,-,-,-,39,0
Internal Audit,,-,-,-,-,39,0
,Mogotio sub-county,-,-,-,-,39,0
Revenue Management Services,,-,-,-,-,39,0
,Eldama Ravine sub-county,-,-,-,-,39,0
Monitoring and Evaluation,,"101,650,000","42,918,898","58,731,102",42.2,39,0
