Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Agriculture, Livestock
and Cooperative",,,,,,102,1
Agriculture Service,"Agriculture Extension
and Exhibition","1,200,000","400,000","800,000",33.3,102,1
Livestock Service,Livestock,"96,224,397","25,800,000","70,424,397",26.8,102,1
,Livestock Production,"5,550,000","350,000","5,200,000",6.3,102,1
Veterinary Service,Veterinary,"33,350,000","500,000","32,850,000",1.5,102,1
Fisheries Services,Fisheries,"200,000",-,"200,000",-,102,1
"General Administration
and Support Services","General Administration
and Support Services","558,257,309","52,719,960","505,537,349",9.4,102,1
Cooperative Services,Cooperative,"600,000","300,000","300,000",50,102,1
,Sub Total,"695,381,706","80,069,960","615,311,746",11.5,102,1
"Energy, Environment
and Natural Resource",,,,,,102,1
Energy Service,Energy,"81,205,000","505,000","80,700,000",0.6,102,1
Environment,Environment,"1,100,000",-,"1,100,000",-,102,1
Natural Resource,Natural Resource,"1,600,000","1,000,000","600,000",62.5,102,1
"General Administration
and Support Services","General Administration
and Support Services","59,243,025","21,580,000","37,663,025",36.4,102,1
,Sub Total,"143,148,025","23,085,000","120,063,025",16.1,102,1
Road and Transport,,,,,,102,1
Road Service,Road,"306,417,200","1,400,000","305,017,200",0.5,102,1
"General Administration
and Support Services","General Administration
and Support Services","37,906,400","18,270,000","19,636,400",48.2,102,1
,Sub Total,"344,323,600","19,670,000","324,653,600",5.7,102,1
"Trade, Tourism and En-
terprise",,,,,,103,0
Trade Service,Trade,"102,400,000","600,000","101,800,000",0.6,103,0
Weight and Measure,Weight and Measure,"1,350,000",-,"1,350,000",-,103,0
"General Administration
and Support Services","General Administration
and Support Services","85,447,996","34,500,000","50,947,996",40.4,103,0
Tourism Service,Tourism,"802,259",-,"802,259",-,103,0
,Sub Total,"190,000,255","35,100,000","154,900,255",18.5,103,0
Health and Sanitation,,,,,,103,0
"Preventive and Promo-
tive",Preventive,"497,297,872","33,000,000","464,297,872",6.6,103,0
Curative,Curative,"207,997,156","77,000,000","130,997,156",37,103,0
"General Administration
and Support Services","General Administration
and Support Services","2,319,087,436","899,698,939","1,419,388,497",38.8,103,0
,Sub Total,"3,024,382,464","1,009,698,939","2,014,683,525",33.4,103,0
Education and Labour,,,,,,103,0
"General Administration
and Support Services","General Administration
and Support Services","574,889,663","164,444,000","410,445,663",28.6,103,0
Vocational Services,"Vocational Training Cen-
tres","12,601,200","666,000","11,935,200",5.3,103,0
ECD,ECD,"44,412,400","6,401,000","38,011,400",14.4,103,0
Human Resource,Human Resource,"244,219,292","99,383,906","144,835,386",40.7,103,0
Information and ICT,Information and ICT,"23,282,733","17,083,000","6,199,733",73.4,103,0
,Sub Total,"899,405,288","287,977,906","611,427,382",32.0,103,0
County Assembly,,,,,,103,0
"General Administration
and Support Services","General Administration
and Support Services","1,004,003,881","426,996,128","577,007,753",42.5,103,0
,Sub Total,"1,004,003,881","426,996,128","577,007,753",42.5,103,0
Office of the Governor,,,,,,103,0
Governor's Office,Governor,"105,400,000","22,450,000","82,950,000",21.3,103,0
Deputy Governor,Deputy Governor,"36,120,000","18,287,500","17,832,500",-,103,0
"General Administration
and Support Services","General Administration
and Support Services","120,810,000","56,660,000","64,150,000",46.9,103,0
Street Lighting,Street Lighting,"48,656,215","18,550,000","30,106,215",38.1,103,0
"Intergovernmental and
Institutional",Intergovernmental,"18,812,430","12,680,000","6,132,430",67.4,103,0
County Attorney,County Attorney,"20,000,000","10,610,000","9,390,000",53.1,103,0
,Sub Total,"349,798,645","139,237,500","210,561,145",39.8,103,0
"Finance, Revenue, Eco-
nomic Planning and
County Affairs",,,,,,103,0
Accounting Service,Accounting,"3,713,739","660,000","3,053,739",17.8,103,0
Budget Service,Budget,"6,780,000","800,000","5,980,000",11.8,103,0
Revenue Service,Revenue,"208,927,781","80,908,000","128,019,781",38.7,103,0
Economic and Statistic,Economic Planning,"34,086,000","13,370,000","20,716,000",39.2,103,0
Supply Chain Service,Procurement,"5,630,000","750,000","4,880,000",13.3,103,0
Internal Audit,Internal Audit,"3,862,600","500,000","3,362,600",12.9,103,0
Special Program,Special Program,"170,940,000","54,450,090","116,489,910",31.9,103,0
"General Administration
and Support Services","General Administration
and Support Services","1,437,914,215","633,241,316","804,672,899",44.0,103,0
Donor Coordination,Donor Coordination,"16,780,548","6,330,000","10,450,548",37.7,103,0
,Sub Total,"1,888,634,883","791,009,406","1,097,625,477",41.9,104,0
"Gender, Social Service
and Sport",,,,,,104,0
"General Administration
and Support Services","General Administration
and Support Services","101,411,832","89,359,676","12,052,156",88.1,104,0
Social Protection,Social Protection,"1,025,000",-,"1,025,000",-,104,0
Cinemas,Cinemas,"3,763,600","500,000","3,263,600",13.3,104,0
,Sub Total,"106,200,432","89,859,676","16,340,756",84.6,104,0
Water and Irrigation,,,,,,104,0
"General Administration
and Support Services","General Administration
and Support Services","289,834,613","98,692,335","191,142,278",34.1,104,0
Irrigation Schemes,Irrigation Scheme,"35,000,000","700,000","34,300,000",2,104,0
Water Supply Service,Water Infrastructure,"878,000,000","207,834,228","670,165,772",,104,0
,Sub Total,"1,202,834,613","307,226,563","895,608,050",25.5,104,0
"Lands, Housing and Ur-
ban Planning",,,,,,104,0
"Urban Sanitation and
Development","Urban Sanitation and De-
velopment","900,000","700,000","200,000",77.8,104,0
"Urban Planning and Di-
saster Management","Urban Planning and Di-
saster Management","11,614,626","7,914,000","3,700,626",68.1,104,0
"General Administration
and Support Services","General Administration
and Support Services","293,036,738","103,726,379","189,310,359",35.4,104,0
Lands,Lands,"34,000,000","2,400,000","31,600,000",7.1,104,0
Housing,Housing,"22,574,997","11,700,000","10,874,997",51.8,104,0
,Sub Total,"362,126,361","126,440,379","235,685,982",34.9,104,0
"County Public Service
Board",,,,,,104,0
"General Administration
and Support Services","General Administration
and Support Services","37,072,000","17,923,000","19,149,000",48.3,104,0
,Sub Total,"37,072,000","17,923,000","19,149,000",48.3,104,0
Town Municipality,,,,,,104,0
