Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
County Assembly,,,,,,157,0
Legislation and Oversight services,,"670,400,000","379,626,392","290,773,608",56.63,157,0
,"Legislation and Over-
sight services","670,400,000","379,626,392","290,773,608",56.63,157,0
Representation services,,"152,250,000","72,685,298","79,564,702",47.74,157,0
,Representation services,"152,250,000","72,685,298","79,564,702",47.74,157,0
"General Administration and sup-
port services",,"523,530,907","173,612,078","349,918,829",33.16,157,0
,"General Administration
and support services","523,530,907","173,612,078","349,918,829",33.16,157,0
,Sub-Total,"1,346,180,907","625,923,768","720,257,139",46.50,157,0
County Executive,,,,,,157,0
"General Administration and Sup-
port Services",,"282,967,488","100,662,048","182,305,440",35.57,157,0
,Administration,"282,967,488","100,662,048","182,305,440",35.57,157,0
,County attorney,"58,613,503","12,270,371","46,343,132",20.93,157,0
,County attorney,"58,613,503","12,270,371","46,343,132",20.93,157,0
,Sub-Total,"341,580,991","112,932,419","228,648,572",33.06,157,0
County Public Service Board,,,,,,157,0
"Leadership and Admin of HR
mgmt. and dev in County Public
Service",,"62,096,211","14,142,201","47,954,010",22.77,157,0
,"Human Resource devel-
opment and manage-
ment services","62,096,211","14,142,201","47,954,010",22.77,157,0
,Sub-Total,"62,096,211","14,142,201","47,954,010",22.77,157,0
Finance & Economic Planning and ICT,,,,,,157,0
"Public Finance Management and
Economic Policy and Strategy",,"1,615,986,168","481,557,227","1,134,428,941",29.80,157,0
,"General Administration
and support services","1,442,721,545","331,951,462","1,110,770,083",23.01,157,0
,"financial management
services","165,264,623","147,653,594","17,611,029",89.34,157,0
,"Economic planning ser-
vices","8,000,000","1,952,171","6,047,829",24.40,157,0
,Sub-Total,"1,615,986,168","481,557,227","1,134,428,941",29.80,157,0
Administration and Public Service,,,,,,157,0
"Admin & Co-ord of county affairs,
HR Dev, Mngt, Capacity Building",,"19,121,529","3,756,241","15,365,288",19.64,157,0
,"Human resource devel-
opment and manage-
ment","19,121,529","3,756,241","15,365,288",19.64,157,0
"General Administration Planning
and Support Services",,"847,866,812","258,162,415","589,704,397",30.45,157,0
,"Economic Planning Co-
ordination services","847,866,812","258,162,415","589,704,397",30.45,157,0
,Sub-Total,"866,988,341","261,918,656","605,069,685",30.21,157,0
"Agriculture, Livestock and Fisheries",,,,,,157,0
"Crop, Livestock and Fisheries De-
velopment and Management",,"1,300,689,749","163,188,843","1,137,500,906",12.55,158,0
,"Crop production and
management","440,662,497","63,667,189","376,995,308",14.45,158,0
,"Livestock resource man-
agement and develop-
ment","73,000,000",0,"73,000,000",-,158,0
,Fisheries Development,"15,000,000",0,"15,000,000",-,158,0
,"Administrative and Plan-
ning services","772,027,252","99,521,654","672,505,598",12.89,158,0
,Sub-Total,"1,300,689,749","163,188,843","1,137,500,906",12.55,158,0
"Water, Environment and Natural Resources",,,,,,158,0
"Water Resources Mngt, Environ-
ment Protection and Conserva-
tion",,"293,000,000","22,990,078","270,009,922",7.85,158,0
,"Environmental manage-
ment","59,000,000","9,000,000","50,000,000",15.25,158,0
,"Water provision and
management","224,000,000","12,270,078","211,729,922",5.48,158,0
,"Natural Resources con-
servation and Manage-
ment","5,000,000","1,720,000","3,280,000",34.40,158,0
,"Renewable Energy and
Climate Change","5,000,000",0,"5,000,000",-,158,0
"General Administration and Sup-
port Services",,"341,523,466","94,753,108","246,770,358",27.74,158,0
,"General Administration
and Support Services","341,523,466","94,753,108","246,770,358",27.74,158,0
,Sub-Total,"634,523,466","117,743,186","516,780,280",18.56,158,0
Health Services,,,,,,158,0
"Curative and preventive health
care services",,"821,636,481",0,"821,636,481",-,158,0
,Health curative services,"821,636,481",0,"821,636,481",-,158,0
,"Administration, Plan-
ning and Support Ser-
vices","4,212,282,316","1,905,720,350","2,306,561,966",45.24,158,0
,"General Administration
and Support Services","4,212,282,316","1,905,720,350","2,306,561,966",45.24,158,0
Preventive Health Services,,"46,333,390","1,467,251","44,866,139",3.17,158,0
,"Community Health Ser-
vices","46,333,390","1,467,251","44,866,139",3.17,158,0
"Curative and Rehabilitative Health
Services",,"535,824,221","254,154,694","281,669,527",47.43,158,0
,"County Hospital Infra-
structure","535,824,221","254,154,694","281,669,527",47.43,158,0
County Pharmaceutical Services,,"80,000,000","31,168,472","48,831,528",38.96,158,0
,"Pharmaceutical and
Non-Pharmaceutical
supplies","80,000,000","31,168,472","48,831,528",38.96,158,0
,Sub-Total,"5,696,076,408","2,192,510,767","3,503,565,641",38.49,158,0
"Education, Culture and Social Services",,,,,,158,0
"Pre-primary Education, Promo-
tion of Culture; ICT and social
Services",,"233,969,788","498,190","233,471,598",0.21,158,0
,"Pre-primary education
and youth polytechnics
services","233,969,788","498,190","233,471,598",0.21,158,0
"General Administration and Sup-
port Services",,"730,202,219","262,916,701","467,285,518",36.01,158,0
,"General Administration
and support Services","730,202,219","262,916,701","467,285,518",36.01,158,0
