Programme,"Sub- Programme
(","Approved Budget
Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index,Sub- Programme,"Approved Budget
(Kshs)"
County Assembly,"Office of the speaker
Representation, legislative and oversight
services
County Assembly service board
Sub total","6,355,200","424,000","5,931,200",6.7%,180,1,,
,,"225,855,824","108,916,395","116,939,429",48.2%,180,1,,
,,"823,530,584","364,728,366","458,802,218",44.3%,180,1,,
,,"1,055,741,608","474,068,761","581,672,847",44.9%,180,1,,
County Executive,,,"150,846,686","226,891,266",39.9%,181,0,"Administration, planning and support
services","377,737,952"
,,,"7,245,079","17,394,921",29.4%,181,0,office of the county secretary,"24,640,000"
,,,"2,016,300","11,803,700",14.6%,181,0,legal services,"13,820,000"
,,,"9,260,986","16,309,014",36.2%,181,0,communication services,"25,570,000"
,,,"3,563,100","4,586,900",43.7%,181,0,Special programmes,"8,150,000"
,,,"1,829,710","5,070,290",26.5%,181,0,public private partnership,"6,900,000"
,,,"1,213,103","5,536,897",18.0%,181,0,Advisory services,"6,750,000"
,,,"1,709,200","2,990,800",36.4%,181,0,Chief of staff,"4,700,000"
,,,"11,877,034","30,122,966",28.3%,181,0,County public service Board,"42,000,000"
,,,"189,561,198","320,706,754",37.1%,181,0,Sub total,"510,267,952"
"Administration and Stake-
holder management",,,"212,814,761","262,270,687",44.8%,181,0,"Administration, planning and support
services","475,085,448"
,,,"5,562,756","52,780,938",9.5%,181,0,Devolved units services,"58,343,694"
,,,"683,000","9,927,000",6.4%,181,0,Human Resource development,"10,610,000"
,,,"3,647,700","5,152,300",41.5%,181,0,Enforcement services,"8,800,000"
,,,"4,347,000","45,462,602",8.7%,181,0,Stakeholder management,"49,809,602"
,,,"1,999,000","9,801,000",16.9%,181,0,Public participation and civic Education,"11,800,000"
,,,"3,052,142","7,874,113",27.9%,181,0,Disaster management,"10,926,255"
,,,"4,550,918","2,449,082",65.0%,181,0,Fleet Management,"7,000,000"
,,,"236,657,277","395,717,722",37.4%,181,0,Sub total,"632,374,999"
"Finance & Economic plan-
ning",,,"387,321,054","619,943,449",38.5%,181,0,"Administration, coordination and sup-
port services","1,007,264,503"
,,,"22,640,265","59,384,735",27.6%,181,0,Public financial management services,"82,025,000"
,,,"56,226,183","187,089,512",23.1%,181,0,County planning services,"243,315,695"
,,,"466,187,502","866,417,696",35.0%,181,0,Sub total,"1,332,605,198"
"Agriculture, Livestock,
Veterinary & Fisheries",,,"70,819,300","354,042,035",16.7%,181,0,Administrative and support services,"424,861,335"
,,,"203,452,026","207,021,649",49.6%,181,0,Crop development and value addition,"410,473,675"
,,,"27,861,880","24,338,120",53.4%,181,0,Livestock development,"52,200,000"
,,,"203,388,801","37,610,179",84.4%,181,0,Veterinary services,"240,998,980"
,,,"850,000","2,250,000",27.4%,181,0,"Co-operative development and manage-
ment","3,100,000"
,,,"13,543,685","30,590,185",30.7%,181,0,Fisheries development,"44,133,870"
,,,"4,474,718","21,197,502",17.4%,181,0,Kisii agricultural training center,"25,672,220"
,,,"524,390,410","677,049,670",43.6%,181,0,Sub total,"1,201,440,080"
"Energy,Environment And
Natural Resources",,,"20,007,375","40,148,956",33.3%,181,0,Administration and planning services,"60,156,331"
,,,"76,296,142","250,791,725",23.3%,181,0,Water and sanitation services,"327,087,867"
,,,"2,698,000","15,302,000",15.0%,181,0,Environment management,"18,000,000"
,,,"438,050","5,403,759",7.5%,181,0,Energy services,"5,841,809"
,,,"99,439,567","311,646,440",24.2%,181,0,Sub total,"411,086,007"
"Education, Youth Affairs &
Social Development",,,"226,318,430","397,198,615",36.3%,181,0,"General administration and planning
services","623,517,045"
,,,"1,400,106","85,307,530",1.6%,181,0,Early childhood development education,"86,707,636"
,,,"2,308,009","64,871,889",3.4%,181,0,Vocational training,"67,179,898"
,,,"230,026,545","547,378,034",29.6%,181,0,Sub total,"777,404,579"
County Health Services,,,"1,740,819,142","2,407,905,338",42.0%,182,0,Medical services,"4,148,724,480"
,,,"2,045,460","48,674,540",4.0%,182,0,Public health,"50,720,000"
,,,"1,742,864,602","2,456,579,878",41.5%,182,0,Sub total,"4,199,444,480"
"Lands, Physical Planning
and Urban Development",,,"63,715,740","118,409,260",35.0%,182,0,"Administration, planning and support
services","182,125,000"
,,,"12,786,651","25,012,427",33.8%,182,0,Land use services,"37,799,078"
,,,"15,206,183","70,725,101",17.7%,182,0,Urban development,"85,931,284"
,,,"91,708,574","214,146,788",30.0%,182,0,Sub total,"305,855,362"
"Roads, Public Works,
Transport and Housing",,,"40,817,060","62,002,940",39.7%,182,0,"General administration and planning
services","102,820,000"
,,,"339,750,153","599,234,095",36.2%,182,0,Roads development,"938,984,248"
,,,"28,472,356","173,699,118",14.1%,182,0,Public works,"202,171,474"
,,,-,"11,000,000",0.0%,182,0,Housing services,"11,000,000"
,,,"409,039,569","845,936,153",32.6%,182,0,Sub total,"1,254,975,722"
"Trade, Tourism, Coopera-
tives and Enterprise Devel-
opment",,,"36,860,372","49,406,267",42.7%,182,0,Administration and planning services,"86,266,639"
,,,"1,525,000","6,995,000",17.9%,182,0,Tourism development,"8,520,000"
,,,"600,000","3,450,000",14.8%,182,0,Weights and measures,"4,050,000"
,,,"350,000","800,000",30.4%,182,0,Liquor licensing,"1,150,000"
,,,-,"126,735,153",0.0%,182,0,Markets development,"126,735,153"
,,,"1,150,000","2,050,000",35.9%,182,0,Betting and gaming,"3,200,000"
,,,"40,485,372","189,436,420",17.6%,182,0,Sub total,"229,921,792"
Culture and Social Services,,,"31,694,506","49,122,855",39.2%,182,0,Administration and planning services,"80,817,361"
,,,"39,425,512","90,711,579",30.3%,182,0,Sports development,"130,137,091"
,,,"4,148,503","28,900,174",12.6%,182,0,Cultural services,"33,048,677"
,,,"1,142,650","2,357,350",32.6%,182,0,Social development,"3,500,000"
,,,"76,411,171","171,091,958",30.9%,182,0,Sub total,"247,503,129"
Kisii Municipality,,,"43,975,130","126,962,157",25.7%,182,0,"General administration, planning
and support services","170,937,287"
,,,"72,405,268","188,731,515",27.7%,182,0,Infrastructure development,"261,136,783"
,,,"116,380,398","315,693,672",26.9%,182,0,Sub total,"432,074,070"
Grand Total,,,"4,697,220,946","7,893,474,032",37.3%,182,0,,"12,590,694,978"
