Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
Education,,,,,,211,1
"General Administration &
Planning services",Personnel services,"71,265,456","24,812,678","46,452,778",34.8,211,1
,Administration Services,"12,269,490","4,734,690","7,534,800",38.6,211,1
"Vocational Training Insti-
tutes.","Vocational Training Insti-
tutes.","48,213,048","17,536,594","30,676,454",36.4,211,1
"Collaboration with Stake-
holders","Collaboration with Stake-
holders.","4,000,000","817,487","3,182,513",20.4,211,1
"Gender Culture and Social
Services.","Gender Culture and Social
Services.","23,959,755","3,617,141","20,342,614",15.1,211,1
Youth and Sports.,Youth & Sports,"8,204,700","1,522,550","6,682,150",18.6,211,1
"Education & Library
Services","Education and Library
Services.","43,184,875","30,909,740","12,275,135",71.6,211,1
"Talent Development
Services",Talent Development,"5,484,112","2,141,795","3,342,317",39.1,211,1
,,,,-,,211,1
Sub-total,,"216,581,436","86,092,675","130,488,761",39.8,211,1
,,,,,,211,1
County Assembly,,,,,,211,1
"General Administration &
Planning Services",Administration services,"292,121,447","147,014,872","145,106,575",50.3,211,1
Legislative & Oversight,"Legislation & Oversight
Services","194,747,631","98,009,914","96,737,717",50.3,212,0
"Infrastructure improvement
services","County Assembly Infrastruc-
ture improvement","50,000,000",-,"50,000,000",-,212,0
Sub-total,,"536,869,078","245,024,786","291,844,292",45.6,212,0
,,,,,,212,0
County Health Services,,,,,,212,0
"Curative & Rehabilitative
Health","Health Infrastructure Devel-
opment","24,000,000","1,771,978","11,771,978",50.95,212,0
,"Health Products & Technolo-
gies Support","236,736,402","61,549,028","171,597,274",27.52,212,0
,"Emergency Referral & Reha-
bilitative Service","99,548,177","40,868,021","37,277,921",62.55,212,0
"General Administration &
Planning Services","Essential Health Institutions
& Services","126,629,882","51,522,839","51,522,839",59.31,212,0
,"Administrative, Project
Planning & Implementation
Services","137,877,133","59,133,736","59,133,736",57.11,212,0
,"Human Resource Develop-
ment","2,000,000","512,200","512,200",74.39,212,0
,"Health Policy, Governance,
Planning & Financing","9,500,000","4,531,242","4,531,242",52.30,212,0
,"Health Information Stan-
dards & Quality Assurance","1,500,000",-,-,100.00,212,0
,"Community Health Strategy,
Advocacy & Surveillance","11,056,500","932,400","932,400",91.57,212,0
Preventive Health Services,"Family Planning, Maternal &
Child Health Services","4,300,000","837,700","837,700",80.52,212,0
,"Non-Communicable Diseases
Control & Prevention","1,800,000","900,000","900,000",50.00,212,0
,"Public Health Promotion &
Nutrition Services","7,300,000","4,467,694","4,467,694",38.80,212,0
,"Social Health Insurance
scheme","63,000,000","20,522,120","20,522,120",67.43,212,0
,,,,-,,212,0
Sub-total,,"725,248,094","247,548,958","364,007,104",49.81,212,0
,,,,,,212,0
"Infrastructure, Physical Planning & Lands",,,,,,212,0
"General Administration
and Planning Services",Administration Services,"9,399,080","2,439,776","6,959,304",26.0,212,0
,"Planning and Financial
Management","2,900,920","934,500","1,966,420",32.2,212,0
Financial Services,"County Treasury administra-
tive services","254,090,282","112,475,495","141,614,787",44.3,212,0
"Land and Housing Man-
agement",Housing Policy Development,"4,700,000","1,583,700","3,116,300",33.7,212,0
