Programme,Sub- Programme,"Approved Budget
(Kshs.)","Actual Payments
(Kshs.)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Assembly,"P.1 Administration, planning
and support services.","222,467,120","48,480,596","173,986,524",21.8,221,0
,P.2 Legislation and Oversight,"195,532,880","47,016,162","148,516,718",24,221,0
,P 3: Development,"160,000,000",,"160,000,000",-,221,0
,Subtotal,"578,000,000","95,496,758","482,503,242",16.5,221,0
"County Executive &
PSM",P 1. administration,"425,036,323","204,607,444","220,428,879",48.1,221,0
,"P 2. Executive Services Gov-
ernor","42,269,700","11,133,452","31,136,248",26.3,221,0
,P3. Development,"80,746,867",,"80,746,867",-,221,0
,Subtotal,"548,052,890","215,740,896","332,311,995",39.4,221,0
Finance,"P1.Administration, planning
support services","92,583,614","37,169,100","55,414,514",40.1,221,0
,"P2. Accounting Standards &
Reporting","8,056,515","2,410,013","5,646,502",29.9,221,0
,"P3. Procurement & Supply
Chain Management","4,623,909","1,103,202","3,520,707",23.9,221,0
,P4. Resource Mobilization,"9,835,409","1,184,830","8,650,579",12,221,0
,P5. Internal Audit,"4,020,909","1,069,510","2,951,399",26.6,221,0
,P6. KDSP Headquarters,"76,534,906",-,"76,534,906",-,221,0
,Subtotal,"195,655,262","42,936,655","144,068,028",21.9,221,0
"Agriculture & Irriga-
tion","P1. Directorate of Agriculture
& Extension Services","52,330,716","19,289,088","33,041,628",36.9,221,0
,"P7. Crop Productivity and
Output","17,596,440","40,000","17,556,440",0.2,221,0
,"P9. Conditional Grants
(KCSAP & ASDSP)","52,368,686","4,689,470","47,679,216",9,221,0
,P 4: Development,"379,722,943",,"379,722,943",-,221,0
,Subtotal,"502,018,785","24,018,557","478,000,228",4.8,221,0
"Land, Physical Plan-
ning",P1. Headquarters,"29,512,018","9,051,061","20,460,957",30.7,221,0
,"P 2: Land Development Man-
agement","99,870,369",,"99,870,369",-,221,0
,Subtotal,"129,382,387","9,051,061","120,331,326",7.,221,0
"Education and Voca-
tional Training","P1. General Administration
&Planning","117,930,500","34,559,832","83,370,668",29.3,221,0
,"P2. Education and Training
Programme","125,000,000","125,000,000",-,100.,221,0
,P3.Development,"141,046,894","26,999,999.95","114,046,894",19.1,221,0
,Subtotal,"383,977,395","186,559,832","197,417,562",48.6,221,0
Medical Services,"P1 Administration, planning &
support Services","823,527,182","324,722,582","498,804,600",39.4,221,0
,"P2. Curative & Rehabilitative
Health","118,188,376","42,397,347","75,791,029",35.9,221,0
,"P3. Preventive & Promotive
Health","173,486,163","7,716,549","165,769,614",4.4,221,0
,P 4: Development,"284,002,144","906,521","283,095,623",0.3,221,0
,Subtotal,"1,399,203,865","375,742,999","1,023,460,866",26.9,221,0
"Trade, Investment,
Culture & Tourism","P 1:Administration, planning
& support Services","23,813,168","7,574,037","16,239,131",31.8,222,0
,P 2: Tourism Promotion,"4,186,865","1,281,932","2,904,933",30.6,222,0
,P 4: Trade & Industrialization,"2,465,500","660,000","1,805,500",26.8,222,0
,P5: Development,"84,632,772",,"84,632,772",-,222,0
,Subtotal,"115,098,305","9,515,969","105,582,336",8.3,222,0
"Livestock, Veterinary
& Co-operative Devel-
opment",P 1: Headquarters,"34,961,698","14,511,967","20,449,731",41.5,222,0
,P 3: Livestock Production,"976,764","315,990","660,774",32.4,222,0
,P 4: Veterinary Services,"1,464,613","400,339","1,064,274",27.3,222,0
,P 5: Cooperative development,"605,478","189,840","415,638",31.4,222,0
,P6: Development,"27,621,975",,"27,621,975",-,222,0
,Subtotal,"65,630,528","15,418,136","50,212,392",23.5,222,0
Public Service Board,"P1. Administration, planning
and support services.","44,331,946","15,272,461","29,059,485",34.5,222,0
,"P2. Human Resource Manage-
ment & Development","11,531,300","4,755,043","6,776,257",41.2,222,0
,Subtotal,"55,863,246","20,027,504","35,835,742",35.9,222,0
"Water Management &
Conservation",P 1: Headquarters,"15,802,878","8,141,532","7,661,346",51.5,222,0
,"P 2: Water Management, Con-
servation & Provision","36,679,785","28,582,261","8,097,524",77.9,222,0
,P3: Development,"260,516,917",,"260,516,917",-,222,0
,Subtotal,"312,999,580","36,723,793","276,275,787",11.7,222,0
"Gender, Sports, Youth
Affairs, & Social
Services",P 1: Headquarters,"15,990,988","4,568,236","11,422,752",28.6,222,0
,P3: Development,"99,344,080",,"99,344,080",-,222,0
,Subtotal,"115,335,068","4,568,236","110,766,832",4,222,0
"Public Health Envi-
ronment & Sanitation",P 1: Headquarters,"60,704,412","24,190,182","36,514,230",39.8,222,0
,"P 2: Public Health and Sani-
tation","5,010,000","364,250","4,645,750",7.3,222,0
,P3: Development,"30,783,571",,"30,783,571",-,222,0
,Subtotal,"96,497,983","24,554,432","71,943,552",25.4,222,0
Fisheries,"P 1.General Administration,
Planning and Support services","31,825,280","10,685,153","21,140,127",33.6,222,0
,P2: Development,"12,833,424","8,270,794","4,562,630",64.4,222,0
"Budget & Economic
Planning",Subtotal,"44,658,704","18,955,948","25,702,757",42.4,222,0
,P1.Headquarters,"16,290,399","4,834,146","11,456,253",29.7,222,0
,"P2. Economic Planning &
Budgeting","7,375,600","1,751,375","5,624,225",23.7,222,0
,Subtotal,"23,665,999","6,585,521","17,080,478",27.8,222,0
"Infrastructure, Urban
Development &
Energy","P 1: Administration Head-
quarters","42,816,607","19,221,078","23,595,529",44.9,222,0
,P2: Development,"215,621,993",,"215,621,993",-,222,0
,Subtotal,"258,438,600","19,221,078","239,217,523",7.4,222,0
Lamu Municipality,"P1. Administration, planning
and support services.","35,614,290","14,003,629","21,610,662",39.3,222,0
,"P2. Kenya Urban Support
Programme (KUSP)","41,779,689","10,531,000","31,248,689",25.2,222,0
,P3. Development (KISSP),"95,503,760","36,108,483",,,222,0
,Subtotal,"172,897,739","60,643,111","52,859,351",35.1,222,0
Grand Total,,"4,997,376,337","1,165,760,483","3,763,569,998",23.3,222,0
