"Depart-
ment",Programme,Sub-Programme,"Approved Esti-
mates (Kshs.)","Actual Expendi-
ture (Kshs.)",Variance (Kshs.),Absorption Rate (%,page_number,table_index
,,"SP 1.3: Human
Resource Manage-
ment","194,729,016","26,936,163","167,792,853",14,301,0
,,"SP 1.4: Research
and Development","2,500,000",,"2,500,000",-,301,0
,,"SP 1.5: Health
Infrastructure and
Development","29,400,000","152,040","29,247,960",1,301,0
,Programme 2: Health Preventive and Promotive Services,,,,,,301,0
,,"SP 2:1: Primary
Health Care","477,563,074","55,308,833","422,254,241",12%,301,0
,,"SP 2.2: Environ-
mental Health and
Sanitation","3,150,000",,"3,150,000",0%,301,0
,,"SP 2:3: Human
Resource","1,510,739,524",,"1,510,739,524",0%,301,0
,,"SP 2.4: Disease Sur-
veillance and Emer-
gency Response","1,997,550",,"1,997,550",0%,301,0
,,"SP 2.5: Health
Promotive","1,740,000",,"1,740,000",0%,301,0
,,"SP 2:6: HIV Pro-
gramme","2,300,000",,"2,300,000",0%,301,0
,,SP 2:7: Nutrition,"20,000,000",,"20,000,000",0%,301,0
,,"SP 2:8 Reproduc-
tive Health","1,750,000",,"1,750,000",0%,301,0
,,"SP 2:9 Immuniza-
tion","2,500,000",,"2,500,000",0%,301,0
,Programme 3: Health Curative and Rehabilitative Services,,,,,,301,0
,,"SP 3:1: Provision
of Essential Health
Services in all levels","2,222,537,135","470,817,617","1,751,719,518",21%,301,0
,,"SP 3.2: Elimination
of communicable
and non-communi-
cable diseases","2,200,000",,"2,200,000",0%,301,0
,,"SP 3:3: Human
Resource","2,573,622,163","132,739,681","2,440,882,482",5%,301,0
"Infra-
structure","PROGRAM 1.
Administra-
tion, Planning
and Support
Services.","PROGRAM 1.
Administration,
Planning and Sup-
port Services.",,,,,301,0
,,"SP 1.1.Administra-
tive services.","50,976,207","9,618,679","41,357,528",19%,301,0
,,"SP 1.2: Personnel
services.","159,342,630","7,173,913","152,168,717",5%,301,0
,,"SP 1.3: Financial
Services.",-,,,,301,0
,"PROGRAM 2.
Infrastructure,
Development &
Maintenance.","PROGRAM 2.
Infrastructure,
Development &
Maintenance.",,,,,301,0
,,"S.P 2.1-Construc-
tion rehabilitation
& maintenance of
Roads, Drainage &
Bridges.","1,066,312,898","357,797,897","708,515,001",34%,301,0
,,"S.P 2.2-Rehabili-
tation & Mainte-
nance of Transport
Terminus.","3,160,000",-,"3,160,000",0%,301,0
,,"S.P 2.3-Construc-
tion & Maintenance
of non-residential
County Buildings.","13,260,000","2,000,000","11,260,000",15%,302,0
,,"S.P 2.4-Installation,
Rehabilitation &
Maintenance of
Lighting facilities.","103,610,000","50,279,600","53,330,400",49%,302,0
,"PROGRAM 3.
Firefighting &
Disaster Man-
agement.","PROGRAM 3. Fire-
fighting & Disaster
Management.",,,,,302,0
,,"S.P 3.1 Firefighting
And Emergency
Services","7,660,000","1,700,000","5,960,000",22%,302,0
"Educa-
tion, Vo-
cational
Training,
ICT &
E-Gov-
ernment",,,,,,,302,0
,"Programme 1:
Administration,
Planning and
Support Services",,,,,,302,0
,,"S.P. 1:1 Personnel
services","422,041,593","98,855,150","323,186,443",23%,302,0
,,"S.P. 1:2 Adminis-
tration and Support
Services","601,113,503","32,523,337","568,590,166",5%,302,0
,,"S.P. 1.3: Financial
services",,,,,302,0
,"Programme 2: Promotion of Early
Childhood Education and Develop-
ment",,,,-,,302,0
,,"S.P. 2.1: Promotion
of early childhood","32,889,846","561,830","32,328,016",2%,302,0
,,S.P. 2.2: Bursaries,"243,492,567","119,667,422","123,825,145",49%,302,0
,,"S.P. 2.3: Education
development","19,311,176",-,"19,311,176",0%,302,0
,Programme 3: Vocational Training,,,,-,,302,0
,,"S.P. 3.1: Vocational
training","76,690,400","968,600","75,721,800",1%,302,0
,,"S.P. 3.2: Revitalisa-
tion of the youth
programme","77,049,914",-,"77,049,914",0%,302,0
,"Programme 4: Information and Com-
munication Service",,,,-,,302,0
,,"S.P. 4.1: Public
Communication
and Media Services","15,291,437","2,725,804","12,565,633",18%,302,0
,"Programme 5: ICT Infrastructure
Development and e-Government
Services",,,,-,,302,0
,,"S.P. 5.1: Network
Infrastructure","6,800,000",-,"6,800,000",0%,302,0
,,"S.P. 5.2: Hardware
and Software plat-
forms","5,000,000",-,"5,000,000",0%,302,0
,,"S.P. 5.3: e-Govern-
ment Services","15,352,000",-,"15,352,000",0%,302,0
"Agri-
culture
Livestock
& Fish-
eries",,,,,,,303,0
,"Programme 1: Administration, Plan-
ning and Support Services",,,,,,303,0
,,"SP 1.1: Human Re-
sources Services","336,085,782",,"336,085,782",0%,303,0
,,"SP 1.2: Administra-
tion, Planning and
Support Services","378,075,953","30,715,442","347,360,511",8%,303,0
,"Programme 2: Livestock Resource
Management and Development",,,,,,303,0
,,"SP 2.1: Livestock
Production and
Management","151,346,882","276,200","151,070,682",0%,303,0
,,"SP 2.2: Promotion
of Value Addition
of Livestock and
Livestock Products","29,203,118",,"29,203,118",0%,303,0
,,"SP 2.3: Livestock
Extension Service
Delivery","29,230,295",,"29,230,295",0%,303,0
,,"SP 2.4: Food Safety
and Livestock
Products Develop-
ment","9,050,000",,"9,050,000",0%,303,0
,,"SP 2.5: Livestock
Disease Manage-
ment and Control","50,383,413","32,499,650","17,883,763",65%,303,0
,Programme 3: Fisheries Development,,,,,,303,0
