Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),"Absorption
(%)",page_number,table_index
County Executive,,,,,,315,0
"General Administra-
tion and Planning","General Administration and
Support services","681,732,130","331,029,099","350,703,031",48.6,315,0
,Sub total,"681,732,130","331,029,099","350,703,031",48.6,315,0
Physical Infrastructure,Physical Infrastructure,"58,000,000","1,229,988","56,770,012",2.1,315,0
,Subtotal,"58,000,000","1,229,988","56,770,012",2.1,315,0
"Finance and Econom-
ic Planning",,,,,,315,0
"Finance and Account-
ing","General Administration and
Support services","552,618,378","359,459,931","193,158,447",65,315,0
,Sub total,"552,618,378","359,459,931","193,158,447",65,315,0
Revenue,"Revenue Collection and Man-
agement","12,560,000","1,833,493","10,726,507",14.6,315,0
,Sub total,"12,560,000","1,833,493","10,726,507",14.6,315,0
"Devolved Units and
Special Programmes",,,,,,315,0
"Sub-County Adminis-
tration","Administrative & Support of
Human Resources","72,975,905","23,819,722","49,156,183",32.6,315,0
,Sub total,"72,975,905","23,819,722","49,156,183",32.6,315,0
"Town Administration
Section","Administration and Support of
Human Services","204,821,516",-,"204,821,516",-,315,0
,Sub total,"204,821,516",-,"204,821,516",-,315,0
Health and Sanitation,,,,,,315,0
"Public Health and
Sanitation","Health Service Delivery Ad-
ministration Services","2,693,677,874","1,426,546,071","1,267,131,803",53.0,315,0
,Sub total,"2,693,677,874","1,426,546,071","1,267,131,803",53.0,315,0
"Curative Health
Services",Physical Planning,"602,446,273","94,209,964","508,236,309",15.6,315,0
,Sub total,"602,446,273","94,209,964","508,236,309",15.6,315,0
"Agriculture, Livestock
and Fisheries",,,,,,315,0
"Agriculture and Crop
Production","Administration and General
Support services","279,248,844","149,795,150","129,453,694",53.6,315,0
,Sub total,"279,248,844","149,795,150","129,453,694",53.6,315,0
"Livestock and Veter-
inary","Livestock Resources Manage-
ment","688,929,847","21,849,550","667,080,297",3.2,315,0
,Sub total,"688,929,847","21,849,550","667,080,297",3.2,315,0
"Tourism, Culture and
Cooperative Develop-
ment",,,,,,315,0
Tourism,"General Administration and
Support Services","50,844,650","18,714,214","32,130,436",36.8,315,0
,Sub total,"50,844,650","18,714,214","32,130,436",36.8,315,0
Culture,"Development and Promotion
of Culture","37,299,290","4,732,000","32,567,290",12.7,315,0
,Subtotal,"37,299,290","4,732,000","32,567,290",12.7,315,0
"Youth, Gender and
Social Services",,,,,,315,0
Youth Affairs,"General Administration and
Support Services","115,279,747","60,854,495","54,425,252",52.8,315,0
,Sub total,"115,279,747","60,854,495","54,425,252",52.8,315,0
Sports,Sports Development,"138,277,558","8,927,400","129,350,158",6.5,315,0
,Sub total,"138,277,558","8,927,400","129,350,158",6.5,315,0
"Education, Research
and Vocational
Training",,,,,,316,0
"Pre-education and
Care Services","General Administration and
Support Services","349,532,223","205,062,936","144,469,287",58.7,316,0
,Education,"228,378,974","82,921,373","145,457,601",36.3,316,0
,Sub total,"577,911,197","287,984,309","289,926,888",49.8,316,0
"Lands, Environment
and Natural Resourc-
es",,,,,,316,0
"Natural Resources and
Mining","General Administration and
Support Services","102,969,652","43,558,658","59,410,994",42.3,316,0
,Sub total,"102,969,652","43,558,658","59,410,994",42.3,316,0
Lands,Lands Adjudication,"2,600,000",-,"2,600,000",0.0,316,0
,Sub total,"2,600,000",-,"2,600,000",0.0,316,0
Water,Water Supply,"376,847,634","51,936,990","324,910,644",13.8,316,0
,Sub total,"376,847,634","51,936,990","324,910,644",13.8,316,0
"Roads, Transport and
Public Works",,,,,,316,0
Public Works,"General Administration and
Support Services","216,379,793","59,885,834","156,493,959",27.7,316,0
,Sub total,"216,379,793","59,885,834","156,493,959",27.7,316,0
"Roads and Infrastruc-
ture",Roads Transport,"574,045,041","252,736,050","321,308,991",44.0,316,0
,Sub total,"574,045,041","252,736,050","321,308,991",44.0,316,0
"Trade and Industrial
Development",,,,,,316,0
Markets,"General Administration and
Support Services","54,241,161","19,403,669","34,837,492",35.8,316,0
,Sub total,"54,241,161","19,403,669","34,837,492",35.8,316,0
"Industrial, SME De-
velopment",Trade Development,"54,968,853","3,342,770","51,626,083",6.1,316,0
,Sub total,"54,968,853","3,342,770","51,626,083",6.1,316,0
"Public Service and
Labour",,,,,,316,0
"General Administra-
tion and Planning","Administration and Support
of Human Resources","42,421,494","17,777,000","24,644,494",41.9,316,0
,Sub total,"42,421,494","17,777,000","24,644,494",41.9,316,0
County Assembly,,,,,,316,0
"Administrative
Section","Administration and support
Services","105,000,000","20,759,613","84,240,387",19.8,316,0
,Sub total,"105,000,000","20,759,613","84,240,387",19.8,316,0
"County Assembly
Service Board","County Assembly Service
Board","669,452,972","363,504,014","305,948,958",54.3,316,0
,Sub total,"669,452,972","363,504,014","305,948,958",54.3,316,0
Grand Total,,"8,965,549,809","3,631,610,160","5,333,939,649",40.5,316,0
