Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance,"Absorption
(%)",page_number,table_index
"General administration, plan-
ning and support services",Service Delivery Unit,"27,600,000","12,505,458","15,094,542",45.3,341,1
,"Governor's Office & Invest-
ment Promotion","65,920,000","46,050,644","19,869,356",69.9,341,1
,"Liaison and Intergovernmen-
tal Relations","16,186,000","6,485,920","9,700,080",40.1,341,1
,"Civic Education and Public
Participation","11,180,997","5,128,445","6,052,552",45.9,341,1
Sub Total,,"120,886,997","70,170,467","50,716,530",58,341,1
County Secretary,"County Secretary-Adminis-
tration","50,470,000","21,835,358","28,634,642",43.3,341,1
,Cabinet Affairs,"830,000","388,443","441,557",46.8,341,1
Human Resource Management,"Payroll (Including Compensa-
tion to employees)","2,068,000,000","1,062,826,386","1,005,173,614",51.4,341,1
,"Human Resource Manage-
ment (Including employee
gratuity, pension and medical
insurance)","154,520,000","20,534,017","133,985,983",13.3,341,1
Sub Total,,"2,273,820,000","1,105,584,204","1,168,235,796",48.6,341,1
County Attorney Services,legal and public affairs,"60,350,000","16,855,627","43,494,373",27.9,341,1
Sub Total,,"60,350,000","16,855,627","43,494,373",27.9,341,1
Public administration,Public Administration,"8,700,000","3,833,105","4,866,895",44.1,341,1
,"sub-county and ward admin-
istration","23,090,000","8,331,446","14,758,554",36.1,341,1
,"Communication and Public
Relations","7,600,000","930,187","6,669,813",12.2,341,1
,Enforcement and Compliance,"17,600,000","3,594,206","14,005,794",20.4,341,1
ICT and E-government Services,"ICT and E-government
Services","10,000,000","1,723,182","8,276,818",17.2,341,1
Sub Total,,"66,990,000","18,412,126","48,577,874",27.5,341,1
County Public Service Board,County Public Service Board,"22,789,000","6,325,634","16,463,366",27.8,341,1
Sub Total,,"22,789,000","6,325,634","16,463,366",27.8,341,1
Public Finance Management,County Funds,"289,000,000","200,500,000","88,500,000",69.4,342,0
,treasury services,"16,903,117","6,843,365","10,059,752",40.5,342,0
,Financial reporting,"5,315,000","2,615,377","2,699,623",49.2,342,0
,"Revenue Collection and
Administration (Including
automation)","20,150,000","13,608,496","6,541,504",67.5,342,0
,"Revenue Enhancement and
Monitoring","16,700,000","8,331,844","8,368,156",49.9,342,0
,Supply Chain Management,"6,880,000","4,072,521","2,807,479",20.2,342,0
,"Internal Audit and Risk Man-
agement","8,000,000","4,136,687","3,863,313",51.7,342,0
,Internal Audit committee,"3,000,000","1,870,174","1,129,826",62.3,342,0
"Economic planning and devel-
opment",County Budgeting,"13,898,750","7,606,541","6,292,209",54.7,342,0
,"County Statistics and Data
Bank","4,950,000","2,727,670","2,222,330",55.1,342,0
,Monitoring and Evaluation,"9,365,260","2,545,865","6,819,395",27.2,342,0
,"Economic Modelling and
Research","3,051,700","2,118,061","933,639",69.4,342,0
,"Economic Development
Planning","56,750,000","7,163,190","49,586,810",12.6,342,0
Sub Total,,"453,963,827","264,139,791","189,824,036",58.2,342,0
"Preventive and Promotive
Services","Preventive and Promotive
Services","6,271,274","3,172,780","3,098,494",50.6,342,0
Curative Services,Curative Services,"218,199,497","79,917,560","138,281,937",36.6,342,0
,"universal health care and
grants","309,636,578","34,485,564","275,151,014",11.1,342,0
"General administration, plan-
ning and support services",Solid Waste and Cemeteries,"4,900,000","1,331,810","3,568,190",27.2,342,0
,Infrastructure and Equipment,"301,971,038","7,576,433","294,394,605",2.5,342,0
Sub total,,"840,978,387","126,484,147","714,494,240",15,342,0
Primary education,ECDE,"83,652,219","8,342,980","75,309,239",10,342,0
"Youth training and develop-
ment","revitalization of youth poly-
technics","6,050,106","1,539,346","4,510,760",25.4,342,0
Culture,"development and promotion
of culture","7,830,000","1,065,420","6,764,580",13.6,342,0
Arts & Theatre,Arts & Theatre,"29,288,954","2,594,050","26,694,904",8.9,342,0
Sub Total,,"126,821,279","13,541,796","113,279,483",10.7,342,0
"Trade development and pro-
motion",Financial and Trade Services,"43,910,000","6,465,839","37,444,161",14.7,342,0
"Industrial development and
investment","Industrial and Enterprise
Development","134,825,000","1,206,662","133,618,338",0.9,342,0
,Weights & Measures,"2,920,000","1,724,377","1,195,623",59.1,342,0
"Cooperative development and
management",Cooperative advisory services,"16,530,000","5,377,349","11,152,651",32.5,342,0
,"cooperative audit extension
services","5,240,458","2,487,117","2,753,341",47.5,342,0
Urban development,Urban development,"42,759,912","3,220,263","39,539,649",7.5,342,0
Ol'kalou municipality,Ol'kalou municipality,"65,956,600","2,382,290","63,574,310",3.6,342,0
Sub Total,,"312,141,970","22,863,897","289,278,073",7.3,342,0
Sports,Sports Development,"92,725,000","9,525,988","83,199,012",10.3,342,0
Youth Affairs,Youth Affairs,"30,950,000","4,333,796","26,616,204",14,342,0
"Gender Affairs and Social Ser-
vices & youth empowerment",Social Services,"125,360,000","7,133,240","118,226,760",5.7,342,0
,"Gender Affairs and Social
Services","3,950,000","1,159,703","2,790,297",29.4,342,0
"General administration, plan-
ning and support services","Alcohol Drinks Control and
Civic Education","6,750,000","5,438,808","1,311,192",80.6,342,0
Sub Total,,"259,735,000","27,591,535","232,143,465",10.6,342,0
Water Resource Development.,"water resource conservation
and protection, infrastructure
and flood control","224,521,789","9,061,526","215,460,263",4,342,0
