Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
Rate (%)",page_number,table_index
The County Assembly,,,,,,356,0
,0707014210 SP1 Legislative and Oversight,"64,934,400","39,969,625","24,964,775",61.6,356,0
,"0707024210 SP2 County Assembly Admin-
istration","376,661,595","94,421,076","282,240,519",25.1,356,0
,0707034210 SP3 Representation,"231,578,035","120,331,527","111,246,508",52.0,356,0
,Subtotal,"673,174,030","254,722,228","418,451,802",37.8,356,0
The County Executive,,,,,,356,0
"0701004210 P1
Management of
County Affairs","0701014210 SP1 General Administration
and Support Services (Governor, Deputy
Governor)","239,215,344","103,397,086","135,818,258",43.2,356,0
,"0704014210 SP2 Administration of Human
Resources in County Public Service","69,487,568","22,136,640","47,350,928",31.9,356,0
,"0701034210 SP3 Sub County Administra-
tion","175,747,707","79,004,847","96,742,860",45.0,356,0
,"0701044210 SP4 Coordination, Supervi-
sion and Human Resource services (C S)","39,472,837","17,078,260","22,394,577",43.3,356,0
,Subtotal,"523,923,456","221,616,833","302,306,623",42.3,356,0
"Department of Finance, Economic Planning & ICT",,,,,,356,0
"0705004210
P1 General
Administra-
tion Planning
and Support
Services",0705014210 SP1 Administration Services,"367,427,417","73,788,987","293,638,430",20.1,356,0
,0705024210 SP2 ICT Services,"58,815,474","5,909,190","52,906,284",10.0,356,0
,Subtotal,"426,242,891","79,698,177","346,544,714",18.7,356,0
"0706004210 P2
Public Finance
Management",0706054210 SP5 Accounting Services,"42,811,010","5,998,892","36,812,118",14.0,356,0
,0706024210 SP2 Resource Mobilization,"68,034,838","31,706,397","36,328,441",46.6,356,0
,0706034210 SP3 Internal Audit,"19,713,870","5,183,941","14,529,929",26.3,356,0
,"0706044210 SP4 Supply Chain Manage-
ment","21,618,886","7,795,686","13,823,200",36.1,356,0
,"0706014210 SP1 Budget Formulation Co-
ordination and Management","13,242,800","4,722,047","8,520,753",35.7,356,0
,0706064210 SP6 Fiscal Planning,"40,767,280","8,721,528","32,045,752",21.4,356,0
,Subtotal,"206,188,684","64,128,491","142,060,193",31.1,356,0
"0713004210
P3 General
Administra-
tion Planning
and Support
Services","0713014210 SP1 General Administration
Planning and Support Services","7,551,952","1,311,274","6,240,678",17.4,356,0
,Subtotal,"7,551,952","1,311,274","6,240,678",17.4,356,0
"0712004210
P4 Special
Programmes",0712014210 SP 1 Special Programmes,"25,142,922","6,025,291","19,117,631",24.0,356,0
,Subtotal,"25,142,922","6,025,291","19,117,631",24.0,356,0
"Department Agriculture, Livestock Development, Veterinary Services & Fisheries",,,,,,356,0
"0101004210
P1 General
Administra-
tion Planning
and Support
Services","0101014210 SP1 Administration, Planning
and Support Services","566,282,323","28,710,262","537,572,061",5.1,356,0
,Subtotal,"566,282,323","28,710,262","537,572,061",5.1,356,0
"0103004210
P2 Livestock
Resource Man-
agement and
Development","0103014210 SP1 Livestock Policy Develop-
ment and Capacity Building","12,748,584","3,797,662","8,950,922",29.8,357,0
,"0103024210 SP2 Livestock Production and
Management","70,867,032","5,861,309","65,005,723",8.3,357,0
,"0103034210 SP3 Livestock Diseases Man-
agement and Control","25,799,666","5,287,948","20,511,718",20.5,357,0
,"0103044210 SP4 Livestock Marketing and
Rangeland Management","83,003,983","2,080,780","80,923,203",2.5,357,0
,Subtotal,"192,419,265","17,027,699","175,391,566",8.8,357,0
"0104004210 P4
Fisheries De-
velopment and
Management","0104014210 SP1 Management and Devel-
opment of Fisheries","11,149,552","1,727,942","9,421,610",15.5,357,0
,Subtotal,"11,149,552","1,727,942","9,421,610",15.5,357,0
"0105004210 P3
Crop Devel-
opment and
Management","0105014210 SP1 Lands and Crops Devel-
opment","53,738,776","11,132,192","42,606,584",20.7,357,0
,0105024210 SP2 Food Security Initiatives,"20,987,190","8,747,001","12,240,189",41.7,357,0
,Subtotal,"74,725,966","19,879,193","54,846,773",26.6,357,0
"Department Water, Environment, Natural Resources & Energy",,,,,,357,0
"1001004210
P1 General
Administra-
tion Planning
and Support
Services","1001014210 SP1 General Administration
Planning and Support Services","20,301,883","4,830,247","15,471,636",23.8,357,0
,Subtotal,"20,301,883","4,830,247","15,471,636",23.8,357,0
"1002004210 P2
Environmental
Management
and Protection","1002014210 SP1 County Environment
Management","27,565,922","564,398","27,001,524",2.0,357,0
,"1002024210 SP2 Forests Conservation and
Management","14,683,286","1,592,600","13,090,686",10.8,357,0
,Subtotal,"42,249,208","2,156,998","40,092,210",5.1,357,0
"1003004210
P3 Natural
Resources
Services","1003024210 SP2 Soil Conservation Man-
agement","5,015,494","193,770","4,821,724",3.9,357,0
,1003034210 SP3 Mining Services,"2,198,573",-,"2,198,573",0.0,357,0
,"1003044210 SP4 Water Catchment and
Protection Services","8,976,184","629,206","8,346,978",7.0,357,0
,Subtotal,"16,190,251","822,976","15,367,275",5.1,357,0
"1004004210
P4 Water and
Sanitation In-
frastructure",1004014210 SP1 Storm Water Management,"5,419,985",-,"5,419,985",0.0,357,0
,"1004024210 SP2 Water and Sanitation
Services","570,614,349","30,122,847","540,491,502",5.3,357,0
,Subtotal,"576,034,334","30,122,847","545,911,487",5.2,357,0
Department Education and Vocational Training,,,,,,357,0
"0501004210
P1 General
Administra-
tion Planning
and Support
Services","0501014210 SP1 General Administration
Planning and Support Services","206,613,119","119,692,835","86,920,284",57.9,357,0
,Subtotal,"206,613,119","119,692,835","86,920,284",57.9,357,0
"0502004210 P3
Youth Training
and Develop-
ment","SP 0504014210 Revitalisation of Youth
Polytechnics","21,736,692","2,837,135","18,899,557",13.1,357,0
,Subtotal,"21,736,692","2,837,135","18,899,557",13.1,357,0
"0502004210 P2
Early Child-
hood Devel-
opment and
Education","0502014210 SP1 Early Childhood Devel-
opment and Education","474,424,842","170,720,094","303,704,748",36.0,357,0
,Subtotal,"474,424,842","170,720,094","303,704,748",36.0,357,0
"Department Medical Services, Public Health & Sanitation",,,,,,357,0
