Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)",Variance (Kshs.),Absorption (%),page_number,table_index
"Adjudication, registry and settlement","28,970,100","1,113,000","27,857,100",3.8%,405,0
Delineation & adjudication of community land,"28,970,100","1,113,000","27,857,100",3.8%,405,0
Spatial Planning,"29,996,681","833,000","29,163,681",2.8%,405,0
Spatial Planning,"29,996,681","833,000","29,163,681",2.8%,405,0
"Formulation of community land policy and
regulations","18,306,895","231,000","18,075,895",1.3%,405,0
Urban Centre Mgt,"2,818,000",-,-,-,405,0
Urban Centre Mgt,"15,488,895","231,000","15,257,895",1.5%,405,0
"Compulsory land acquisition for public utili-
ties","9,915,561","336,000","9,579,561",3.4%,405,0
Land acquisition for public utilities,"9,915,561","336,000","9,579,561",3.4%,405,0
"Establishment and rehabilitation of public
utilities in Lodwar","15,427,500","49,000","15,378,500",0.3%,405,0
Improvement of Moi Garden Stadia,"15,427,500","49,000","15,378,500",0.3%,405,0
Revival of Turkana Fishermen Co-op. society,"70,100,000","2,940,400","67,159,600",4.2%,405,0
Revival of Turkana Fishermen Co-op. society,"27,900,000",-,-,-,405,0
Revival of Turkana Fishermen Co-op. society,"2,400,000","276,900","2,123,100",11.5%,405,0
Revival of Turkana Fishermen Co-op. society,"20,000,000",-,-,-,405,0
Spate Irrigation Technology,"14,300,000","669,200","13,630,800",4.7%,405,0
Rehabilitation,"3,000,000","744,300","2,255,700",24.8%,405,0
Soil & Water Conservation,"2,500,000","1,250,000","1,250,000",50.0%,405,0
Fish market infrastructure/ fish value addition,"62,581,789","1,031,940","61,549,849",1.6%,405,0
Fish market infrastructure/ fish value addition,"1,286,707","165,465","1,121,242",12.9%,405,0
Fisheries livelihood support,"49,604,051","224,470","49,379,581",0.5%,405,0
Fisheries Extension Services,"1,408,941","10,950","1,397,991",0.8%,405,0
Fisheries resource management,"4,090,000","423,160","3,666,840",10.3%,405,0
Fisheries resource management,"1,200,000",-,-,-,405,0
Fisheries resource management,"2,432,000","207,895","2,224,105",8.5%,405,0
Fish Farming & Aquaculture,"2,560,090",-,-,-,405,0
Sustainable management of fisheries resources,"55,362,229",-,-,-,405,0
Frame survey,"34,562,229",-,-,-,405,0
Fish Stock assessment,"5,800,000",-,-,-,405,0
"Monitoring, Control and Surveillance","4,800,000",-,-,-,405,0
Resource monitoring facilities,"10,200,000",-,-,-,405,0
Livestock breed improvement,"113,309,625","2,026,745","111,282,880",1.8%,405,0
"Establish livestock Multiplication and breeding
Centre.","22,189,972","441,515","21,748,457",2.0%,405,0
Provision of Livestock Extension services,"4,819,653","296,340","4,523,313",6.1%,405,0
Livestock multiplication and breeding centre,"38,100,000","490,200","37,609,800",1.3%,405,0
Livestock Value Chain,"39,700,000","437,890","39,262,110",1.1%,406,0
Skills Devt,"8,500,000","360,800","8,139,200",4.2%,406,0
General Administration,"299,113,718","171,570,457","127,543,261",57.4%,406,0
General Administration,"152,985,184","98,890,664","54,094,520",64.6%,406,0
"General Administration and Support Services-
Pastoral Economy and","53,614,199","23,476,174","30,138,025",43.8%,406,0
"General Administration, Planning and Support
Services – Lands General Administration,
Planning and Support Services - Lands","92,514,335","49,203,619","43,310,716",53.2%,406,0
Agriculture Programme,"91,695,571","19,545,003","72,150,568",21.3%,406,0
Agri-nutrition/Urban & peri-urban agriculture,"6,117,628","497,000","5,620,628",8.1%,406,0
"Agricultural Sector Development Support
Programme (ASDSP)","49,077,943","18,306,003","30,771,940",37.3%,406,0
Agricultural Mechanization,"5,700,000",-,-,-,406,0
Agriculture market Access,"1,800,000","301,000","1,499,000",16.7%,406,0
Agriculture Extension & Development,"22,000,000",-,-,-,406,0
Subsidy & Support,"4,000,000","441,000","3,559,000",11.0%,406,0
Pest Control & Management,"3,000,000",-,-,-,406,0
Land Governance,"124,884,371",-,-,-,406,0
Land Policies,"124,884,371",-,-,-,406,0
,"277,065,502","6,500,000","270,565,502",2.3%,406,0
NARIGP,"277,065,502","6,500,000","270,565,502",2.3%,406,0
,"206,000,000",-,-,-,406,0
DRNKP/KfW,"206,000,000",-,-,-,406,0
,"120,206,667",-,-,-,406,0
Emergency Locust Response Project,"120,206,667",-,-,-,406,0
Develop and maintain roads,"306,625,681","15,992,540","290,633,141",5.2%,406,0
"Annual Roads Inventory and Conditional
Survey (ARICS)","2,500,000","335,540","2,164,460",13.4%,406,0
Roads maintenance levy fund (RMLF),"297,125,681","14,787,000","282,338,681",5.0%,406,0
Roads,"7,000,000","870,000","6,130,000",12.4%,406,0
"Develop and maintain staff housing and public
offices","5,000,000",-,-,-,406,0
Protection and gabion works of lokichar river,"5,000,000",-,-,-,406,0
Develop and maintain other public works,"4,150,000","1,431,600","2,718,400",34.5%,406,0
Capacity Building,"1,800,000","900,000","900,000",50.0%,406,0
