Department / Programme / Sub- Programme,Approved Budget,Actual Payments,Variance,Absorption,page_number,table_index
,Kshs.,Kshs.,Kshs.,Percentage,422,1
Governor's Office,"122,399,629","52,962,870","69,436,759",43.3%,422,1
Administration,"108,215,739","45,475,544","62,740,196",42.0%,422,1
,Kshs.,Kshs.,Kshs.,Percentage,423,0
Administration And Support Services,"108,215,739","45,475,544","62,740,196",42.0%,423,0
Inter-Governmental Committee,"500,000","479,851","20,149",96.0%,423,0
Administration And Support Services,"500,000","479,851","20,149",96.0%,423,0
,"9,183,890","3,644,690","5,539,200",39.7%,423,0
Administration And Support Services,"9,183,890","3,644,690","5,539,200",39.7%,423,0
,"4,500,000","3,362,786","1,137,215",74.7%,423,0
Administration And Support Services,"4,500,000","3,362,786","1,137,215",74.7%,423,0
Finance And Economic Planning,"283,994,959","112,147,534","171,847,425",39.5%,423,0
Administration,"244,644,959","85,348,637","159,296,323",34.9%,423,0
Public Finance Management,"244,644,959","85,348,637","159,296,323",34.9%,423,0
Revenue Section,"29,500,000","22,547,118","6,952,882",76.4%,423,0
Public Finance Management,"29,500,000","22,547,118","6,952,882",76.4%,423,0
Accounts Section,"4,350,000","2,155,525","2,194,475",49.6%,423,0
Public Finance Management,"4,350,000","2,155,525","2,194,475",49.6%,423,0
Procurement And Supplies Section,"3,500,000","1,237,050","2,262,950",35.3%,423,0
Public Finance Management,"3,500,000","1,237,050","2,262,950",35.3%,423,0
Internal Audit Section,"2,000,000","859,205","1,140,796",43.0%,423,0
Public Finance Management,"2,000,000","859,205","1,140,796",43.0%,423,0
Public Service Management,"823,260,230","266,238,346","557,021,884",32.3%,423,0
Administration,"748,990,499","230,321,588","518,668,911",30.8%,423,0
Administration And Support Services,"738,575,231","230,321,588","508,253,643",31.2%,423,0
Human Resource Management And Development,"2,000,000",-,"2,000,000",0.0%,423,0
County Governance Support Services,"8,415,268",-,"8,415,268",0.0%,423,0
Communication Section,"13,170,000","2,325,360","10,844,640",17.7%,423,0
Administration And Support Services,"13,170,000","2,325,360","10,844,640",17.7%,423,0
Legal Section,"54,304,731","31,192,055","23,112,676",57.4%,423,0
Administration And Support Services,"54,304,731","31,192,055","23,112,676",57.4%,423,0
Registry Section,"405,000","60,000","345,000",14.8%,423,0
Administration And Support Services,"405,000","60,000","345,000",14.8%,423,0
Human Resource Section,"6,390,000","2,339,343","4,050,657",36.6%,423,0
Administration And Support Services,"6,390,000","2,339,343","4,050,657",36.6%,423,0
ICT And E-Government,"83,271,842","9,460,534","73,811,308",11.4%,423,0
Administration- ICT And E-Government,"83,271,842","9,460,534","73,811,308",11.4%,423,0
ICT Infrastructure Development,"20,622,902","7,464,884","13,158,018",36.2%,423,0
Administrative Support Services,"62,648,940","1,995,650","60,653,290",3.2%,423,0
"Roads, Transport And Infrastructure","1,099,191,298","351,117,485","748,073,813",31.9%,423,0
Administration,"210,118,213","99,006,823","111,111,390",47.1%,423,0
Roads Infrastructure Development,"210,118,213","99,006,823","111,111,390",47.1%,423,0
Roads Department,"776,623,085","236,833,024","539,790,061",30.5%,423,0
Roads Infrastructure Development,"776,623,085","236,833,024","539,790,061",30.5%,423,0
Public Works Department,"12,250,000","461,241","11,788,759",3.8%,423,0
Roads Infrastructure Development,"2,250,000","461,241","1,788,759",20.5%,423,0
Administration Support Services,"10,000,000",-,"10,000,000",0.0%,423,0
Transport Department,"10,250,000",-,"10,250,000",0.0%,423,0
Disaster Management,"10,250,000",-,"10,250,000",0.0%,423,0
,"89,950,000","14,816,397","75,133,603",16.5%,423,0
Street Lighting Services,"89,950,000","14,816,397","75,133,603",16.5%,423,0
"Lands, Housing And Physical Planning","511,729,804","72,459,617","439,270,187",14.2%,423,0
Administration,"134,716,241","23,658,817","111,057,424",17.6%,423,0
Land Policy And Management,"134,716,241","23,658,817","111,057,424",17.6%,423,0
Physical Planning Section,"376,013,563","48,800,800","327,212,763",13.0%,423,0
Crop Development And Management,"277,959,803","589,800","277,370,003",0.2%,423,0
Land Policy And Management,"98,053,760","48,211,000","49,842,760",49.2%,423,0
Survey Section,"1,000,000",-,"1,000,000",0.0%,423,0
Land Policy And Management,"1,000,000",-,"1,000,000",0.0%,423,0
,Kshs.,Kshs.,Kshs.,Percentage,424,0
,,,,,424,0
"Water, Environment, Energy And Natural Resources","536,273,379","188,009,330","348,264,049",35.1%,424,0
Administration,"182,952,491","55,574,523","127,377,968",30.4%,424,0
Water Supply Services,"182,952,491","55,574,523","127,377,968",30.4%,424,0
Environment Section,"46,100,000",-,"46,100,000",0.0%,424,0
Rural Electrification,"28,100,000",-,"28,100,000",0.0%,424,0
Environmental Management And Protection,"18,000,000",-,"18,000,000",0.0%,424,0
Water Section,"297,220,888","132,434,807","164,786,081",44.6%,424,0
Water Supply Services,"297,220,888","132,434,807","164,786,081",44.6%,424,0
Energy Section,"10,000,000",-,"10,000,000",0.0%,424,0
Tourism Development And Marketing,"10,000,000",-,"10,000,000",0.0%,424,0
Health Services,"2,472,896,621","1,010,843,470","1,462,053,151",40.9%,424,0
Administration,"2,253,837,616","976,056,648","1,277,780,968",43.3%,424,0
Administration And Support Services,"2,001,837,616","811,401,706","1,190,435,910",40.5%,424,0
Health Infrastructure,"3,000,000",-,"3,000,000",0.0%,424,0
Curative Health Services,"249,000,000","164,654,942","84,345,058",66.1%,424,0
Clinical Services,"214,059,005","34,129,222","179,929,783",15.9%,424,0
Clinical Services,"214,059,005","34,129,222","179,929,783",15.9%,424,0
Prevention And Health Promotion,"5,000,000","657,600","4,342,400",13.2%,424,0
Public Health Services,"5,000,000","657,600","4,342,400",13.2%,424,0
"Agriculture, Livestock And Fisheries","722,865,965","82,685,674","640,180,291",11.4%,424,0
Administration-,"238,250,651","67,564,012","170,686,639",28.4%,424,0
Crop Development And Management,"3,600,000",-,"3,600,000",0.0%,424,0
Administration Support Services,"234,650,651","67,564,012","167,086,639",28.8%,424,0
Livestock,"5,000,000",-,"5,000,000",0.0%,424,0
Crop Development And Management,"5,000,000",-,"5,000,000",0.0%,424,0
Agriculture,"442,072,377","14,293,999","427,778,378",3.2%,424,0
Livestock Resource Management And Development,"2,500,000","1,361,920","1,138,080",54.5%,424,0
Crop Development And Management,"439,572,377","12,932,079","426,640,298",2.9%,424,0
Chebororwa Training Center,"991,238","6,000","985,238",0.6%,424,0
Agricultural Training Services - Chebororwa,"991,238","6,000","985,238",0.6%,424,0
Agricultural Machinery Service,"36,551,699","821,663","35,730,036",2.2%,424,0
Agricultural Mechanization Services,"36,551,699","821,663","35,730,036",2.2%,424,0
"Trade, Cooperatives, Tourism And Wildlife","164,197,467","50,730,056","113,467,411",30.9%,424,0
Administration-,"90,075,353","43,199,582","46,875,771",48.0%,424,0
Administration And Support Services,"90,075,353","43,199,582","46,875,771",48.0%,424,0
Trade Department,"74,122,114","7,530,474","66,591,640",10.2%,424,0
Trade Development And Investment,"29,850,000",-,"29,850,000",0.0%,424,0
Market Services,"44,272,114","7,530,474","36,741,640",17.0%,424,0
,,,,,424,0
"Education, Social Cultural, Youth And Sports","630,091,552","299,479,291","330,612,261",47.5%,424,0
Administration,"272,474,665","134,503,965","137,970,700",49.4%,424,0
Administration And Support Services,"267,474,665","130,503,965","136,970,700",48.8%,424,0
Basic Education,"5,000,000","4,000,000","1,000,000",80.0%,424,0
Education Department,"253,900,000","148,805,566","105,094,434",58.6%,424,0
Basic Education,"241,900,000","148,805,566","93,094,434",61.5%,424,0
Early Childhood Education And Training,"12,000,000",-,"12,000,000",0.0%,424,0
Department Of Culture,"21,986,715","14,833,280","7,153,435",67.5%,424,0
Administration And Support Services,"16,000,000","14,833,280","1,166,720",92.7%,424,0
Community Development Services,"5,986,715",-,"5,986,715",0.0%,424,0
Social Service Department,"76,230,172","858,980","75,371,192",1.1%,424,0
Social Development Services,"76,230,172","858,980","75,371,192",1.1%,424,0
,"5,500,000","477,500","5,022,500",8.7%,424,0
,Kshs.,Kshs.,Kshs.,Percentage,425,0
Social Development Services,"5,500,000","477,500","5,022,500",8.7%,425,0
County Public Service Board,"66,049,506","17,086,463","48,963,043",25.9%,425,0
Headquarters,"66,049,506","17,086,463","48,963,043",25.9%,425,0
Administration And Support Services,"66,049,506","17,086,463","48,963,043",25.9%,425,0
County Assembly,"807,791,808","430,482,196","377,309,612",53.3%,425,0
Headquarters,"807,791,808","430,482,196","377,309,612",53.3%,425,0
County Planning And Economic Policy Management,"807,791,808","430,482,196","377,309,612",53.3%,425,0
Budget And Economic Planning,"150,913,087","56,051,004","94,862,083",37.1%,425,0
,"83,163,087","28,862,484","54,300,603",34.7%,425,0
County Planning And Economic Policy Management,"83,163,087","28,862,484","54,300,603",34.7%,425,0
,"10,600,000","5,084,600","5,515,400",48.0%,425,0
County Planning And Economic Policy Management,"10,600,000","5,084,600","5,515,400",48.0%,425,0
,"15,000,000","8,502,480","6,497,520",56.7%,425,0
County Planning And Economic Policy Management,"15,000,000","8,502,480","6,497,520",56.7%,425,0
,"42,150,000","13,601,440","28,548,560",32.3%,425,0
County Planning And Economic Policy Management,"42,150,000","13,601,440","28,548,560",32.3%,425,0
Devolution And Public Administration,"278,754,666","48,530,299","230,224,367",17.4%,425,0
,"278,754,666","48,530,299","230,224,367",17.4%,425,0
Administration Support Services,"152,513,277","3,864,649","148,648,628",2.5%,425,0
Administration And Support Services,"126,241,389","44,665,650","81,575,739",35.4%,425,0
,,,,,425,0
Youth And Sports Development,"395,932,258","171,009,489","224,922,769",43.2%,425,0
Administration,"174,554,023","38,328,972","136,225,051",22.0%,425,0
Administration And Support Services,"174,454,023","38,328,972","136,125,051",22.0%,425,0
"Management And Development Of Sports And Sports
Facilities","100,000",-,"100,000",0.0%,425,0
,"119,954,597","101,471,520","18,483,077",84.6%,425,0
Administration And Support Services,"51,900,000","50,819,320","1,080,680",97.9%,425,0
Youth Training And Development,"68,054,597","50,652,200","17,402,397",74.4%,425,0
,"101,423,638","31,208,997","70,214,641",30.8%,425,0
Tourism Development And Marketing,"64,000,000","9,343,582","54,656,418",14.6%,425,0
Administration And Support Services,"31,023,638","21,407,315","9,616,323",69.0%,425,0
"Management And Development Of Sports And Sports
Facilities","6,400,000","458,100","5,941,900",7.2%,425,0
Cooperatives And Enterprise Development,"88,935,077","15,248,372","73,686,705",17.1%,425,0
Administration,"48,535,077","10,712,892","37,822,185",22.1%,425,0
Weights And Measurements,"1,000,000",-,"1,000,000",0.0%,425,0
Cooperatives Development And Marketing,"47,535,077","10,712,892","36,822,185",22.5%,425,0
,"40,400,000","4,535,480","35,864,520",11.2%,425,0
Weights And Measurements,"40,400,000","4,535,480","35,864,520",11.2%,425,0
Livestock Development And Fisheries,"185,327,687","24,654,963","160,672,724",13.3%,425,0
Administration,"61,790,589","23,954,963","37,835,626",38.8%,425,0
Crop Development And Management,"61,790,589","23,954,963","37,835,626",38.8%,425,0
,"7,000,000",-,"7,000,000",0.0%,425,0
Fisheries Development,"7,000,000",-,"7,000,000",0.0%,425,0
,"116,537,098","700,000","115,837,098",0.6%,425,0
Livestock Resource Management And Development,"103,340,000",-,"103,340,000",0.0%,425,0
Agribusiness Development,"13,197,098","700,000","12,497,098",5.3%,425,0
Physical Planning And Urban Development,"100,995,452","14,444,514","86,550,938",59.6%,425,0
Administration,"36,551,322","7,914,286","28,637,036",21.7%,425,0
