Program,Sub Program,Approved Budget,Actual Payments,Variance,"Absorption
(%)",page_number,table_index
,,KShs,KShs,KShs,,431,1
"Administration,
Planning and Support
Service",,"863,377,009.00","239,461,841.50","623,915,167.50",27.7,431,1
,Administrative Service,"863,377,009.00","239,461,841.50","623,915,167.50",27.7,431,1
"Livestock Development
and Management",,"1,470,357.00",0,"1,470,357.00",0.0,431,1
,"Veterinary Services and
Extension","1,470,357.00",0,"1,470,357.00",0.0,431,1
"Fisheries Development
and Management",,"9,700,000.00",0,"9,700,000.00",0.0,431,1
,Promotion of Fish Farming,"9,700,000.00",0,"9,700,000.00",0.0,431,1
"Crop Development and
Management",,"7,500,000.00",0,"7,500,000.00",0.0,431,1
,Crop Extension,"8,800,000.00",0,"8,800,000.00",0.0,431,1
,"Cash Crop Production and
Development","-1,300,000.00",0,"-1,300,000.00",0.0,431,1
,,KShs,KShs,KShs,,432,0
"Cooperatives Develop-
ment",,"21,850,000.00","3,480,800.00","18,369,200.00",15.9,432,0
,"Cooperative Development
Services","21,850,000.00","3,480,800.00","18,369,200.00",15.9,432,0
"Land Survey and Map-
ping Services",,"1,500,000.00","671,300.00","828,700.00",44.8,432,0
,Land Survey and Mapping,"1,500,000.00","671,300.00","828,700.00",44.8,432,0
"1 Urban and Physical
Planning and Housing
Services",,"158,220,399.00",0,"158,220,399.00",0.0,432,0
,"Urban and Physical Plan-
ning","1,000,000.00",0,"1,000,000.00",0.0,432,0
,"Vihiga Municipality
{KUSP}","157,220,399.00",0,"157,220,399.00",0.0,432,0
"Administration,
Planning and Support
Service",,"849,467,243.00","22,085,211.00","827,382,032.00",2.6,432,0
,Administrative Service,"849,467,243.00","22,085,211.00","827,382,032.00",2.6,432,0
Transport Management,,"11,402,400.00",0,"11,402,400.00",0.0,432,0
,"Transport System Manage-
ment","11,402,400.00",0,"11,402,400.00",0.0,432,0
"Infrastructure Develop-
ment",,"800,000.00",0,"800,000.00",0.0,432,0
,Roads Maintenance,"800,000.00",0,"800,000.00",0.0,432,0
"Administration,
Planning and Support
Service",,"100,922,081.00","34,875,133.00","66,046,948.00",34.6,432,0
,Administrative Service,"100,922,081.00","34,875,133.00","66,046,948.00",34.6,432,0
"Trade Development and
Investment",,"-1,000,000.00",0,"-1,000,000.00",0.0,432,0
,"Market Development and
Management","-1,000,000.00",0,"-1,000,000.00",0.0,432,0
,"Business Support and Con-
sumer Protection",0,0,0,0.0,432,0
Tourism Development,,"2,000,000.00",0,"2,000,000.00",0.0,432,0
,"Tourism Promotion and
Branding","2,000,000.00",0,"2,000,000.00",0.0,432,0
"Administration,
Planning and Support
Service",,"1,705,426,516.00","527,451,673.60","1,177,974,842.40",30.9,432,0
,Administrative Service,"974,272,429.00","310,072,245.45","664,200,183.55",31.8,432,0
,"Human Resource Manage-
ment and Development","734,646,886.00","217,379,428.15","517,267,457.85",29.6,432,0
,Healthcare Financing,"-3,492,799.00",0,"-3,492,799.00",0.0,432,0
"Promotive and Preven-
tive Healthcare Services",,"-9,727,750.00","431,200.00","-10,158,950.00",-4.4,432,0
,Public Health Services,"1,500,000.00",0,"1,500,000.00",0.0,432,0
,"Community Health
Strategy","-18,527,750.00",0,"-18,527,750.00",0.0,432,0
,Health Promotion,"3,000,000.00",0,"3,000,000.00",0.0,432,0
,Reproductive Healthcare,"3,500,000.00","431,200.00","3,068,800.00",12.3,432,0
,"Disease Surveillance and
Emergency","800,000.00",0,"800,000.00",0.0,432,0
"Curative And Rehabili-
tative Health Services",,"94,150,000.00","1,246,000.00","92,904,000.00",1.3,432,0
,Medical services,"93,950,000.00","1,246,000.00","92,704,000.00",1.3,432,0
,County referral services,"200,000.00",0,"200,000.00",0.0,432,0
"Child and Maternal
Health Care",,"57,495,226.00",0,"57,495,226.00",0.0,432,0
,"Antenatal and Post Natal
healthcare","4,000,000.00",0,"4,000,000.00",0.0,432,0
,"Antenatal and Post Natal
Healthcare","571,000.00",0,"571,000.00",0.0,432,0
,"Newborn, Child and Ado-
lescent Health","1,200,000.00",0,"1,200,000.00",0.0,432,0
,Nutrition Services,"51,724,226.00",0,"51,724,226.00",0.0,432,0
"Administration,
Planning and Support
Service",,"263,879,212.00","60,144,315.00","203,734,897.00",22.8,432,0
,Administrative Service,"263,879,212.00","60,144,315.00","203,734,897.00",22.8,432,0
,,KShs,KShs,KShs,,433,0
"Vocational Education
and Training",,"49,557,261.00",0,"49,557,261.00",0.0,433,0
,"Youth Polytechnic Devel-
opment","49,557,261.00",0,"49,557,261.00",0.0,433,0
"Early Childhood Devel-
opment",,"136,311,398.00","58,169,841.50","78,141,556.50",42.7,433,0
,ECD Development,"136,311,398.00","58,169,841.50","78,141,556.50",42.7,433,0
"Administration,
Planning and Support
Service",,"1,733,994,827.00","449,181,098.10","1,284,813,728.90",25.9,433,0
,Administrative Service,"1,676,867,142.00","441,859,140.60","1,235,008,001.40",26.4,433,0
,County Administration,"9,470,000.00","1,178,600.00","8,291,400.00",12.5,433,0
,"County Radio Information
Services","47,657,685.00","6,143,357.50","41,514,327.50",12.9,433,0
"Public Finance Manage-
ment",,"29,782,764.00","4,651,080.00","25,131,684.00",15.6,433,0
,"Public Finance Manage-
ment","3,700,000.00","1,414,000.00","2,286,000.00",38.2,433,0
,Accounting Services,"3,100,000.00","1,141,780.00","1,958,220.00",36.8,433,0
,Audit Services,"16,750,000.00","1,537,600.00","15,212,400.00",9.2,433,0
,"Budget Formulation Coor-
dination","8,000,000.00",0,"8,000,000.00",0.0,433,0
,Resource Mobilization,"-8,878,376.00","557,700.00","-9,436,076.00",-6.3,433,0
,"Budget Expenditure Man-
agement","7,111,140.00",0,"7,111,140.00",0.0,433,0
"County Planning Ser-
vices",,"900,000.00","46,000.00","854,000.00",5.1,433,0
,Monitoring and Evaluation,"-1,200,000.00","46,000.00","-1,246,000.00",-3.8,433,0
,"Coordination of Policy
Formulation and Plans","2,100,000.00",0,"2,100,000.00",0.0,433,0
"Management and Ad-
ministration of County
Services",,"37,124,100.00","1,702,800.00","35,421,300.00",4.6,433,0
,County Secretary,"4,000,000.00",0,"4,000,000.00",0.0,433,0
,Legal Services,"33,124,100.00","1,702,800.00","31,421,300.00",5.1,433,0
"Administration,
Planning and Support
Service",,"50,861,704.00","8,743,050.00","42,118,654.00",17.2,433,0
,Administrative Service,"50,861,704.00","8,743,050.00","42,118,654.00",17.2,433,0
903004860,,"1,456,258.00","2,833,050.00","-1,376,792.00",194.5,433,0
,Promotion of Sports,"-12,050,000.00","2,833,050.00","-14,883,050.00",-23.5,433,0
,"Promotion of Culture and
Heritage","13,506,258.00",0,"13,506,258.00",0.0,433,0
904004860,,"-6,282,000.00","-249,000.00","-6,033,000.00",4.0,433,0
,Social Protection,"-2,850,000.00",0,"-2,850,000.00",0.0,433,0
,"Gender, Children, Youth
and People with Disability","-3,432,000.00","-249,000.00","-3,183,000.00",7.3,433,0
"Administration,
Planning and Support
Service",,"215,938,044.00","41,134,731.30","174,803,312.70",19.1,433,0
,Administrative Service,"215,938,044.00","41,134,731.30","174,803,312.70",19.1,433,0
"Water Supply and Ad-
ministration",,"7,651,391.00","551,600.00","7,099,791.00",7.2,433,0
,Water Supply Management,"5,348,637.00","551,600.00","4,797,037.00",10.3,433,0
,Waste Water Management,"2,302,754.00",0,"2,302,754.00",0.0,433,0
"Environmental Manage-
ment Services",,"8,600,000.00",0,"8,600,000.00",0.0,433,0
,"Environmental Protection
and Conservation","8,600,000.00",0,"8,600,000.00",0.0,433,0
"Natural Resource Man-
agement",,"4,550,000.00",0,"4,550,000.00",0.0,433,0
,"Natural Resources man-
agement","4,550,000.00",0,"4,550,000.00",0.0,433,0
Grand Total,,"6,408,878,440.00","1,456,611,725.00","1,848,820,836.50",22.7,433,0
