Department,Programme,"Approved Budget
(Kshs)","Actual Payment
(Kshs)","s
Variance (Kshs.)","Absorption
(%)",page_number,table_index,"Actual Payments
(Kshs)",Variance (Kshs.)
"County Exec-
utive",,"215,500,000","141,863,474","73,636,526",65.8,49,1,,
,Operations and Maintenance,"215,500,000","141,863,474","73,636,526",65.8,49,1,,
County Public Service Board,,"40,406,540","22,969,262","17,437,278",56.8,49,1,,
,Development,"6,000,000",,"- 6,000,000",-,49,1,,
,Operations and Maintenance,"34,406,540","22,969,262","11,437,278",66.8,49,1,,
Department of Administration,,"54,535,461","14,365,650","40,169,811",26.3,49,1,,
,Centre for Devolved Governance,"200,000",,"- 200,000",-,49,1,,
I,"nfrastructure Development and Equip-
ment","22,500,000",,"- 22,500,000",-,49,1,,
,Operations and Maintenance,"31,835,461","14,365,650","17,469,811",45.1,49,1,,
"Department of Agriculture, Livestock and Veterinary Ser-
vices",,"590,443,577","24,115,794","566,327,783",4.1,49,1,,
,Crop Development and Management,"508,877,257",,"- 508,877,257",-,49,1,,
,"Livestock, Fisheries & Veterinary Services","64,976,320","8,839,675","56,136,645",13.6,49,1,,
,Operations and Maintenance,"16,590,000","15,276,119","1,313,881",92.1,49,1,,
Department of Cooperatives and Enterprise Development,,"107,843,230","5,907,275","101,935,955",5.5,49,1,,
,Agribusiness Development and Marketing,"45,600,000","4,905,100","40,694,900",10.8,49,1,,
,Enterprise Development Fund,"40,500,000",,,-,50,0,-,"40,500,000"
,Operations and Maintenance,"21,490,030",,,4.7,50,0,"1,002,175","20,487,855"
,"Policy Formulation, Review, and Adminis-
tration","253,200",,,-,50,0,-,"253,200"
Department of Economic Planning,,"351,239,501",,,17.9,50,0,"62,752,923","288,486,578"
,Budget Preparation and Management,"9,770,000",,,64.4,50,0,"6,290,300","3,479,700"
,KDSP (Level 1 Grant),"48,000,000",,,18.6,50,0,"8,946,855","39,053,145"
,KDSP (Level 2 Grant),"201,353,974",,,-,50,0,-,"201,353,974"
,Monitoring and Evaluation Services,"4,000,000",,,91.3,50,0,"3,650,000","350,000"
,Operations and Maintenance,"78,494,653",,,39.9,50,0,"31,342,568","47,152,085"
,Planning and Statistics,"9,620,874",,,130.2,50,0,"12,523,200","(2,902,326)"
Department of Education and Vocational Training,,"413,124,051",,,22.2,50,0,"91,745,997","321,378,054"
,"Early Childhood Development and Educa-
tion","221,270,837",,,22.9,50,0,"50,729,008","170,541,829"
,Operations and Maintenance,"8,679,590",,,100.3,50,0,"8,706,291","(26,701)"
,"Policy, Planning, and General Administra-
tive Services","183,173,624",,,17.6,50,0,"32,310,698","150,862,926"
Department of Finance,,"377,002,899",,,57.5,50,0,"216,839,145","160,163,754"
,Financial Management Services,"243,997,469",,,49.6,50,0,"121,079,763","122,917,707"
,Operations and Maintenance,"133,005,430",,,72.0,50,0,"95,759,383","37,246,047"
"Department of Information, Communication, and Tech-
nology",,"35,205,000",,,30.4,50,0,"10,693,547","24,511,453"
,"Information Communication Technology
(ICT) Services","12,000,000",,,14.4,50,0,"1,728,400","10,271,600"
,Operations and Maintenance,"23,205,000",,,38.6,50,0,"8,965,147","14,239,853"
"Department of Lands, Housing and Urban Planning",,"243,307,578",,,10.8,50,0,"26,252,603","217,054,975"
,Housing Development,"8,175,000",,,14.5,50,0,"1,188,300","6,986,700"
,Lands Development,"36,000,000",,,22.3,50,0,"8,027,664","27,972,336"
,Municipality,"142,307,578",,,1.0,50,0,"1,455,600","140,851,978"
,Operations and Maintenance,"7,380,000",,,42.8,50,0,"3,159,280","4,220,720"
,Urban Management,"49,445,000",,,25.1,50,0,"12,421,759","37,023,241"
Department of Medical Services and Public Health,,"2,137,799,187",,,52.4,50,0,"1,120,854,903","1,016,944,284"
,Curative Services,"207,697,381",,,51.4,50,0,"106,674,624","101,022,757"
,Health Care Financing,"192,238,000",,,70.9,50,0,"136,333,000","55,905,000"
,Health Infrastructure,"240,407,763",,,6.5,50,0,"15,609,914","224,797,849"
,Human Resources for Health Services,"1,252,531,842",,,67.0,50,0,"838,932,675","413,599,167"
,Preventing and Promotive Services,"110,129,352",,,3.6,50,0,"3,970,750","106,158,602"
,Reproductive Health Services,"134,794,849",,,14.3,50,0,"19,333,940","115,460,909"
Department of Public Service,,"2,009,933,665",,,62.8,50,0,"1,261,460,509","748,473,156"
,Operations and Maintenance,"208,000,000",,,41.5,50,0,"86,324,207","121,675,793"
,Salaries and Wages,"1,801,933,665",,,65.2,50,0,"1,175,136,302","626,797,363"
Department of Roads Public Works and Transport,,"773,911,743",,,89.2,50,0,"690,178,599","83,733,145"
,County Transport Infrastructure,"11,500,000",,,70.3,50,0,"8,085,920","3,414,080"
,"Development and Maintenance of other
Public works","222,817,000",,,81.4,50,0,"181,282,032","41,534,968"
