Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
AGRICULTURE,,,,,,69,1
"CP 1: General Admin-
istration and support
services","Administrative support ser-
vice","238,051,956","63,184,480","174,867,476",26.5,69,1
"CP 2: Crop Production
and management","CSP 2.1 Input support ser-
vices","2,000,000",-,"2,000,000",-,69,1
,CSP 2.2: Crop development,"3,000,000","999,320","2,000,680",33.3,69,1
,CSP 2.3: Crop protection,"2,000,000",-,"2,000,000",-,69,1
"CP 3: Land Use and
Management","CSP 3.1: Agricultural mecha-
nization","2,000,000",-,"2,000,000",-,69,1
"CP 4: Agricultural
Training and Extension
services","CSP 4.1: Agriculture exten-
sion services","2,000,000",-,"2,000,000",-,69,1
,"CSP 4.2: Agricultural Train-
ing services","80,236,573","9,566,806","70,669,767",11.9,69,1
"CP 5: Agribusiness and
agricultural value chain
Development",CSP 5.1: Value addition,"12,000,000",-,"12,000,000",-,69,1
"CP 6: Agricultural
financial support
services","CSP 6.1: Agricultural credit
support services","3,000,000","292,371","2,707,629",9.7,69,1
"CP 7: Kenya Climate
Smart Agriculture
Programme","CSP 7.1: Kenya Climate
SMART","403,428,590","13,968,961","389,459,629",3.5,69,1
"CP 8: Fisheries and
Aquaculture Resources
Development","CSP 8.1: Aquaculture devel-
opment","16,000,000",-,"16,000,000",-,69,1
,"CSP 8.2: Fisheries training in-
frastructure development","5,000,000",-,"5,000,000",-,69,1
,"CSP 8.3: Fish value addition
and marketing","4,000,000",-,"4,000,000",-,69,1
,"CSP 8.4: Lake based aquacul-
ture parks","5,000,000",-,"5,000,000",-,69,1
"CP 9: Veterinary
Health Services","CSP 9.1: Veterinary Disease
control","11,138,104","1,984,500","9,153,604",17.8,70,0
,CSP 9.2:AI services,"3,500,000",-,"3,500,000",-,70,0
,"CSP 9.3 Meat inspection ser-
vices","3,000,000",-,"3,000,000",-,70,0
,CSP 9.4 Veterinary Extension,"6,000,000",-,"6,000,000",-,70,0
"CP 10: Livestock pro-
duction& Development","CSP 10.1: Livestock produc-
tion improvement","14,650,000",-,"14,650,000",-,70,0
,"CSP 10.2: Livestock Exten-
sion","3,428,986",-,"3,428,986",-,70,0
