Program,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Assembly,,,,,,79,1
"General administration, planning and support
services",,"226,239,780.00","210,708,572.00","15,531,208.00",93,79,1
,"General administration, planning
and support services","226,239,780.00","210,708,572.00","15,531,208.00",93,79,1
Legislation and representation,,"312,835,742.00","234,636,698.00","78,199,044.00",75,79,1
,Legislation and representation,"312,835,742.00","234,636,698.00","78,199,044.00",75,79,1
Legislative oversight,,"54,179,450.00","52,163,590.00","2,015,860.00",96,79,1
,Legislative oversight,"54,179,450.00","52,163,590.00","2,015,860.00",96,79,1
Sub Total for County Assembly,,"593,254,972.00","497,508,860.00","95,746,112.00",84,79,1
,,,,,,79,1
Office of the Governor,,,,,,79,1
Program,Sub Program,Approved Budget,Actual Payments,Variance,Absorption,79,1
General administration and support services,,"176,099,179.00","120,111,693.40","55,987,485.60",68,79,1
,"General administration and sup-
port services","176,099,179.00","120,111,693.40","55,987,485.60",68,79,1
Governance,,"49,895,562.00","15,947,728.55","33,947,833.45",32,80,0
,Governance,"49,895,562.00","15,947,728.55","33,947,833.45",32,80,0
Sub Total for Office of the Governor,,"225,994,741.00","136,059,421.95","89,935,319.05",60,80,0
,,,,,,80,0
Finance & Economic Planning,,,,,,80,0
General administration and support services,,"93,216,406.00","46,455,461.25","46,760,944.75",50,80,0
,"General administration and sup-
port services","93,216,406.00","47,514,461.25","45,701,944.75",51,80,0
,Financial Services,-,"(1,059,000.00)","1,059,000.00",-,80,0
Financial Management,,"125,534,976.00","80,527,887.10","45,007,088.90",64,80,0
,"Monitoring, Evaluation and re-
porting","2,290,000.00","1,042,090.00","1,247,910.00",46,80,0
,Economic Planning & Budgeting,"105,541,311.00","74,230,592.45","31,310,718.55",70,80,0
,Accounting services,"10,044,411.00","4,540,914.65","5,503,496.35",45,80,0
,Supply Chain Management,"1,724,412.00","465,890.00","1,258,522.00",27,80,0
,Revenue Management Services,"5,934,842.00","248,400.00","5,686,442.00",4,80,0
Sub Total for Finance and Economic Planning,,"218,751,382.00","126,983,348.35","91,768,033.65",58,80,0
,,,,,,80,0
Agriculture and Irrigation,,,,,,80,0
General administration and support services,,"93,458,495.00","63,828,149.45","29,630,345.55",68,80,0
,"General administration and sup-
port services","93,458,495.00","63,828,149.45","29,630,345.55",68,80,0
Crop Development,,"552,475,926.00","55,055,979.00","497,419,947.00",10,80,0
,Cash Crops Development,"26,997,343.00","6,569,240.00","20,428,103.00",24,80,0
,"Agricultural Extension and Train-
ing Services","525,478,583.00","48,486,739.00","476,991,844.00",9,80,0
Soil Conservation,,"12,343,896.00","5,229,821.85","7,114,074.15",42,80,0
,Soil Conservation,"12,343,896.00","5,229,821.85","7,114,074.15",42,80,0
