Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Agriculture, Livestock and
Cooperative",,,,,,98,1
Agriculture Service,"Agriculture Extension and
Exhibition","1,200,000","400,000","800,000",33.3,98,1
Livestock Service,Livestock,"96,224,397","60,564,260","35,660,137",62.9,98,1
,Livestock Production,"5,550,000","350,000","5,200,000",6.3,98,1
Veterinary Service,Veterinary,"33,350,000","9,465,400","23,884,600",28.4,98,1
Fisheries Services,Fisheries,"200,000",-,"200,000",-,98,1
"General Administration
and Support Services","General Administration
and Support Services","558,257,309","103,674,560","454,582,749",18.6,98,1
Cooperative Services,Cooperative,"600,000","300,000","300,000",50.0,98,1
,Sub Total,"695,381,706","174,754,220","520,627,486",25.1,98,1
"Energy, Environment and
Natural Resource",,,,,,98,1
Energy Service,Energy,"81,205,000","505,000","80,700,000",0.6,98,1
Environment,Environment,"1,100,000",-,"1,100,000",-,98,1
Natural Resource,Natural Resource,"1,600,000","1,000,000","600,000",62.5,98,1
"General Administration
and Support Services","General Administration
and Support Services","59,243,025","46,718,000","12,525,025",78.9,98,1
,Sub Total,"143,148,025","48,223,000","94,925,025",33.7,98,1
Road and Transport,,,,,-,98,1
Road Service,Road,"306,417,200","2,400,000","304,017,200",0.8,98,1
"General Administration
and Support Services","General Administration
and Support Services","37,906,400","33,882,000","4,024,400",89.4,98,1
,Sub Total,"344,323,600","36,282,000","308,041,600",10.5,98,1
Trade Service,Trade,"102,400,000","600,000","101,800,000",0.6,99,0
Weight and Measure,Weight and Measure,"1,350,000","1,300,000","50,000",96.3,99,0
"General Administration
and Support Services","General Administration
and Support Services","85,447,996","64,587,055","20,860,941",75.6,99,0
Tourism Service,Tourism,"802,259",-,"802,259",-,99,0
,Sub Total,"190,000,255","66,487,055","123,513,200",35.0,99,0
Health and Sanitation,,,,,-,99,0
Preventive and Promotive,Preventive,"497,297,872","96,694,707","400,603,165",19.4,99,0
Curative,Curative,"207,997,156","129,200,000","78,797,156",62.1,99,0
"General Administration
and Support Services","General Administration
and Support Services","2,319,087,436","1,719,095,566","599,991,870",74.1,99,0
,Sub Total,"3,024,382,464","1,944,990,273","1,079,392,191",64.3,99,0
Education and Labour,,,,,-,99,0
"General Administration
and Support Services","General Administration
and Support Services","574,889,663","403,630,160","171,259,503",70.2,99,0
Vocational Services,"Vocational Training Cen-
tres","12,601,200","11,218,600","1,382,600",89.0,99,0
ECD,ECD,"44,412,400","34,696,600","9,715,800",78.1,99,0
Human Resource,Human Resource,"244,219,292","123,483,906","120,735,386",50.6,99,0
Information and ICT,Information and ICT,"23,282,733","21,782,000","1,500,733",93.6,99,0
,Sub Total,"899,405,288","594,811,266","304,594,022",66.1,99,0
County Assembly,,,,,,99,0
"General Administration
and Support Services","General Administration
and Support Services","1,004,003,881","643,981,280","360,022,601",64.1,99,0
,Sub Total,"1,004,003,881","643,981,280","360,022,601",64.1,99,0
Office of the Governor,,,,,-,99,0
Governor's Office,Governor,"105,400,000","54,700,000","50,700,000",51.9,99,0
Deputy Governor,Deputy Governor,"36,120,000","28,800,000","7,320,000",79.7,99,0
"General Administration
and Support Services","General Administration
and Support Services","120,810,000","107,460,000","13,350,000",88.9,99,0
Street Lighting,Street Lighting,"48,656,215","41,606,000","7,050,215",85.5,99,0
"Intergovernmental and In-
stitutional",Intergovernmental,"18,812,430","17,422,000","1,390,430",92.6,99,0
County Attorney,County Attorney,"20,000,000","15,410,000","4,590,000",77.1,99,0
,Sub Total,"349,798,645","265,398,000","84,400,645",75.9,99,0
"Finance, Revenue, Eco-
nomic Planning and
County Affairs",,,,,,99,0
Accounting Service,Accounting,"3,713,739","660,000","3,053,739",17.8,99,0
Budget Service,Budget,"6,780,000","1,800,000","4,980,000",26.5,99,0
Revenue Service,Revenue,"208,927,781","174,901,000","34,026,781",83.7,99,0
Economic and Statistic,Economic Planning,"34,086,000","30,785,700","3,300,300",90.3,99,0
Supply Chain Service,Procurement,"5,630,000","1,350,000","4,280,000",24.0,99,0
Internal Audit,Internal Audit,"3,862,600","1,000,000","2,862,600",25.9,99,0
Special Program,Special Program,"170,940,000","66,499,090","104,440,910",38.9,99,0
"General Administration
and Support Services","General Administration
and Support Services","1,437,914,215","776,496,931","661,417,284",54.0,99,0
Donor Coordination,Donor Coordination,"16,780,548","14,750,000","2,030,548",87.9,99,0
,Sub Total,"1,888,634,883","1,068,242,721","820,392,162",56.6,99,0
"Gender, Social Service and
Sport",,,,,,99,0
"General Administration
and Support Services","General Administration
and Support Services","101,411,832","103,432,501","-2,020,669",102.0,99,0
Social Protection,Social Protection,"1,025,000","625,000","400,000",61.0,99,0
Cinemas,Cinemas,"3,763,600","3,391,600","372,000",90.1,99,0
,Sub Total,"106,200,432","107,449,101","-1,248,669",101.2,99,0
Water and Irrigation,,,,,-,99,0
