Programme,Sub-Programme,"Approved Sup-
plementary 1 Esti-
mates FY 2021/22
(Kshs.)","Expenditure
1/7/2021-31/03/22
(Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,,A,B,C=A-B,D=B/A*100,147,0
DEPARTMENT: GOVERNOR’S OFFICE,,,,,,147,0
"County Coordination
Services","County Coordination Ser-
vices","141,213,284","76,868,483","64,344,801",54.4,147,0
"Public sector advisory
services","Economic and Social Advi-
sory Service",-,-,-,-,147,0
,Sub Total,"141,213,284","76,868,483","64,344,801",54.4,147,0
"DEPARTMENT: FINANCE AND ECONOMIC PLAN-
NING",,,,,-,147,0
"Administration, Planning
and Support Services.",Administration Services.,"368,140,022","199,738,654","168,401,368",54.3,147,0
"Administration, Planning
and Support Services.","Monitoring Budget Imple-
mentation and Reporting","36,075,639","25,285,193","10,790,446",70.1,147,0
Public Finance Management,"Budget Formulation co-or-
dination and management","551,119,010","60,344,021","490,774,989",10.9,147,0
Audit Services,County Audit,"9,950,000","6,081,797","3,868,204",61.1,147,0
,Sub Total,"965,284,671","291,449,665","673,835,006",30.2,147,0
,,,,,,147,0
,,,,,,147,0
"DEPARTMENT: AGRICULTURE, LIVESTOCK AND FISHERIES",,,,,,147,0
"Policy, Strategy and Manage-
ment of Agriculture","Development of Agricultur-
al Policy, Legal & Regulato-
ry framework.","30,952,435","21,693,286","9,259,149",70.1,147,0
"Crop Development and
Management","Agriculture Extension Ser-
vices","557,327,994","148,152,204","409,175,790",26.6,147,0
"Livestock Resource Manage-
ment and Development","Livestock Disease Manage-
ment and Control.","12,606,381","11,363,190","1,243,191",90.1,147,0
"Livestock Resource Manage-
ment and Development","Livestock Production and
Extension Services","52,000,523","37,716,336","14,284,187",72.5,147,0
Fisheries development,"Management and Develop-
ment of Capture Fisheries","7,762,998","2,990,680","4,772,318",38.5,147,0
,Sub Total,"660,650,331","221,915,696","438,734,635",33.6,147,0
"DEPARTMENT: WATER, ENERGY, NATURAL RESOURCES AND ENVIRONMENT",,,,,-,147,0
"Environment policy develop-
ment and coordination","Planning Coordination Pol-
icy and Administrative Ser-
vices","148,718,651","76,284,453","72,434,198",51.3,147,0
Water supply services,Rural Water Supply,"267,682,366","204,711,436","62,970,930",76.5,147,0
,Sub Total,"416,401,017","280,995,889","135,405,128",67.5,147,0
,,,,,-,147,0
,,,,,,147,0
,,,,,,147,0
"DEPARTMENT: EDUCATION, YOUTH AFFAIRS, CULTURE AND SOCIAL SERVICES",,,,,,147,0
,,A,B,C=A-B,D=B/A*100,148,0
"General Administration &
planning services.","Policy Development and
Administration","268,501,091","116,805,649","151,695,442",43.5,148,0
Basic Education,"Early Childhood Develop-
ment Education","185,398,939","90,406,789","94,992,150",48.8,148,0
"Gender and Social Develop-
ment","Social Welfare Services/So-
cial Infrastructure Develop-
ment","21,099,998","5,898,681","15,201,317",28.0,148,0
"Youth development and
empowerment services","Youth development (YP)
Training","55,909,040","25,874,579","30,034,461",46.3,148,0
,Sub Total,"530,909,068","238,985,699","291,923,369",45.0,148,0
DEPARTMENT: HEALTH SERVICES,,,,,-,148,0
Curative Health,"Administration and Plan-
ning","1,632,585,479","675,797,432","956,788,047",41.4,148,0
Curative Health,Hospital(curative),,,,-,148,0
,Services,,,,,148,0
"Preventive and Promotive
Health","Preventive Medicine and
Promotive Health","1,295,527,818","857,306,341","438,221,477",66.2,148,0
,Sub Total,"2,928,113,297","1,533,103,773","1,395,009,524",52.4,148,0
"DEPARTMENT: LANDS, HOUSING AND PHYSICAL PLANNING",,,,,-,148,0
"Administration and support
services","General Administration
and Planning","117,363,278","31,806,978","85,556,300",27.1,148,0
"Housing Development and
Human Resource",Housing Development,"52,044,359","13,959,134","38,085,225",26.8,148,0
Land policy and planning,"Development Planning and
Land Reforms","118,900,008","28,019,570","90,880,438",23.6,148,0
Land policy and planning,Land Use Planning,"7,102,443","3,823,819","3,278,624",53.8,148,0
,Sub Total,"295,410,088","77,609,500","217,800,588",26.3,148,0
"DEPARTMENT: PUBLIC WORKS, ROADS AND TRANSPORT",,,,,-,148,0
"Transport Management and
safety","General Administration
Planning and Support Ser-
vices","76,050,000","59,212,025","16,837,975",77.9,148,0
"Infrastructure, Roads and
Transport",Rehabilitation of Road,"890,428,395","383,032,985","507,395,410",43.0,148,0
"Infrastructure, Roads and
Transport","Maintenance of Roads and
Bridges/Periodic Mainte-
nance","21,606,317","10,791,534","10,814,783",49.9,148,0
,Sub Total,"988,084,712","453,036,544","535,048,168",45.8,148,0
"DEPARTMENT: TRADE, INDUSTRIALISATION, TOURISM, WILDLIFE AND COOPERATIVE MANAGEMENT",,,,,-,148,0
"Trade development and
investment","Fair trade Practices and
Consumer Protection
(weight & measures)","73,835,176","21,302,400","52,532,776",28.9,148,0
"Trade development and
investment","Administrative and Support
Services.","16,125,061","9,214,850","6,910,211",57.1,148,0
"Cooperative development
and management","Cooperative Advisory &
Extension Services.","33,966,870","9,839,752","24,127,118",29.0,148,0
"Tourism development and
marketing","Local Tourism Develop-
ment.","3,000,000","2,450,000","550,000",81.7,148,0
,Sub Total,"126,927,107","42,807,002","84,120,105",33.7,148,0
DEPARTMENT: ICT AND E-GOVERNMENT,,,,,,148,0
"Information & Communica-
tion Service","News and Information Ser-
vices","59,966,581","17,830,149","42,136,432",29.7,148,0
"Information & Communica-
tion Service","ICT and BPO development
services","27,876,262","10,105,986","17,770,276",36.3,148,0
