Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Assembly,Legislation,"482,874,928","240,115,996","242,758,932",50,165,0
,Oversight,"29,050,000","9,787,500","19,262,500",34,165,0
,Administration,"389,575,072","326,882,921","62,692,151",84,165,0
,Development,"98,500,000","2,500,000","96,000,000",3,165,0
,Sub Totals,"1,000,000,000","579,286,416","420,713,584",58,165,0
"Office of the Gov-
ernor",Intergovernmental relations,"33,525,500","27,756,618","5,701,882",83,165,0
,"Administration, planning and sup-
port services","229,944,595","204,674,597","25,269,998",89,165,0
,Sub Totals,"263,470,095","232,431,215","30,971,880",88,165,0
County Attorney,"Administration Planning And Sup-
port Services","133,152,099","74,346,805","49,790,663",56,165,0
,Sub Totals,"133,152,099","74,346,805","49,790,663",56,165,0
Finance,"Administration, Planning and Sup-
port Services","271,203,190","110,279,780","160,923,410",41,165,0
,"Budget Formulation, Coordination
and Management","58,241,972","10,808,305","47,433,667",19,165,0
,Audit Services,"15,926,085","1,026,855","14,899,230",6,165,0
,Accounting Services,"8,950,000","2,005,477","6,944,523",22,165,0
,Supply Chain Management Services,"9,744,000","1,068,415","8,675,585",11,165,0
,"Resource Mobilisation/Debt Man-
agement","53,778,520","856,636","52,921,884",2,165,0
,Development,"497,590,268","384,210,299","113,379,969",77,165,0
,Sub Totals,"915,434,035","510,255,766","405,178,268",56,165,0
"Economic Plan-
ning",County Fiscal Planning,"49,130,000","13,861,728","35,268,272",28,165,0
,"Statistical Information Services/
Monitoring","39,075,246","20,531,365","18,543,881",53,165,0
,Sub Totals,"88,205,246","34,393,093","53,812,153",39,165,0
Agriculture,"General Administration, Planning
and Support Services","53,219,845","16,923,279","36,296,566",32,165,0
,Crop Production and Management,"35,314,140","17,609,313","17,704,827",50,165,0
,"Agribusiness and Information
Management","347,619,443","14,242,080","333,694,883",4,165,0
,"Irrigation and Drainage Infrastruc-
ture","23,209,701","17,989,146","5,220,556",78,165,0
,"Sustainable soil and Water manage-
ment","317,520","3,084,000","(2,766,480)",971,165,0
,Sub Totals,"459,680,649","69,847,817","390,150,352",15,165,0
Livestock,"Administration, Planning and Sup-
port services","15,742,695","5,175,722","10,566,973",33,165,0
,"Livestock Policy and Capacity De-
velopment","1,358,800","1,210,980","147,820",89,165,0
,"Livestock Production and Manage-
ment","8,598,000","1,329,265","7,268,735",15,165,0
,"Livestock Value Addition and Mar-
keting","20,989,305","6,066,662","14,922,643",29,165,0
,"Food Safety and Animal Products
Development","7,783,579","1,087,465","6,696,114",14,165,0
,"Livestock Disease Management and
Control","3,074,000","763,995","2,310,005",25,165,0
,Sub Totals,"57,546,378","15,634,089","41,912,290",27,165,0
Fisheries,"Fisheries Policy and Capacity De-
velopment","11,103,132","4,296,053","6,807,079",39,166,0
,"Sustainable Fisheries Production
and Management","5,470,184","4,583,149","887,035",84,166,0
,"Assurance of Fish Safety, Value Ad-
dition and Marketing","56,999,496","1,288,321","55,711,176",2,166,0
,"Marine Fisheries Production & blue
economy","3,000,000",-,"3,000,000",0,166,0
,Sub Totals,"76,572,811","10,167,522","66,405,289",13,166,0
Water & Sanitation,"General Administration, Planning
and Support Services","9,867,348","4,966,255","4,901,093",50,166,0
,Water Supply Infrastructure,"1,853,627,683","4,250,000","1,712,544,783",0,166,0
,Sub Totals,"1,863,495,031","9,216,255","1,717,445,876",0,166,0
Environment,County Environment Management,"153,678,466","119,830,118","33,848,349",78,166,0
,Development,"4,250,000",,,0,166,0
,"Forest conservation and manage-
ment","2,720,000","2,317,175","402,825",85,166,0
,Sub Totals,"160,648,466","122,147,293","34,251,174",76,166,0
Education,"General administration, planning
and support services","78,846,659","40,127,716","38,718,943",51,166,0
,"Early Childhood development edu-
cation","132,553,287","45,345,246","87,208,041",34,166,0
,Education support services,"350,000,000","262,500,000","87,500,000",75,166,0
,Education and training,"28,378,400","2,228,227","26,150,173",8,166,0
,Sub Totals,"589,778,346","350,201,188","239,577,158",59,166,0
ICT,"Information Communication Tech-
nology","24,375,371","9,558,500","14,816,872",39,166,0
,Sub Totals,"24,375,371","9,558,500","14,816,872",39,166,0
Health,"Rehabilitative Services(Mental
Health, Orthopaedic,Physio and
Occupational therapy)","1,150,000","465,400","684,600",40,166,0
,"General & specialised medical &
surgical services","711,497,112","454,632,766","256,864,346",64,166,0
,Diagnostic services,"33,094,124","23,324,552","9,769,572",70,166,0
,County Referral Services Total,"300,000","67,700","232,300",23,166,0
,Health Policy & Financing,"51,600,000","842,520","50,757,480",2,166,0
,Administration for Health,"1,251,409,859","408,004,403","843,405,456",33,166,0
,"Research, Standards & Quality As-
surance","200,000",-,"200,000",0,166,0
,"Health Information Monitoring &
Evaluation","1,800,000","323,800","1,476,200",18,166,0
,Family planning services,"600,000","596,444","3,556",99,166,0
,"Reproductive Maternal Neonatal
Child Adolescent Health","2,700,000","331,440","2,368,560",12,166,0
,Immunization,"1,000,000",-,"1,000,000",0,166,0
,Sub Totals,"2,055,351,095","888,589,025","1,166,762,070",43,166,0
Public Health,Communicable Disease Control,"215,264,431","30,357,900","184,906,531",14,166,0
,Sub Totals,"215,264,431","30,357,900","184,906,531",14,166,0
"Roads & Public
Works","General administration, planning
and support services","262,092,125","219,629,275",,84,166,0
,Road Transport,"1,312,714,586","203,191,661",,15,166,0
,Sub Totals,"1,574,806,711","422,820,936",-,27,166,0
