Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
"Legislation and Over-
sight",Legislation and Oversight,"1,006,961,558","680,983,042","325,978,516",67.6,173,1
Sub Total,,"1,006,961,558","680,983,042","325,978,516",67.6,173,1
"Office of the Gover-
nor and Deputy Gov-
ernor",070601 County Executive Services,"303,048,284","199,064,845.63","103,983,438",65.7,173,1
"County Executive
Administration",070701County Executive Services,"143,630,336","15,750,341.75","127,879,994",11.0,173,1
"Management of
County Affairs","070801 Coordination of County
Functions","121,452,000","102,377,330.00","19,074,670",84.3,173,1
"County Executive
Committee Affairs","070901 Organization of County
Business","6,200,000","3,181,000.00","3,019,000",51.3,173,1
"County Public Ser-
vice Board","071001 Human Resource Manage-
ment","12,906,040","6,598,896.00","6,307,144",51.1,173,1
"Administrative Sup-
port Services",020202 ICT Governance,"3,480,000","1,994,800.00","1,485,200",57.3,173,1
,"020701 Government Buildings Ser-
vices","2,567,000","774,945.00","1,792,055",30.2,173,1
,070411 Audit Committee,"1,919,000","1,436,800.00","482,200",74.9,173,1
,"070412 County Enforcement Ac-
tivities","4,185,000","1,930,500.00","2,254,500",46.1,173,1
,"070413 ICT Infrastructure Devel-
opment Management","2,458,800","2,418,000.00","40,800",98.3,173,1
,"070414 ICT Systems Development
Management","1,522,000","691,200.00","830,800",45.4,173,1
Sub Total,,"603,368,460","336,218,658","267,149,802",55.7,173,1
"Public Finance Man-
agement",070401 Finance Services,"560,294,675","279,451,322.36","280,843,353",49.9,174,0
,070402 Revenue Services,"16,800,000","14,622,265.15","2,177,735",87.0,174,0
,"070404 Procurement and Supply
Services","6,446,500","6,441,500.00","5,000",99.9,174,0
,070405 Internal Audit Services,"1,318,200","1,018,600.00","299,600",77.3,174,0
,"070408 Budget Formulation, Coor-
dination and Management","7,914,520","7,750,120.00","164,400",97.9,174,0
,070409 Accounting Services,"5,477,500","5,278,260.00","199,240",96.4,174,0
"County Planning
and Economic Policy
Management","070501 Economic Planning Ser-
vices","3,599,000","3,203,800.00","395,200",89.0,174,0
Sub Total,,"601,850,395.00","317,765,867.51","284,084,527",52.8,174,0
"Curative and Rehabil-
itative Services","040301 Curative and Rehabilitative
Services","2,921,022,278","1,823,389,119.06","1,097,633,159",62.4,174,0
Sub Total,,"2,921,022,278","1,823,389,119","1,097,633,159",62.4,174,0
Basic Education,050101 General Administration,"264,796,229","255,638,150.20","9,158,079",96.5,174,0
,"050102 Free Pre- Primary Educa-
tion","19,840,000","2,584,803.00","17,255,197",13.0,174,0
"State Education Func-
tion Support",050203 Tertiary Education,0,0,0,0.0,174,0
"Technical and Voca-
tional Training",050301 Village Polytechnique,"37,186,304","27,039,594.00","10,146,710",72.7,174,0
