Program,Description,"Approved Budget
(Kshs.)","Actual
Payments (Kshs.)",Variance (Kshs.),"Absorption
Rate (%)",page_number,table_index
,"Office of the Governor and
County Administration","759,846,382","175,587,292","584,259,09",1 76.9,190,0
0206005060,Mining Efficiency,"76,950,000","486,500","76,463,50",0 99.4,190,0
0307005060,Industrial Development,"605,384","72,000","533,38",4 88.1,190,0
0205005060,Energy Production,"72,222,514","3,543,271","68,679,24",3 95.1,190,0
0306005060,Enterprise Development,"100,910,000","217,322","100,692,67",8 99.8,190,0
0305005060,"Co-Operative Development
and
Management","12,780,000","6,071,875","6,708,12",5 52.5,190,0
0508005060,Alcoholic Drinks,"1,600,000","301,600","1,298,40",0 81.2,190,0
0302005060,"Regulation and Verification
of
Weights","7,795,000","92,040","7,702,96",0 98.8,190,0
0301005060,"General Administration and
Policy
making Services","68,150,000","6,111,309","62,038,69",1 91.0,190,0
0504005060,Gender and Social Dev.,"1,620,000","146,000","1,474,00",0 91.0,190,0
0704005060,County Public Service Board,"112,270,532","68,680,522","43,590,01",0 38.8,190,0
0704005060,County Public Service Board,"210,303,000","59,549,160","150,753,84",0 71.7,190,0
0206005060,Mining Efficiency,"23,500,000","18,458,816","5,041,18",4 21.5,190,0
0702005060,"Management of County af-
fairs and
Special Programmes","8,100,000","1,193,041","6,906,95",9 85.3,190,0
0701005060,"General Administration and
Planning
services","28,360,000","4,080,331","24,279,66",9 85.6,190,0
0101005060,"General Administration and
Planning
Services","300,000","7,000","293,000",97.7,191,0
0706005060,"County Planning and Devel-
opment
Coordination Services","14,770,000","2,758,305","12,011,695",81.3,191,0
0703005060,"Inter-Governmental rela-
tions,
Communication and Proto-
col","19,609,952","3,818,200","15,791,752",80.5,191,0
,"Medical Services and Public
Health","4,018,172,321","2,599,713,201","1,418,459,120",35.3,191,0
0407005060,"Jaramogi Oginga Odinga
Teaching
and Referral Hospital","296,334,964","96,334,964","200,000,000",67.5,191,0
0403005060,"General Administration, Op-
erational
Research and Planning","2,899,479,396","2,247,203,472","652,275,924",22.5,191,0
0405005060,"Health Sector support Pro-
gram
(DANIDA)","160,792,947","47,453,779","113,339,169",70.5,191,0
0408005060,"Kisumu County Referral
Hospital","60,000,000","47,895,155","12,104,845",20.2,191,0
0402005060,Health Curative Services,"141,315,014","29,720,989","111,594,025",79.0,191,0
0401005060,"Preventive & Promotive
Health
Services","156,450,000","44,000,000","112,450,000",71.9,191,0
0409005060,"Medical and Bio-Medical
Services","303,800,000","87,104,843","216,695,157",71.3,191,0
,"Tourism, Culture and Sport","210,226,963","21,771,715","188,455,248",89.6,191,0
0401005060,"Preventive & Promotive
Health
Services","100,000,000",-,"100,000,000",100.0,191,0
0507005060,Sports Stadia Development,"4,970,000","1,010,000","3,960,000",79.7,191,0
0303005060,"Tourism Development and
Management","15,745,000","3,149,790","12,595,210",80.0,191,0
0907005060,,"4,015,000","343,950","3,671,050",91.4,191,0
0101005060,"General Administration and
Planning
Services","37,486,963","16,757,975","20,728,988",55.3,191,0
0506005060,"Sports Management and
Development","48,010,000","510,000","47,500,000",98.9,191,0
,"Transport and Infrastruc-
ture","707,594,265","140,289,242","567,305,023",80.2,191,0
0101005060,"General Administration and
Planning
Services","91,948,538","85,410,600","6,537,938",7.1,191,0
0201005060,"County Roads and Public
Works
Management","502,424,662","13,792,425","488,632,237",97.3,191,0
0207005060,"Roads General Administra-
tion and
Planning","47,089,048","10,540,850","36,548,198",77.6,191,0
0304005060,"Administration Planning and
Support","66,132,017","30,545,367","35,586,650",53.8,191,0
,"Physical Planning & Hous-
ing","419,112,176","17,644,447","401,467,729",95.8,192,0
0102005060,County Survey Services,"1,290,000","180,000","1,110,000",86.0,192,0
0103005060,Physical Planning & Housing,"13,350,000","314,500","13,035,500",97.6,192,0
0109005060,"Urban Planning $ Develop-
ment
Control","1,800,000","106,900","1,693,100",94.1,192,0
0201005060,"County Roads and Public
Works
Management","367,122,176","17,034,847","350,087,329",95.4,192,0
0304005060,"Administration Planning and
Support","35,550,000","8,200","35,541,800",100.0,192,0
,"Agriculture, Livestock and
Fisheries","807,980,095","179,004,503","628,975,592",77.8,192,0
0106005060,"Agricultural Productivity
Improvement","10,300,000","50,000","10,250,000",99.5,192,0
0707005060,"County Communication &
Ict
Services","650,000","163,100","486,900",74.9,192,0
0107005060,"Promotion of market access
and
products development","12,700,000","1,149,400","11,550,600",90.9,192,0
0104005060,"Promotion of sustainable
land use","700,000","217,555","482,445",68.9,192,0
0105005060,"Agriculture Productivity
Improvement","102,461,872","6,144,698","96,317,174",94.0,192,0
0701005060,"General Administration and
Planning
services","450,000","150,000","300,000",66.7,192,0
0101005060,"General Administration and
Planning
Services","680,718,223","171,129,750","509,588,473",74.9,192,0
,Education,"852,536,870","271,140,683","581,396,187",68.2,192,0
0208005060,ICT Services,"2,465,000","510,205","1,954,795",79.3,192,0
0504005060,Gender and Social Dev.,"8,320,000","1,072,700","7,247,300",87.1,192,0
0101005060,"General Administration and
Planning
Services","366,901,976","183,649,048","183,252,928",49.9,192,0
0502005060,"Youth Training and Develop-
ment","30,000,000","1,768,810","28,231,190",94.1,192,0
0505005060,"Early Child Education Man-
agement","364,100,000","48,067,700","316,032,300",86.8,192,0
0517005060,"Youth Training and Legisla-
tion","79,799,894","35,813,720","43,986,174",55.1,192,0
0701005060,"General Administration and
Planning
services","950,000","258,500","691,500",72.8,192,0
,"Environment and Natural
Resources","181,578,186","44,654,701","136,923,485",75.4,192,0
0205005060,Energy Production,"2,100,000","20,000","2,080,000",99.0,192,0
0206005060,Mining Efficiency,"2,000,000","90,000","1,910,000",95.5,192,0
0301005060,"General Administration and
Policy
making Services","4,553,963","2,126,977","2,426,986",53.3,192,0
0906005060,,"3,041,920","1,808,870","1,233,050",40.5,192,0
0904005060,"Environmental Planning And
Management","6,484,559","1,835,000","4,649,559",71.7,193,0
0902005060,"Conservation and manage-
ment of
natural ecosystems","128,386,715","21,880,490","106,506,225",83.0,193,0
0101005060,"General Administration and
Planning
Services","35,011,029","16,893,363","18,117,666",51.7,193,0
,Kisumu City,"511,326,844","179,250,245","332,076,599",64.9,193,0
0109005060,"Urban Planning $ Develop-
ment
Control","29,182,514","14,590,492","14,592,022",50.0,193,0
0501005060,"Early Childhood Develop-
ment.","38,578,941","19,288,098","19,290,843",50.0,193,0
0704005060,County Public Service Board,"324,686,836","85,932,610","238,754,226",73.5,193,0
0401005060,"Preventive & Promotive
Health
Services","93,229,322","46,614,546","46,614,776",50.0,193,0
0108005060,"Revenue Generation and
Management","25,649,231","12,824,500","12,824,732",50.0,193,0
,County Assembly Service,"929,317,456","443,006,523","486,310,933",52.3,193,0
0701005060,"General Administration and
Planning
services","419,074,012","160,333,392","258,740,620",61.7,193,0
0705005060,"Public Financial Manage-
ment","7,081,800","3,524,639","3,557,161",50.2,193,0
0203005060,"Administration, Planning
and
Support Services","35,900,780","10,451,929","25,448,851",70.9,193,0
0708005060,"Legislation & Oversight, ser-
vices","193,519,904","94,949,889","98,570,015",50.9,193,0
0710005060,"County Assembly Service
Board","273,740,960","173,746,674","99,994,286",36.5,193,0
,"County Public Service
Board","75,031,463","32,604,623","42,426,840",56.5,193,0
0704005060,County Public Service Board,"75,031,463","32,604,623","42,426,840",56.5,193,0
,"Finance and Economic
Planning","2,221,190,649","1,064,344,424","1,156,846,225",52.1,193,0
0109005060,"Urban Planning $ Develop-
ment
Control","22,485,000","7,516,820","14,968,180",66.6,193,0
0203005060,"Administration, Planning
and
Support Services","1,680,452,563","930,407,367","750,045,196",44.6,193,0
0703005060,"Inter-Governmental rela-
tions,
Communication and Proto-
col","8,618,508","3,354,575","5,263,933",61.1,193,0
0705005060,"Public Financial Manage-
ment","245,103,929","41,664,316","203,439,613",83.0,193,0
0305005060,"Co-Operative Development
and
Management","10,000,000","6,022,000","3,978,000",39.8,193,0
0706005060,"County Planning and Devel-
opment
Coordination Services","46,236,649","14,475,064","31,761,585",68.7,194,0
,"Trade, Energy and Industry","452,262,627","134,177,906","318,084,721",70.3,194,0
0711005060,"County Planning and Devel-
opment
Coordination Services","7,450,000","1,650,000","5,800,000",77.9,194,0
0704005060,County Public Service Board,"143,661,891","18,018,146","125,643,745",87.5,194,0
0515005060,"Pre-Primary Policy and Leg-
islation","25,160,000","6,127,200","19,032,800",75.6,194,0
0709005060,"Representation services &
public
participation","7,500,000","570,970","6,929,030",92.4,194,0
0701005060,"General Administration and
Planning
services","268,490,736","107,811,590","160,679,146",59.8,194,0
,Grand Total,"12,146,176,297","5,303,189,505","6,842,986,792",56.3,194,0
