Programme,"Approved Bud-
get (Kshs)","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
FINANCE,,,,,209,1
"Budget formulation, coordination and management
(0703023060)","49,826,460","45,328,328","4,498,132",91.0,209,1
Personal Services(0704013060),"286,410,959","141,440,159","144,970,800",49.4,209,1
General Administration (0704043060),"617,006,163","410,928,816","206,077,347",66.6,209,1
Revenue Collection Management (0710013060),"118,255,000","92,622,835","25,632,165",78.3,209,1
Public Finance and Accounting Services (0711013060),"1,325,075","25,075","1,300,000",1.9,209,1
Procurement services(0711023060),"18,993,846","13,776,961","5,216,885",72.5,209,1
Risk Assurance Services (0711033060),"46,271,700","34,058,078","12,213,622",73.6,209,1
Total,"1,138,089,203","738,180,252","399,908,951",64.9,209,1
186,,,,,209,1
AGRICULTURE,,,,,210,0
"GENERAL ADMINISTRATION AND SUPPORT SERVICES
{0102053060}","225,152,755","40,901,540","184,251,215",18.2,210,0
Personnel Services (0102063060),"147,845,355","114,187,248","33,658,107",77.2,210,0
CROP PRODUCTION & FOOD SECURITY {0107013060},"240,215,670","2,903,000","237,312,670",1.2,210,0
"AGRICULTURAL EXTENTION, RESEARCH & TRAINING.
{0107023060}","11,690,067","7,159,877","4,530,190",61.2,210,0
"FARM LAND UTILIZATION, MECHNIZATION & CROP
STORAGE {0107033060}","21,293,860","15,622,989","5,670,871",73.4,210,0
Dairy and Meat Production (0108013060),"20,890,000","7,864,915","13,025,085",37.6,210,0
"Value Addition of Livestock and Livestock Products
(0108023060)","28,695,305","6,545,000","22,150,305",22.8,210,0
LIVESTOCK DISEASE CONTROL {0108033060},"19,853,147","4,500,215","15,352,932",22.7,210,0
FISH PRODUCTION MANAGEMENT {0109013060},"2,648,152","1,143,415","1,504,737",43.2,210,0
Value Addition and Marketing (0109023060),"13,440,000","5,222,890","8,217,110",38.9,210,0
Total,"731,724,311","206,051,089","525,673,222",28.2,210,0
LANDS,,,,,210,0
0102053060 (General administration and Support services,"132,031,337","95,110,958","36,920,379",72.0,210,0
0102063060 (Personnel Services),"28,609,681","21,948,278","6,661,403",76.7,210,0
Urban Development Support Services (0102073060),"7,134,499","263,500","6,870,999",3.7,210,0
0104013060 (Physical development plans),"15,528,000","11,603,230","3,924,770",74.7,210,0
0105013060 (Establishment of squatter settlement schemes,"52,463,900","24,566,095","27,897,805",46.8,210,0
0106023060 (County Environmental Awareness Initiative),"60,465,066","3,920,000","56,545,066",6.5,210,0
Total,"296,232,483","157,412,061","138,820,422",53.1,210,0
HEALTH,,,,,210,0
Maternal new born and child health(0401023060),"222,590,076","41,315,297","181,274,779",18.6,210,0
Medical Health Drugs (0402043060),"201,950,000","183,222,879","18,727,121",90.7,210,0
General Administration(0403013060),"723,843,194","293,195,333","430,647,861",40.5,210,0
Personnel Services(0403053060),"1,686,921,764","1,250,568,541","436,353,223",74.1,210,0
Msambweni Hospital (0405013060),"44,709,989","21,645,999","23,063,990",48.4,210,0
Kinango Hospital(0406013060),"149,620,000","115,184,800","34,435,200",77.0,210,0
Kwale Hospital(0407013060),"21,260,000","2,565,365","18,694,635",12.1,210,0
Tiwi Rural Health Facility(0408013060),"53,298,554","33,074,478","20,224,076",62.1,210,0
Samburu Hospital(0409013060),"85,535,000","46,888,251","38,646,749",54.8,210,0
Lungalunga Hospital(0410013060),"58,429,194","35,262,479","23,166,715",60.4,210,0
Rural Health Facilities(0412013060),"298,405,331","2,719,918","295,685,413",0.9,210,0
Diani Health Centre(0413013060),"111,110,750","84,284,624","26,826,126",75.9,210,0
Total,"3,657,673,852","2,109,927,964","1,547,745,888",57.7,210,0
COUNTY ASSEMBLY,,,,,210,0
Audit Services (0704013060),"304,406,321","220,699,821","83,706,500",72.5,210,0
General Administration (0704043060),"485,296,002","170,081,627","315,214,375",35.0,210,0
Oversight and legislation of county affairs (0705013060),"238,584,290","114,017,145","124,567,145",47.8,210,0
Total,"1,028,286,613","504,798,593","523,488,020",49.1,210,0
TRADE,,,,,210,0
"Building capacity of traders for better market access
(0301013060)","3,320,000","2,234,350","1,085,650",67.3,210,0
Enforcement of weights & measures Act (0301043060),"4,900,000","3,910,850","989,150",79.8,210,0
Investment publicity and promotion (0302023060),"9,897,666","523,335","9,374,331",5.3,210,0
Personnel Services (0305013060),"38,914,187","29,676,169","9,238,018",76.3,210,0
Administration services(0305023060),"109,352,689","42,500,360","66,852,329",38.9,210,0
Rehabilitation of Existing Markets (0306013060),"13,374,898","8,620,487","4,754,411",64.5,210,0
Investment Promotion Services(0307013060),"52,133,033","7,159,398","44,973,635",13.7,211,0
Total,"290,367,948","94,624,949","195,742,999",32.6,211,0
SOCIAL SERVICES,,,,,211,0
Social Services (0903013060),"34,099,702","16,042,915","18,056,787",47.0,211,0
Community development (0903023060),"700,000",-,"700,000",0.0,211,0
Drug and substance abuse management (0903033060),"3,588,464","3,290,488","297,976",91.7,211,0
"Protection and promotion of positive culture and heritage
(0904013060)","13,425,910","5,217,465","8,208,445",38.9,211,0
Youth sporting talent search and development (0905013060),"1,500,000","1,119,248","380,752",74.6,211,0
