Programme,Sub- Programme,"Approved Bud-
get (Kshs","Actual Pay-
ments (Kshs)","Variance
(Kshs.)",Absorption (%),page_number,table_index
Education,,,,,,218,0
"General Administration &
Planning services",Personnel services,"71,265,456","37,814,523","33,450,933",53.1,218,0
,Administration Services,"12,269,490","4,734,690","7,534,800",38.6,218,0
Vocational Training Institutes.,"Vocational Training Insti-
tutes.","48,213,048","19,536,594","28,676,454",40.5,218,0
"Collaboration with Stakehold-
ers","Collaboration with Stake-
holders.","4,000,000","982,941","3,017,059",24.6,218,0
"Gender Culture and Social Ser-
vices.","Gender Culture and Social
Services.","23,959,755","3,617,141","20,342,614",15.1,218,0
Youth and Sports.,Youth & Sports,"8,204,700","4,522,550","3,682,150",55.1,218,0
Education & Library Services,"Education and Library Ser-
vices.","43,184,875","39,909,740","3,275,135",92.4,218,0
Talent Development Services,Talent Development,"5,484,112","2,141,795","3,342,317",39.1,218,0
Sub-total,,"216,581,436","113,259,974","103,321,462",52.3,218,0
,,,,,,218,0
County Assembly,,,,,,218,0
"General Administration &
Planning Services",Administration services,"292,121,447","228,281,780","63,839,667",78.1,218,0
Legislative & Oversight,"Legislation & Oversight Ser-
vices","194,747,631","152,187,854","42,559,777",78.1,218,0
"Infrastructure improvement
services","County Assembly Infrastruc-
ture improvement","50,000,000","7,775,612.00","42,224,388",15.6,218,0
Sub-total,,"536,869,078","388,245,246","148,623,832",72.3,218,0
County Health Services,,,,,,218,0
"Curative & Rehabilitative
Health","Health Infrastructure Devel-
opment","24,000,000","4,072,963","19,927,037",16.97,218,0
,"Health Products & Technolo-
gies Support","236,736,402","165,237,979","71,498,423",69.80,218,0
,"Emergency Referral & Reha-
bilitative Service","99,548,177","57,324,896","42,223,281",57.59,218,0
"General Administration &
Planning Services","Essential Health Institutions
& Services","126,629,882","71,180,781","55,449,101",56.21,218,0
,"Administrative, Project Plan-
ning & Implementation Ser-
vices","137,877,133","89,116,503","48,760,630",64.63,218,0
,"Human Resource Develop-
ment","2,000,000","1,555,803","444,197",77.79,218,0
,"Health Policy, Governance,
Planning & Financing","9,500,000","6,635,180","2,864,820",69.84,218,0
,"Health Information Stan-
dards & Quality Assurance","1,500,000",-,"1,500,000",-,218,0
,"Community Health Strategy,
Advocacy & Surveillance","11,056,500","1,817,800","9,238,700",16.44,219,0
Preventive Health Services,"Family Planning , Maternal
& Child Health Services","4,300,000","1,731,700","2,568,300",40.27,219,0
,"Non-Communicable Diseas-
es Control & Prevention","1,800,000","1,400,000","400,000",77.78,219,0
,"Public Health Promotion &
Nutrition Services","7,300,000","5,683,975","1,616,025",77.86,219,0
,"Social Health Insurance
scheme","63,000,000","49,213,792","13,786,208.30",78.12,219,0
,,,,,,219,0
Sub-total,,"725,248,094","454,971,372","270,276,722",62.73,219,0
"Infrastructure, Physical Planning & Lands",,,,,,219,0
"General Administration and
Planning Services",Administration Services,"9,399,080","2,639,593","6,759,487",28.1,219,0
,"Planning and Financial Man-
agement","2,900,920","1,467,800","1,433,120",50.6,219,0
Financial Services,"County Treasury administra-
tive services","254,090,282","159,325,539","94,764,743",62.7,219,0
"Land and Housing Manage-
ment",Housing Policy Development,"4,700,000","1,583,700","3,116,300",33.7,219,0
"Public Works Service Delivery
Improvement","County Building Construc-
tion Standard","3,000,000","818,900","2,181,100",27.3,219,0
"Renewable /Green Energy Ser-
vices","County renewable/green en-
ergy services","19,678,268","2,249,820","17,428,448",11.4,219,0
"Roads Network Improvement
Housing and Urban Develop-
ment",Road Network improvement,"120,000,000","114,999,000","5,001,000",95.8,219,0
