Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorption
(%)",page_number,table_index
County Assembly,"P.1 Administration, planning and
support services.","222,467,120","123,978,800","98,488,320",55.7,228,0
,P.2 Legislation and Oversight,"195,532,880","108,536,755","86,996,125",55.5,228,0
,P 3: Development,"160,000,000",,"160,000,000",0.0,228,0
,Subtotal,"578,000,000","232,515,555","345,484,445",40.2,228,0
"County Executive
& PSM",P 1. administration,"425,036,323","295,950,430","129,085,893",69.6,228,0
,P 2. Executive Services Governor,"42,269,700","18,960,269","23,309,431",44.9,228,0
,P3. Development,"80,746,867","9,414,622","71,332,245",11.7,228,0
,Subtotal,"548,052,890","324,325,321","223,727,569",59.2,228,0
Finance,"P1. Administration, planning sup-
port services","92,583,614","67,260,353","25,323,261",72.6,228,0
,"P2. Accounting Standards & Re-
porting","8,056,515","3,378,231","4,678,284",41.9,228,0
,"P3. Procurement & Supply Chain
Management","4,623,909","1,501,213","3,122,696",32.5,228,0
,P4. Resource Mobilization,"9,835,409","1,556,368","8,279,041",15.8,228,0
,P5. Internal Audit,"4,020,909","1,505,270","2,515,639",37.4,228,0
,P6. KDSP Headquarters,"76,534,906",-,"76,534,906",0.0,228,0
,Subtotal,"195,655,262","75,201,435","120,453,827",38.4,228,0
"Agriculture &
Irrigation","P1. Directorate of Agriculture &
Extension Services","52,330,716","33,113,106","19,217,610",63.3,228,0
,P7. Crop Productivity and Output,"17,596,440","3,064,000","14,532,440",17.4,228,0
,"P9. Plant Dieses Control(Condi-
tional Grants (KCSAP & ASDSP))","52,368,686","5,575,004","46,793,682",10.6,228,0
,P 4: Development,"379,722,943","39,353,750","340,369,193",10.4,228,0
,Subtotal,"502,018,785","81,105,860","420,912,925",16.2,228,0
"Land, Physical
Planning",P1. Headquarters,"29,512,018","15,980,009","13,532,009",54.1,228,0
,"P 2: Land Development Manage-
ment","99,870,369","15,378,774","84,491,595",15.4,228,0
,Subtotal,"129,382,387","31,358,783","98,023,604",24.2,228,0
"Education and Vo-
cational Training","P1. General Administration &Plan-
ning","117,930,500","54,370,830","63,559,670",46.1,228,0
,"P2. Education and Training Pro-
gramme","125,000,000","125,000,000",-,100.0,228,0
,P3.Development,"141,046,894","35,159,488.00","105,887,406",24.9,228,0
,Subtotal,"383,977,395","214,530,318","169,447,077",55.9,228,0
Medical Services,"P1 Administration, planning &
support Services","823,527,182","612,947,051","210,580,131",74.4,228,0
,"P2. Curative & Rehabilitative
Health","118,188,376","48,380,630","69,807,746",40.9,228,0
,"P3. Preventive & Promotive Health
Dept","173,486,163","22,145,436","151,340,727",12.8,228,0
,P 4: Development,"284,002,144","9,054,756","274,947,388",3.2,228,0
,Subtotal,"1,399,203,865","692,527,873","706,675,992",49.5,228,0
"Trade, Investment,
Culture & Tourism","P 1:Administration, planning &
support Services","23,813,168","13,181,683","10,631,485",55.4,228,0
,P 2: Tourism Promotion,"4,186,865","2,230,232","1,956,633",53.3,228,0
,P 4: Trade & Investment,"2,465,500","1,385,750","1,079,750",56.2,228,0
,P5: Development,"84,632,772","2,936,500","81,696,272",3.5,228,0
,Subtotal,"115,098,305","19,734,165","95,364,140",17.1,228,0
