Programme,Sub- Programme,"Approved Budget
(Kshs)","Actual Payments
(Kshs)","Variance
(Kshs.)","Absorp-
tion (%)",page_number,table_index
Department of Finance and Economic Planning,,,,,,315,0
"Programme 1: Admin-
istration, Planning and
Support Services","SP 1.1: Administration Ser-
vices","381,694,096","259,429,714","122,264,382",68.0,315,0
,Sp 1.2: Personnel Services,"552,772,189","2,850,022","549,922,167",0.5,315,0
Sub Total,,"934,466,285","262,279,736","672,186,549",28.1,315,0
"Programme 2: Public
Finance Management","SP 2.1: Budget Formulation
Coordination and Manage-
ment","64,407,062","34,973,728","29,433,334",54.3,315,0
,SP 2.2: Resource Mobilization,"82,630,120","29,621,872","53,008,248",35.8,315,0
,SP 2.3: Internal Audit,"34,644,521","16,226,902","18,417,619",46.8,315,0
,SP 2.4: Procurement,"18,120,293","3,998,002","14,122,291",22.1,315,0
,"SP 2.5: Public Finance and Ac-
counting","26,536,381","8,316,866","18,219,515",31.3,315,0
,SP 2.6: Debt Management,"97,542,906","26,844,864","70,698,042",27.5,315,0
,"SP 2.7: External Resource Mo-
bilization","11,923,988","3,442,190","8,481,798",28.9,315,0
Sub Total,,"335,805,271","123,424,424","212,380,847",36.8,315,0
"Programme 3: Eco-
nomic and Financial
Policy Formulation and
Management",SP 3.1: Fiscal Planning,"27,960,301","13,754,223","14,206,078",49.2,316,0
,"SP 3.2: Monitoring & Evalua-
tion / Statistical Data Manage-
ment","9,626,747","4,045,376","5,581,371",42.0,316,0
,SP 3.3: KDSP Programme,"232,715,207","45,002,000","187,713,207",19.3,316,0
Sub Total,,"270,302,255","62,801,599","207,500,656",23.2,316,0
Department of Public Service Training and Devolution,,,,,,316,0
"Programme 1 Admin-
istration, Planning and
Support service","Sub-programme 1.1(Adminis-
tration service)","202,357,877","135,250,000","67,107,877",66.8,316,0
,"Sub-programme 1.2(Personal
Service)","543,295,896","19,644,000","523,651,896",3.6,316,0
,"Sub-programme 1.3(Financial
Service)","500,000",-,"500,000",0.0,316,0
,"Sub-programme 1.4(Co-ordi-
nation of Public and Special
Community Programme)","3,550,000","2,777,550","772,450",78.2,316,0
,"Sub-programme 1.5(Main-
stream Workplace HIV/
AIDS,Alcohol & Drug Abuse
Control)","2,000,000","350,000","1,650,000",17.5,316,0
,"Sub-programme 1.6(Rehabil-
itation/Construction of Sub
County Offices)","85,119,295","14,783,573","70,335,722",17.4,316,0
Sub Total,,"836,823,068","172,805,123","664,017,945",20.7,316,0
"Programme 2:Legal
Services","Sub-programme 2.1(Legal Ser-
vices to County Government
and Public)","10,575,000","7,201,200","3,373,800",68.1,316,0
,"Sub-programme 2.2(Coordi-
nation of County Compliance
and enforcement services)","5,625,000","2,577,730","3,047,270",45.8,316,0
Sub Total,,"16,200,000","9,778,930","6,421,070",60.4,316,0
"Programme 3: Human
Resource Management
and Development","Sub-programme 3.1 Perfor-
mance Contracting","5,000,000","3,850,000","1,150,000",77.0,316,0
,"Sub-programme 3.2 Perfor-
mance Appraisal System","5,000,000","2,577,640","2,422,360",51.6,316,0
,"Sub-programme 3.3 Staff de-
velopment Through Capacity
Building and Training","70,603,631","5,434,825","65,168,806",7.7,316,0
Sub Total,,"80,603,631","11,862,465","68,741,166",14.7,316,0
