Programme,Sub- Programme,"Approved Bud-
get (Ksh)","Actual Payments
(Ksh)",Variance,"Absorption
(%)",page_number,table_index
County Executive,,,,,,329,0
"General Administration and
Planning","General Administration and
Support services","638,347,158","508,257,391","130,089,767",79.6,329,0
,Sub total,"638,347,158","508,257,391","130,089,767",79.6,329,0
Physical Infrastructure,Physical Infrastructure,"58,300,000","1,485,178","56,814,822",2.5,329,0
,Sub total,"58,300,000","1,485,178","56,814,822",2.5,329,0
"Finance and Economic Plan-
ning",,,,,,329,0
Finance and Accounting,"General Administration and
Support services","604,888,378","450,136,330","154,752,048",74.4,329,0
,Sub total,"604,888,378","450,136,330","154,752,048",74.4,329,0
Revenue,"Revenue Collection and Man-
agement",-,"1,833,493","(1,833,493)",-,329,0
,Subtotal,-,"1,833,493","(1,833,493)",-,329,0
"Devolved Units and Special
Programmes",,,,,,329,0
Sub-County Administration,"Administrative & Support of
Human Resources","80,165,685","42,039,105","38,126,580",52.4,329,0
,Sub total,"80,165,685","42,039,105","38,126,580",52.4,329,0
Town Administration Section,"Administration and Support
of Human Services","196,821,516","12,867,676","183,953,840",6.5,329,0
,Sub total,"196,821,516","12,867,676","183,953,840",6.5,329,0
Health and Sanitation,,,,,,329,0
Public Health and Sanitation,"Health Service Delivery Ad-
ministration Services","2,863,677,844","2,201,375,920","662,301,954",76.9,329,0
,Sub total,"2,863,677,844","2,201,375,920","662,301,954",76.9,329,0
Curative Health Services,Physical Planning,"539,446,273","141,774,485","397,671,788",26.3,329,0
,Sub total,"539,446,273","141,774,485","397,671,788",26.3,329,0
,,,,,,329,0
"Agriculture, Livestock and
Fisheries",,,,,,329,0
"Agriculture and Crop Produc-
tion","Administration and General
Support services","272,298,844","224,043,445","48,255,399",82.3,329,0
,Sub total,"272,298,844","224,043,445","48,255,399",82.3,329,0
Livestock and Veterinary,"Livestock Resources Manage-
ment","720,645,039","85,527,815","635,117,224",11.9,329,0
,Sub total,"720,645,039","85,527,815","635,117,224",11.9,329,0
"Tourism, Culture and Coopera-
tive Development",,,,,,329,0
Tourism,"General Administration and
Support Services","50,844,650","32,626,464","17,618,186",64.9,329,0
,Sub total,"50,844,650","32,626,464","17,618,186",64.9,329,0
Culture,"Development and Promotion
of Culture","37,299,290","4,732,000","32,567,290",12.7,329,0
,Sub total,"37,299,290","4,732,000","32,567,290",12.7,329,0
"Youth, Gender and Social Ser-
vices",,,,,,329,0
Youth Affairs,"General Administration and
Support Services","115,279,747","97,974,295","17,305,452",85.0,329,0
,Sub total,"115,279,747","97,974,295","17,305,452",85.0,329,0
Sports,Sports Development,"117,897,558","24,105,400","93,792,158",20.4,329,0
,Sub total,"117,897,558","24,105,400","93,792,158",20.4,329,0
